TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.8265486,7.768184,11.116994,13.109994,9.182394,8.139551,9.672425,7.3750396,6.6724253,9.392318,11.014021,8.169925,7.8641863,7.948367,8.038919,8.939579,7.7879024,10.654636,9.424167,7.9425144,Adipose-Cancer
8.266787,8.754888,11.001409,12.628446,9.308339,9.83605,10.699573,7.4429436,6.9541965,8.84235,11.987264,9.769837,8.483816,8.326429,9.592457,7.0768156,5.83289,1.5849625,9.649256,8.209454,Adipose-Cancer
7.9188633,8.361944,10.865733,12.898034,9.679481,9.475734,10.174926,8.0168085,6.8703647,8.820179,12.912328,8.661778,8.554589,8.3706875,9.61471,6.857981,5.857981,2.321928,9.544965,7.97728,Adipose-Cancer
7.9248123,8.409391,10.685625,12.512247,9.319673,9.60177,10.188589,7.7879024,7.499846,8.689998,12.615629,10.062046,9.413628,8.228819,9.415742,7.0552826,6.357552,3,9.815383,8.076816,Adipose-Cancer
6.894818,8.5736475,11.386401,12.796243,9.06609,9.407268,10.337622,7.876517,6.84549,8.97728,12.013672,9.668885,8.40088,7.9943533,9.447083,6.768184,6.044394,3,8.974415,8.442944,Adipose-Cancer
7.3923173,8.308339,10.995768,12.527232,9.036174,9.182394,10.224002,7.857981,6.6582117,8.83289,12.635944,9.864186,9.515699,8.027906,9.541097,6.9188633,6.33985,4.169925,9.296916,7.7279205,Adipose-Cancer
7.6865005,8.463525,10.8572035,12.57483,8.939579,9.417852,10.440869,7.839204,6.9307375,9.057992,12.557224,10.06609,9.014021,8.519636,9.675957,6.857981,6.6293564,2.807355,9.543032,7.948367,Adipose-Cancer
7.33985,8.199673,10.953469,12.7414665,8.954196,9.103288,10.127995,7.900867,7.1898246,8.848623,12.139232,10.485829,8.0223675,8.199673,9.139551,6.741467,6.6865005,2,9.324181,7.97728,Adipose-Cancer
7.330917,8.682995,11.023754,12.972442,8.991522,9.361944,10.451211,7.357552,6.491853,8.592457,12.531137,10.404078,9.649256,8.243174,9.214319,6.7548876,6.9188633,2.807355,9.505812,7.7279205,Adipose-Cancer
8.149747,8.854868,11.78831,12.800697,9.02514,9.211888,10.346514,8.038919,6.2094536,9.271463,11.361396,8.625709,7.139551,8.40088,9.071463,7.5999126,6.022368,3,10.002815,8.257388,Adipose-Cancer
6.539159,8.4998455,11.39821,13.371232,7.499846,9.5736475,10.2620945,7.321928,6.6724253,8.2946205,12.353973,9.824959,8.308339,8.569856,8.9128895,7.228819,4.087463,1.5849625,8.330916,7.499846,Adipose-Normal
6.5999126,8.417852,11.475734,13.059852,7.839204,8.754888,10.186114,7.4757333,7.1189413,8.144658,12.213408,10.28077,7.5849624,7.8703647,7.5468946,6.9068904,5.4594316,4.643856,8.495855,6.9541965,Adipose-Normal
6.3923173,8.271463,11.126704,13.4326725,7.7210994,9.057992,9.96145,6.507795,6,8.266787,12.311464,9.139551,8.159871,7.6220517,8.312883,7.5313816,6.129283,4.321928,8.603626,7,Adipose-Normal
6.5999126,8.475734,11.33818,13.307058,7.693487,8.985842,9.985842,6.5849624,6.84549,8.813781,11.442944,9.204571,8.550747,8.569856,8.199673,8.027906,6.228819,4.523562,8.3663225,7.592457,Adipose-Normal
6.1898246,8.204571,11.370143,13.035315,8.1649065,9.038919,9.97728,7.4838157,6.554589,8.154819,12.100662,9.6564245,8.271463,8.317412,8.134426,7.0768156,5.044394,3.5849626,8.463525,7.451211,Adipose-Normal
5.61471,8.426265,11.210671,13.335949,7.4008794,9.076816,10.036174,6.768184,6.2854023,8.388018,12.622281,9.721099,8.330916,8.169925,8.139551,7.2573876,5.2854023,1,8.523562,7.228819,Adipose-Normal
5.9541965,8.471675,11.397675,13.215078,7.7548876,9.326429,10.100662,7.2854023,6.857981,8.442944,12.542065,10,7.857981,8.5961895,8.696967,7.139551,4.087463,3.7004397,8.388018,7.554589,Adipose-Normal
5.9541965,8.375039,11.312883,13.672536,7.960002,8.731319,9.821774,7.6724253,6.7813597,8.33985,12.148477,10.411511,8.4346285,8.2526655,8.491853,7.3037806,5.3923173,4.3923173,8.308339,7.2667866,Adipose-Normal
6.321928,8.0443945,11.205182,13.318825,8.290019,8.5622425,9.746514,7.0768156,6.2854023,8.348728,12.672425,10.101975,7.7548876,8.495855,8.1947565,7.149747,4.3923173,1,7.8641863,7.3923173,Adipose-Normal
5.7813597,8.383704,11.283668,13.213256,8.0223675,8.784635,10.204571,7.807355,7.3923173,8.189824,12.640018,9.717676,8.330916,8.894817,8.569856,6.70044,5.7279205,3.9068906,8.257388,7.499846,Adipose-Normal
6.4757333,8.539159,11.49085,13.38721,7.507795,9.068778,10.211888,7.4178524,6.768184,8.5736475,12.592223,10.027906,8.189824,8.4346285,8.636624,7.4008794,4.4594316,4.643856,8.392318,7.2479277,Adipose-Normal
6.228819,8.144658,11.171177,13.262829,7.357552,8.942514,10.008429,7.087463,6.5698557,8.531382,12.14083,10.391244,7.9425144,8.475734,8.1649065,7.228819,5.321928,4.523562,8.276124,7.098032,Adipose-Normal
5.61471,8.696967,11.495356,13.468624,7.7879024,9.092757,10.203348,6.741467,6.5849624,8.199673,12.438272,8.312883,8.174926,8.103288,8.73471,7.4676056,5.523562,3.169925,8.422065,7.426265,Adipose-Normal
7.839204,8.40088,11.237807,13.18441,9.266787,8.851749,10.134426,7.5313816,6.7813597,8.654636,11.473198,9.240791,8.758224,7.9425144,9.108524,6.794416,5.9068904,7.9307375,9.584963,7.6510515,Adipose-Normal
