TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
9.618385,8.40088,11.730045,13.221285,9.83289,8.451211,8.599913,6.6293564,6.5849624,8.632996,10.949826,10.2772875,7.2094536,9.353147,8.243174,9.375039,8.475734,1,9.698705,9.01959,Adrenal_Gland-Cancer
9.917372,8.558421,10.907641,12.972082,10.1111355,9.014021,7.839204,4.4594316,5.9068904,9.42836,11.411511,10.176173,7.2946205,9.897845,8.169925,8.994353,4.9541965,8.144658,9.071463,9.471675,Adrenal_Gland-Cancer
9.174926,7.960002,12.015066,12.181773,9.581201,9.105908,8.891784,4.807355,5.7279205,9.674192,12.412305,10.605479,7.8137813,8.9008665,7.022368,9.515699,4.643856,3.321928,7.839204,8.991522,Adrenal_Gland-Cancer
9.636624,7.6865005,11.083479,13.140511,9.497851,8.569856,7.83289,4.7548876,6.84549,8.348728,11.27088,10.06609,5.4594316,8.442944,8.209454,7.491853,6.321928,2.321928,8.909893,8.455327,Adrenal_Gland-Cancer
9.169925,8.60733,11.349281,13.236164,10.2179575,8.375039,8.103288,8.751544,5.857981,9.590587,10.713387,9.255029,5.2094536,10.346514,6.3923173,8.918863,6.9541965,4.3923173,8.5736475,8.957102,Adrenal_Gland-Cancer
10.098032,8.144658,10.949826,12.802315,8.909893,8.3706875,8.3706875,6.741467,6.2667866,8.599913,9.7565565,9.594325,4.3923173,8.727921,5.426265,8.0443945,8.027906,4.7548876,9.3014965,8.714246,Adrenal_Gland-Cancer
8.511753,7.523562,11.028597,13.078651,10.312883,8.539159,7.7142453,5.169925,6.554589,8.455327,11.269127,10.82893,4.9541965,7.4429436,6.554589,7.9886847,7.228819,5.129283,8.927778,7.948367,Adrenal_Gland-Cancer
9.436711,8.124122,11.222191,12.897468,10.308339,8.558421,8.353147,4.087463,6.2854023,9.383704,11.222795,8.957102,4.5849624,8.417852,7.7073593,8.682995,6.894818,6.491853,9.259744,9.383704,Adrenal_Gland-Cancer
10.368506,8.7911625,11.332037,12.393123,9.342074,8.771489,9.011228,6.9541965,7.199672,9.350939,11.273795,9.1111355,6.066089,9.453271,8.266787,8.321928,6.5849624,6.4429436,8.700439,9.036174,Adrenal_Gland-Cancer
9.876517,8.962896,11.191676,13.03909,9.629356,9.182394,7.5468946,7.774787,5.882643,9.113742,10.40088,11.7414665,6.768184,9.179909,4.523562,9.42836,7.9068904,2.5849626,8.813781,8.727921,Adrenal_Gland-Cancer
