TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
8.495855,7.451211,11.388018,13.350248,10.078151,7.2573876,9.952742,5.5849624,6.3923173,9.776433,12.267372,8.361944,11.75614,7.2946205,8.618385,7.7879024,6.9886847,12.038576,9.847057,6.84549,Bladder-Cancer
7.61471,8.426265,10.507794,13.117643,9.548821,8.276124,9.361944,5.321928,6.820179,9.658212,9.51767,8.84235,6.33985,7.066089,13.409258,7.1898246,11.235416,7.3037806,9.746514,6.83289,Bladder-Cancer
7.768184,7,11.227616,13.986109,9.41996,8.40088,9.60177,5.6724253,7.2094536,9.679481,12.745884,9.774787,13.224454,7.820179,10.076816,7.6582117,8.361944,13.174146,10.264442,6.3923173,Bladder-Cancer
8.471675,7.61471,11.778898,13.096056,9.984419,7.577429,10.109831,5.523562,6.4429436,10.092757,12.08514,9.847057,12.120238,8.243174,8.97728,9.312883,7.5999126,12.808562,9.848623,6.61471,Bladder-Cancer
8.087462,8.0443945,10.83605,13.296056,9.278449,8.055283,10.007028,8.118941,6.4429436,9.108524,10.519636,8.686501,8.257388,8.139551,8.247928,7.321928,7.330917,8.033423,9.174926,7.3037806,Bladder-Cancer
7.9248123,7.9425144,11.109831,12.746514,9.647458,7.9425144,10.166163,7.539159,7.0552826,9.668885,11.887982,8.4346285,11.176797,7.83289,10.117643,7.228819,9.879583,11.57033,9.611025,6.794416,Bladder-Cancer
8.348728,7.7615514,11.249706,13.450309,8.8008995,7.8137813,10.133142,6.2854023,5.554589,9.652845,11.373409,8.092757,6.70044,7.3923173,8.447083,8.098032,7.426265,11.564626,8.710807,7.357552,Bladder-Cancer
7.499846,6.507795,11.138911,13.094573,9.703903,7.066089,10.107217,7.4757333,6.768184,9.388018,10.154819,8.778077,8.174926,7.4757333,13.27467,7.9188633,10.584963,11.21614,9.23362,7.2761245,Bladder-Cancer
7.2384048,8.438792,10.632087,13.269127,9.052568,8.214319,9.588715,5.7813597,6.97728,9.42836,9.759889,8.06609,8.558421,7.434628,9.157347,8.113742,10.954924,9.744834,8.566054,6.807355,Bladder-Cancer
9.271463,8.8008995,11.451726,12.895954,10.1848755,8.092757,11.411511,5.83289,7.348728,9.375039,9.603626,9.501837,6.228819,7.9943533,5.83289,8.885696,10.625709,10.867279,11.015415,6.6293564,Bladder-Cancer
6.8703647,7.4594316,10.944712,13.109994,9.78136,7.665336,10.182394,6.1898246,6.794416,9.463525,10.1111355,9.719389,6.894818,7.4676056,9.797662,6.97728,6.5849624,12.052908,8.820179,7,Bladder-Cancer
8.353147,8.0821495,11.304922,12.990104,9.521601,7.965784,10.438792,7.882643,6.5698557,9.992938,10.683872,8.422065,8.543032,7.741467,8.927778,7.2667866,6.6293564,9.550747,9.513727,7.2761245,Bladder-Cancer
9.52943,7.2667866,11.375583,13.299924,9.491853,7.499846,10.808964,5.2479277,6.7813597,9.689998,12.409922,9.700439,12.557224,7.4008794,8.23362,8.219169,9.489848,12.775816,9.774787,6.794416,Bladder-Cancer
9.438792,7.7813597,10.582142,13.987885,9.868822,7.491853,10.142107,5.9068904,6.6865005,9.287712,11.224605,7.507795,12.521846,7.8265486,8.243174,7.491853,5.97728,12.28193,9.873445,6.807355,Bladder-Cancer
9.449148,7,11.3014965,13.305491,9.843921,7.491853,10.681238,5.321928,6.357552,9.390169,12.439052,9.310613,12.383164,7.539159,8.330916,7.839204,9.544965,12.611025,9.543032,6.7548876,Bladder-Cancer
9.507794,8.0168085,11.39821,13.109668,10.553629,8.2620945,10.631177,4.087463,6.84549,9.485829,12.86554,8.353147,12.51939,7.357552,8.761551,8.361944,7.3037806,12.150064,10.1848755,7.149747,Bladder-Cancer
9.152285,7.894818,11.536733,12.80514,10.871905,8.0821495,10.481799,5.643856,7.149747,9.142107,12.147205,9.449148,12.087462,7.693487,8.599913,8.0223675,8.098032,11.239002,9.786269,6.5698557,Bladder-Cancer
8.965784,8.098032,11.272046,12.498101,10.629356,8.483816,10.41257,5.2094536,6.9307375,10.133142,12.760097,10.659996,12.275251,7.4178524,8.885696,8.665336,9.473705,12.334273,10.256208,7.2761245,Bladder-Cancer
9.247928,7.882643,11.173677,12.638888,10.750707,8.238404,9.854868,5.554589,7.4676056,9.35975,11.822172,11.290595,11.993646,7.5157,8.968667,8.321928,7.876517,12.114068,9.958552,6.97728,Bladder-Cancer
8.903882,7.9307375,11.634811,12.337343,10.523562,8.647458,10.547858,4.643856,6.491853,9.612868,12.265322,8.5736475,11.014021,7.383704,8.721099,7.971544,8.2620945,11.748612,10.090113,7.768184,Bladder-Cancer
9.228819,8.06609,11.538189,12.574357,10.642954,8.661778,10.47472,4.169925,6.7142453,9.497851,11.793603,9.826549,12.077483,7.2479277,8.658212,8.519636,8.4346285,12.083812,9.870365,7.3037806,Bladder-Cancer
9.554589,8.076816,11.349281,12.741046,11.029978,8.353147,10.711667,4.9541965,7.426265,11.554589,12.715533,10.957102,12.774581,7.5468946,9.612868,8.689998,9.914385,12.321647,9.865733,6.965784,Bladder-Cancer
9.41996,7.7879024,11.027215,12.628446,10.9151325,8.471675,9.661778,5.2479277,6.3750396,10.794415,12.1270275,10.900112,12.223701,7.451211,9.60733,9.0741415,8.813781,12.320801,9.915879,6.7279205,Bladder-Cancer
8.9128895,6.97728,10.954924,13.329797,9.455327,7.8703647,11.497851,4.643856,7.011227,9.829722,10.014021,8.84549,8.2526655,6.7548876,10.034799,6.61471,6.3923173,10.148477,9.543032,7.2479277,Bladder-Cancer
9.709084,8.247928,11.63753,13.4504385,10.04029,8.1848755,10.816983,4.523562,6.9425144,9.945444,12.492354,6.7548876,12.361944,7.7142453,9.118941,8.417852,7.139551,11.849405,10.308339,7.9188633,Bladder-Cancer
9.987264,8.83605,11.965784,13.915506,10.178665,8.321928,10.33539,5.643856,6.228819,9.372865,9.507794,7.665336,5.5849624,7.7210994,10.623881,7.960002,6.9068904,10.895576,9.658212,7.748193,Bladder-Cancer
8.804131,8.3663225,11.368506,13.4105835,9.525521,7.9188633,10.014021,7.228819,6.409391,9.326429,9.84235,9.768185,12.60733,7.7615514,6.9068904,7.7279205,7.948367,8.882643,9.79279,7.636625,Bladder-Cancer
7.97728,8.1649065,11.375039,13.88541,9.228819,8.2946205,10.515699,7.312883,6.61471,9.47978,10.7870865,7.434628,10.617468,7.67948,11.76072,7.366322,9.631177,9.53333,9.682995,7.451211,Bladder-Cancer
8.124122,8.159871,11.505812,12.831901,9.477758,8.764872,10.182394,6.066089,6.5999126,10.118941,11.53333,10.946906,12.410716,7.851749,9.348728,8.40088,11.094078,11.585901,10.259744,7.3037806,Bladder-Cancer
8.129283,8.092757,11.13057,13.369325,9.55267,8.405142,9.982993,7.312883,5.321928,9.992938,11.103944,8.154819,12.18022,8.139551,8.78136,8.011228,7.643856,11.719816,10.396605,7.491853,Bladder-Cancer
