TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.748193,7.936638,12.111788,14.139312,8.771489,8.40088,9.661778,3.5849626,6.228819,9.859535,7.022368,8.463525,10.907641,8.622052,4.7548876,8.422065,5.2854023,3.4594316,10.425216,7.087463,Blood-Cancer
8.011228,8.326429,11.40088,12.416006,9.152285,7.592457,9.816983,5.3923173,6.70044,10.496854,11.299208,11.577429,12.306347,8.451211,7,8.405142,7.169925,8.149747,8.784635,7.748193,Blood-Cancer
7.839204,7.768184,11.251482,13.956739,8.7911625,7.8641863,9.124122,6,6.820179,9.682995,9.885696,7.768184,8.247928,7.9943533,6.8703647,7.6865005,8.388018,6.83289,9.407268,7.1085243,Blood-Cancer
7.491853,7.7347097,11.6339035,13.668331,9.436711,7.7813597,9.818583,7.7142453,7.5157,9.422065,11.7690115,8.531382,7.022368,7.5157,5.807355,8.531382,9.226412,11.51767,9.60733,7.6510515,Blood-Cancer
9.189824,8.396605,12.293184,13.306774,9.571753,9.071463,9.005625,4.70044,7.4008794,11.203348,8.3706875,9.5622425,11.53333,8.9307375,7.3750396,9.324181,7.9307375,3,11.1163435,7.554589,Blood-Cancer
9.99859,8.2526655,11.805341,13.19691,10.454299,8.906891,8.661778,4.5849624,7.1085243,10.733863,8.144658,11.045759,10.537218,9.1369915,6.1898246,9.0443945,6.4429436,4,10.381543,7.554589,Blood-Cancer
9.623881,8.299208,11.804937,13.149906,10.707359,7.894818,7.665336,5.169925,7.087463,10.886458,7.820179,10.371777,10.824163,8.83289,6.9886847,9.722808,7.2094536,5.70044,10.994353,7.1085243,Blood-Cancer
10.4868355,7.851749,11.804534,13.8537,9.722808,7.7142453,7.2094536,4.523562,6.741467,10.319673,8.48784,10.122828,12.185495,7.5622425,7.8703647,9.948367,7.2946205,3,10.023754,6.3750396,Blood-Cancer
8.405142,8.154819,11.795228,13.011052,10.618385,8.888743,8.693487,4.321928,5.9541965,11.124122,7.5849624,11.866893,11.5741205,8.857981,7.066089,9.682995,8.3663225,4.643856,11.373409,7.9248123,Blood-Cancer
8.357552,8.569856,12.342353,13.376125,8.982993,8.603626,7.7615514,3.9068906,6.1085243,10.6926155,7.9829936,10.1369915,11.171177,8.906891,8.483816,8.632996,6.169925,4.169925,11.285402,8.761551,Blood-Cancer
7.1085243,8.569856,12.388018,13.536368,9.923327,9.379378,9.703903,5.3923173,6.4757333,11.543999,7.2384048,10.918863,10.965784,9.581201,5.9068904,8.784635,5.857981,3.7004397,10.83289,8.426265,Blood-Cancer
11.068778,8.0821495,11.474213,13.095891,10.2300205,7.9128895,7,4.4594316,6.3750396,10.204571,8.422065,7.83289,11.0741415,7.7813597,5.70044,9.577429,6.149747,5.044394,10.2749605,5.643856,Blood-Cancer
8.744834,8.071463,11.987619,13.380867,9.731319,7.330917,8.413628,5.169925,6.7548876,10.346514,8.308339,9.17742,12.3706875,8.3442955,8.744834,9.108524,8.0223675,4.523562,10.814583,7.179909,Blood-Cancer
7.807355,8.134426,12.333156,13.524052,9.52943,8.527477,7.159871,4.087463,6.61471,10.38694,8.209454,9.493855,12.284824,9.599913,7.0768156,9.379378,7.539159,4.321928,10.882643,7.2384048,Blood-Cancer
9.002815,8.581201,11.882643,13.546894,9.743152,8.936638,8.861087,4.807355,7.1189413,10.273795,8.214319,9.787903,11.621594,8.647458,6.768184,9.805744,8.3663225,4.169925,11.302639,6.9307375,Blood-Cancer
8.169925,8.154819,11.796445,13.914572,8.867279,8.696967,8.748193,3.7004397,7.159871,10.897845,7.2479277,9.715962,12.223701,8.693487,8.98014,9.501837,8.038919,4.3923173,10.33539,6.9886847,Blood-Cancer
7.033423,8.379378,12.094078,14.104189,9.843921,8.507794,8.864186,4.70044,6.643856,11.0741415,7.9128895,12.970285,10.868822,8.330916,7.3750396,8.396605,6.491853,4.321928,10.675075,7.1898246,Blood-Cancer
7.9943533,8.154819,11.648357,13.578136,10.329797,8.353147,8.531382,4.523562,6.539159,10.947637,7.820179,12.872098,11.436191,8.503826,5.807355,9.449148,6.1085243,4.087463,11.183636,7.2479277,Blood-Cancer
8.169925,8.299208,11.949462,13.554589,10.44605,8.290019,8.939579,4.807355,6.4429436,10.49085,7.312883,13.372185,11.316847,9.273795,6.5849624,9.202124,6.4429436,6.228819,11.042343,6.7813597,Blood-Cancer
8.312883,8.4998455,11.670214,13.32221,10.43567,8.515699,8.84235,5.3923173,6.9307375,10.755722,8.396605,11.729621,10.541097,9.342074,7.491853,8.960002,10.946906,6.321928,11.191059,7.9248123,Blood-Cancer
8.204571,8.511753,12.109504,13.349558,10.726218,9.2502985,8.939579,5,6.5698557,10.04029,7.693487,10.966505,11.585432,9.142107,6.794416,8.731319,8.396605,3.169925,11.539159,6.97728,Blood-Cancer
8.118941,7.84549,12.360298,13.42351,10.211888,8.379378,7.434628,4,6.321928,10.084808,6.61471,11.60409,12.00422,9.469642,7.5468946,9.299208,6.523562,3.807355,11.566054,7.169925,Blood-Cancer
8.375039,8.092757,11.753634,13.356039,10.635718,8.554589,9.797662,3.7004397,6.357552,11.224605,8.28077,10.320801,10.941048,8.546894,6.9307375,9.42836,8.422065,7.451211,10.589651,7.5468946,Blood-Cancer
8.861087,7.820179,11.957828,13.751021,10.138271,7.8887434,7.9248123,4.5849624,6.539159,9.55267,7.409391,9.407268,10.466586,8.2620945,6.794416,8.731319,6.9886847,4.807355,10.63753,6.6865005,Blood-Cancer
9.531382,7.8009,11.947271,13.808964,10.293471,7.6510515,8.413628,3.169925,6.9307375,10.071463,7.4676056,10.72366,10.824163,8.271463,5.426265,9.679481,9.014021,3.9068906,10.521601,6.70044,Blood-Cancer
8.721099,8.413628,12.079151,13.573766,10.36304,9.202124,8.038919,2.807355,7.8265486,10.906139,7.7347097,10.0223675,10.843136,8.771489,6.70044,8.98014,6.768184,4.321928,11.22942,8.438792,Blood-Cancer
9.0633955,9.214319,12.023061,13.159083,10.5961895,9.618385,9.920353,3.5849626,7.2761245,11.674192,8.357552,9.964341,10.338737,9,7.5157,8.960002,6.066089,4.643856,11.227015,8.28077,Blood-Cancer
7.4178524,8.392318,12.054605,13.651388,10.904634,8.717676,8.876517,3.7004397,6.3923173,10.598983,7.2479277,11.643856,11.464035,8.519636,7.0768156,9.326429,6.1898246,5.2479277,10.970106,7.839204,Blood-Cancer
7.3750396,8.527477,12.004572,13.603626,10.74231,9.357552,8.7414665,4.9541965,6.3750396,11.134426,8.108524,11.382624,11.588246,8.622052,7.554589,9.1848755,7.1898246,3.5849626,10.846274,7.6073303,Blood-Cancer
7.592457,8.144658,12.118941,14.021501,10.432542,8.3706875,9.927778,4.5849624,6.539159,11.169299,8.134426,10.784635,9.489848,8.960002,6.066089,8.409391,6.321928,3.321928,10.657318,7.4429436,Blood-Cancer
10.644757,8.038919,11.364682,13.274815,10.8572035,7.7347097,6.882643,4,7.357552,9.771489,7.61471,9.071463,11.530894,7.9886847,6.129283,9.6510515,6.70044,4.523562,10.560333,6.554589,Blood-Cancer
10.453271,8.179909,11.28135,13.73957,10.328675,7.6865005,7.4676056,3.9068906,6.7142453,9.211888,7.9307375,7.9128895,10.067434,7.774787,7.0552826,10.033423,6.507795,5.2479277,10.518653,5.807355,Blood-Cancer
9.179909,8.317412,11.889124,13.448891,10.220378,7.971544,8.550747,4.2479277,5.643856,10.899357,8.060696,12.155134,11.365776,7.894818,7.2573876,8.982993,6.4429436,4,10.047124,6.9886847,Blood-Cancer
