TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
5.491853,8.060696,11.122828,13.680249,7.1898246,7.523562,9.850187,6.9541965,6.807355,8.519636,11.058668,9.238404,11.3392935,9.23362,9.355351,7.139551,6.3750396,11.080817,8.495855,7.1898246,Bone-Cancer
7.67948,8.870365,11.559855,12.919049,9.594325,8.243174,10.857981,7.6073303,7.383704,9.312883,11.876901,9.717676,11.149747,9.501837,9.436711,6.820179,6.149747,11.855258,9.754888,7.8265486,Bone-Cancer
8.471675,8.679481,11.604553,13.278014,9.390169,7.960002,10.704768,7.592457,7.2094536,9.643856,10.264442,7.6582117,12.196602,10.338737,9.7911625,7.1189413,6.1085243,11.806147,9.982993,7.499846,Bone-Cancer
8.06609,8.700439,11.474213,13.201971,9.714246,7.7879024,10.683872,7.383704,7.2761245,9.537218,11.323054,8.108524,11.374496,9.722808,9.99859,6.6293564,6.228819,11.843136,9.717676,7.748193,Bone-Cancer
7.129283,8.276124,11.029287,13.352595,8.1848755,5.2094536,9.6564245,6.9886847,6.523562,8.214319,10.3185425,9.424167,12.00422,9.726218,9.2620945,7.366322,6.820179,10.57554,8.721099,6.768184,Bone-Cancer
7.5157,8.098032,11.049168,13.5547085,8.731319,6.2479277,9.857981,6.7279205,7.179909,8.668885,10.090113,8.558421,10.92407,9.118941,9.42836,7.2667866,5.70044,10.861862,8.5736475,6.7813597,Bone-Normal
7.7142453,8.933691,11.522091,13.007729,9.442944,8.3706875,10.798471,7.6582117,7.2384048,9.432542,11.493855,8.784635,11.283668,9.605479,9.477758,6.643856,5.169925,11.915879,9.507794,8.0223675,Bone-Normal
8.134426,8.738092,11.642052,13.611716,9.33539,7.8009,10.783816,7.312883,7.179909,9.867279,9.60177,7.169925,12.484823,10.4998455,10.007028,6.9425144,5.70044,11.926666,9.758224,7.5468946,Bone-Normal
7.882643,8.636624,11.451211,13.189979,9.368506,8.28077,10.84784,7.7142453,6.7813597,9.465567,10.897845,7.83289,12.101319,10.211888,9.933691,7.098032,5.6724253,11.876517,9.674192,7.554589,Bone-Normal
6.70044,8.475734,11.103944,13.736507,7.643856,7.451211,10.485829,7.1085243,6.5849624,8.535275,9.851749,8.011228,11.584493,9.859535,9.5961895,7.451211,4.643856,11.140191,8.511753,6.84549,Bone-Normal
7.383704,8.451211,11.199673,12.54279,10.291171,8.891784,9.885696,4.643856,7.312883,8.962896,9.871905,9.797662,5.9068904,8.727921,7.7142453,7.087463,6.3750396,6.7142453,9.477758,8.0821495,Bone-Normal
8.118941,8.503826,11.380461,13.02514,9.179909,8.707359,9.859535,5.2479277,7.2384048,9.583083,10.2620945,8.991522,6.491853,8.618385,7.169925,7.523562,6.554589,9.0821495,10.220378,8.392318,Bone-Normal
7.67948,8.467606,11.471168,12.836247,9.355351,8.388018,10.083479,4.643856,7.098032,9.33985,10.514714,9.672425,6.5698557,8.413628,7.0552826,7.409391,6.539159,7.9068904,10.129283,8.471675,Bone-Normal
8.243174,8.539159,11.542548,13.2579775,8.9008665,8.60733,9.847057,5.7279205,6.857981,9.691744,10.3442955,8.778077,7.2761245,8.108524,6.7548876,7.693487,6.2667866,8.299208,10.43567,8.357552,Bone-Normal
7.768184,8.539159,11.435149,13.008779,8.876517,8.511753,9.623881,6.2667866,6.491853,9.342074,10.276124,9.871905,6.7548876,8.276124,6.7813597,7.321928,6.169925,8.174926,10.095397,8.581201,Bone-Normal
8.1947565,8.405142,11.025831,13.199673,9.162392,8.717676,9.749869,5.2854023,7.2479277,9.33985,10.799282,9.131857,5.61471,8.303781,7.3923173,7.434628,6.426265,8.744834,10.168673,7.960002,Bone-Normal
7.2667866,8.422065,11.0182,12.798675,9.908393,8.761551,9.394463,5.2854023,7.2479277,8.588715,9.820179,9.405142,6.022368,8.266787,8.209454,7.6293564,6.643856,7.5999126,9.98014,8.243174,Bone-Normal
8.312883,8.447083,11.122181,13.09688,8.8008995,8.4998455,9.67772,5.044394,7.33985,9.098032,10.219169,9.461479,6.228819,7.9128895,6.554589,7.087463,5.882643,8.823367,10.519636,8.430452,Bone-Normal
8.0443945,8.467606,11.544481,13.0467825,8.829722,8.679481,10.153552,5.2094536,6.5698557,9.567956,11.004923,9.142107,6.6582117,8.124122,6.643856,7.2479277,5.807355,9,10.249113,8.33539,Bone-Normal
