TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
8.948367,9.033423,11.606405,12.022715,9.0741415,8,10.369597,8.689998,6.426265,10.037547,10.121533,11.021674,4.9541965,9.8626375,5.169925,8.266787,7.087463,7.894818,8.379378,9.438792,Brain-Cancer
10.109831,9.06609,11.4893465,12.1023035,9.364135,8.40088,10.00422,5.357552,6.33985,10.329797,11.610563,9.707359,5.6724253,9.411511,11.526499,8.303781,6.3037806,4,8.422065,8.879583,Brain-Cancer
10.3072,8.675957,11.618385,12.306631,8.787903,8.73471,9.33985,7.087463,5.70044,10.087462,11.2526655,9.962896,4.5849624,9.28077,9.868822,7.6724253,4.321928,5.044394,8.40088,9.312883,Brain-Cancer
10.043027,8.285402,11.664891,12.381272,9.848623,7.820179,9.501837,8.271463,7.2667866,9.326429,10.358651,10.062046,5.83289,9.748193,9.951284,8.5961895,8.682995,4.9068904,9,8.503826,Brain-Cancer
10.312883,7.851749,11.291171,12.372321,9.445015,7.820179,10.257388,9.047124,6.3037806,9.951284,11.2749605,10.80816,5.491853,9.1848755,5.9068904,7.8137813,7.7548876,4.643856,8.7414665,8.321928,Brain-Cancer
8.933691,8.430452,11.668442,12.552909,9.802516,8.543032,10.04029,7.8265486,6.3923173,9.988685,10.582142,11.86496,4.5849624,10.083479,7.044394,8.154819,7.9541965,7.5999126,8.661778,9.473705,Brain-Cancer
10.13571,8.721099,11.2842455,12.148794,8.954196,8.909893,9.753217,7.139551,6.820179,9.8008995,11.552189,10.636624,3.7004397,9.388018,7.2479277,8.426265,4.2479277,4.2479277,8.997179,8.854868,Brain-Cancer
10.245553,8.636624,11.205793,12.26092,9.9128895,8.503826,9.667111,5.643856,6.539159,9.97871,11.698705,11.3185425,5.857981,9.449148,9.667111,8.6402445,10.664447,3.807355,9.0168085,8.675957,Brain-Cancer
9.885696,8.936638,11.202124,12.575303,8.087462,8.0821495,9.113742,6.507795,6.7279205,10.429407,12.31345,9.970106,4.9541965,9.696967,7.539159,6.83289,7.2946205,6.321928,7.3037806,8.388018,Brain-Cancer
9.888743,8.771489,10.949826,12.486332,7.820179,8.495855,9.392318,5.7813597,6.2479277,10.51274,11.478264,11.557942,5.2094536,9.264442,7,6.6724253,7.2667866,6.3750396,7.087463,9.505812,Brain-Cancer
10.179909,8.982993,11.011926,12.060358,7.7813597,8.005625,9.771489,6.6865005,5.554589,10.717676,12.04029,10.602699,4.7548876,9.33985,5.2479277,6.2854023,6.3750396,7.1898246,7.4838157,7.665336,Brain-Cancer
10.523562,9.033423,10.941781,12.530163,8.1649065,8.447083,9.098032,6.6724253,6.523562,10.627534,11.632087,12.163964,5.5849624,9.407268,6.4429436,7.199672,8.603626,5.61471,6.768184,8.467606,Brain-Cancer
8.83289,9.192293,11.407268,12.2842455,8.238404,8.405142,9.649256,6.6582117,5.7279205,10.1674185,11.952013,11.477758,2.807355,9.292321,6.6724253,7.321928,6.84549,5.426265,7.8703647,8.738092,Brain-Cancer
8.942514,9.348728,11.503329,12.925554,8.219169,8.48784,9.463525,7.169925,6.491853,10.1947565,11.383164,11.690434,3.9068906,9.179909,7.83289,6.643856,7.2094536,6.794416,8.113742,9.471675,Brain-Cancer
10.062046,9.424167,11.268542,12.657095,10.357552,9.491853,9.67772,7.577429,6.491853,9.321928,11.231221,8.139551,5,8.643856,10.353147,6.7142453,8.3706875,4.643856,10.481799,9.7565565,Brain-Cancer
8.954196,8.820179,11.483312,11.831307,10.879583,8.727921,10.014021,6.554589,7.774787,9.537218,11.2526655,11.117643,6.426265,8.971543,12.240493,7.9307375,6.8703647,5.643856,10.63753,9.808964,Brain-Cancer
7.366322,9.238404,11.661778,12.631859,9.719389,9.403012,10.009829,8.738092,7.169925,9.812178,10.954196,7.5313816,5.3923173,9.548821,8.654636,7.357552,7.129283,3.9068906,9.61471,10.754052,Brain-Cancer
9.902375,8.531382,11.057992,12.577192,11.18797,9.0821495,9.707359,5.7548876,7.6073303,9.717676,11.013323,8.682995,6.228819,10.2348175,10.334273,7.6293564,9.189824,5.2094536,10.7657,9.766529,Brain-Cancer
7.67948,8.879583,11.713816,12.70779,9.471675,9.658212,9.751544,7.882643,7.2094536,10.143383,11.454813,7.9068904,5.2854023,9.014021,8.774787,7.900867,8.546894,6.087463,9.882643,10.181152,Brain-Cancer
9.837628,8.703903,11.077483,12.084808,10.550747,8.383704,9.786269,5.3923173,7.2191687,9.228819,11.5807295,8.2620945,5.97728,8.087462,12.485829,7.9425144,6.643856,6.857981,10.38694,9.665336,Brain-Cancer
7.098032,9.649256,11.874213,12.818382,7.3750396,8.405142,10.049849,9.3442955,7.357552,9.888743,10.551708,9.616549,4.807355,8.011228,9.768185,9.113742,4.2479277,5.129283,9.647458,9.197217,Brain-Cancer
6.97728,8.511753,10.477758,13.127833,8.665336,7.139551,9.413628,6.2667866,7.665336,8.1848755,10.078151,10.44605,5.3923173,8.124122,10.96145,8.679481,6.1898246,4.087463,9.079485,8.951284,Brain-Cancer
6.2667866,9.149747,11.663558,13.201052,7.948367,9.011228,10.236014,8.748193,7.523562,10.238404,11.138911,8.076816,3.4594316,11.127995,7.3750396,8.0821495,7.2479277,6.044394,9.342074,9.970106,Brain-Cancer
6.044394,8.47978,11.338737,13.023234,8.0168085,8.603626,11.105254,6.643856,7.098032,8.985842,10.745674,9.204571,6.768184,8.1947565,8.092757,7.523562,10.314016,2.321928,8.495855,9.390169,Brain-Cancer
