TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
9.436711,8.643856,11.113742,14.382152,8.3442955,7.820179,9.0821495,6.9886847,6.61471,9.411511,9.121533,8.5961895,10.536247,8.867279,8.848623,8.1649065,7.1189413,10.067434,9.002815,7.357552,Breast-Cancer
7.8265486,8.754888,11.5727005,13.650267,9.698705,7.383704,10.476747,6.169925,6.794416,9.566054,10.443979,7.900867,10.700439,7.794416,8.584963,7.592457,6.4594316,11.320801,9.28077,7.2667866,Breast-Cancer
9.071463,7.9829936,11.109178,12.794822,11.379378,7.70044,9.776433,6.768184,5.97728,10.6339035,10.113742,8.055283,11.250891,7.807355,7.9248123,8.588715,7.199672,10.349834,10.236014,6.9307375,Breast-Cancer
9.197217,8.921841,11.498849,13.582848,10.14083,7.83289,10.376125,5.857981,6.3750396,9.383704,10.78136,8.438792,11.027215,8.2620945,9.014021,7.9188633,6.523562,11.567956,9.2946205,7.426265,Breast-Cancer
9.068778,8.539159,11.12735,13.57116,10.528454,8.299208,9.851749,6.6865005,6.9307375,10.139551,12.296343,8.4346285,11.192909,8.060696,9.599913,7.312883,7.7279205,9.804131,9.636624,7.539159,Breast-Cancer
9.011228,8.997179,11.419434,13.982637,9.236014,7.2094536,9.579316,6.643856,7.169925,9.1848755,9.2946205,8.308339,11.95964,8.721099,8.438792,8.169925,6.066089,11.709946,9.627534,6.768184,Breast-Cancer
9.255029,8.495855,11.886458,12.871905,10.768185,7.857981,9.682995,4.9541965,6.857981,9.964341,10.312883,10.495855,13.519636,7.794416,7,7.6293564,7.6582117,11.652397,10.271463,7.2946205,Breast-Cancer
9.440869,8.535275,11.272046,13.371505,10.763212,7.6510515,10.127995,7.1189413,6.6865005,9.808964,10.579316,7.098032,11.944712,8.076816,8.829722,7.851749,7.9248123,11.392854,10.148477,7.2191687,Breast-Cancer
9.187352,8.693487,11.304922,13.534546,10.485829,8.179909,10.158609,7.033423,6.7813597,9.981567,11.358651,8.326429,11.622967,8.228819,9.271463,7.4594316,7.1189413,10.983706,9.769837,7.554589,Breast-Cancer
9.689998,8.353147,11.39714,13.067099,11.150382,7.6582117,9.773139,6.2854023,6.6865005,10.355351,11.509775,10.24674,12.650827,7.748193,7.7615514,7.8137813,7.900867,11.773139,9.826549,7.4838157,Breast-Cancer
9.445015,8.409391,11.330357,13.208997,10.430452,8.209454,10.324181,7.409391,5.9541965,9.6564245,10.410451,7.330917,11.454813,8.098032,9.2620945,7.7142453,7.5468946,11.222795,9.884171,7.451211,Breast-Cancer
9.157347,8.951284,11.543515,13.651612,9.736402,8.0168085,10.471675,5.61471,6.539159,9.556506,10.45018,8.228819,11.116994,8.348728,9.17742,7.6582117,6.741467,11.455327,9.299208,7.451211,Breast-Cancer
9.714246,7.7813597,11.28193,12.42993,11.375039,7.199672,9.773139,5.554589,6.022368,10.06609,10.453271,10.909893,12.932953,8.515699,6.6724253,8.06609,6.9188633,12.859535,10.227616,7.2479277,Breast-Cancer
8.748193,8.991522,10.577429,14.223549,8.724514,6.9188633,8.554589,6.857981,6.882643,8.820179,8.503826,10.134426,11.013323,8.134426,8.511753,8.139551,7.1085243,8.873445,8.721099,7.199672,Breast-Cancer
9.56415,8.710807,11.291171,13.687157,10.222795,7.577429,10.086136,6.4757333,6.022368,9.804131,10.987264,8.087462,12.152919,8.257388,9.1111355,7.7073593,7.179909,11.617468,9.100662,7.098032,Breast-Cancer
9.283089,8.754888,11.39821,13.888458,10.287712,7.900867,9.567956,6.6865005,6.409391,9.769837,10.579316,7.169925,11.979782,8.554589,9.23362,7.7879024,7.129283,11.328675,9.231221,7.312883,Breast-Cancer
10.391244,7.636625,11.16365,13.416798,10.604553,6.894818,9.461479,3.9068906,7.011227,10.326429,11.767357,9.967226,10.245553,7.499846,8.442944,9.599913,11.709084,11.869594,9.83605,6.3037806,Breast-Cancer
9.405142,7.9829936,10.797662,12.830119,10.662668,7.7615514,9.207014,5.3923173,6.9188633,9.84235,9.6564245,10.292321,13.1674185,7.312883,6.2854023,7.636625,7.9248123,11.535762,10.441907,6.9068904,Breast-Cancer
9.461479,7.409391,11.256799,12.3185425,10.753217,7.6220517,9.779719,6.2094536,6.228819,10.227616,10.770664,10.208235,13.377481,8.0223675,7.4838157,7.748193,8.285402,11.708221,9.952742,7.6293564,Breast-Cancer
9.005625,8.700439,11.637983,13.262388,10.354249,8.388018,10.152285,7.5698557,6.6293564,9.715962,10.623881,8.5736475,13.193833,8.28077,9.266787,7.643856,7.900867,12.116994,10.032045,7.6073303,Breast-Cancer
9.958552,8.422065,11.323618,13.386267,10.550747,7.794416,9.911392,6,6.70044,9.746514,10.85253,9.131857,12.190442,7.7615514,9.159871,7.6220517,6.9886847,11.881879,9.682995,7.033423,Breast-Cancer
9.008429,8.33985,11.100005,14.097045,9.396605,8.204571,9.567956,6.4429436,7.033423,9.902375,8.751544,8.643856,11.551228,8.1947565,9.027906,6.7142453,7.330917,10.740624,9.319673,7.434628,Breast-Cancer
9.187352,8.643856,11.491352,12.931661,10.14083,8.3706875,10.399812,7.149747,6.409391,9.921841,10.699573,7.199672,11.129927,8.224002,9.493855,7.960002,6.5849624,11.072133,10.1947565,7.4429436,Breast-Cancer
8.214319,8.679481,11.045077,14.139711,8.727921,6.357552,9.276124,5.4594316,6.5849624,9.394463,8.939579,8.049849,12.000352,8.700439,8.330916,7.851749,6.7548876,11.820976,9.216746,6.554589,Breast-Cancer
9.695229,7.794416,11.133784,12.383704,10.970825,7.971544,9.682995,5.4594316,6.4594316,10.207014,10.909893,12.1702385,13.065753,6.9541965,7.1085243,7.523562,7.7142453,12.190751,9.958552,7.4594316,Breast-Cancer
9.948367,8.707359,11.376125,13.278014,10.744834,7.965784,9.831307,6.7279205,6.741467,9.881114,10.642052,8.204571,12.583083,8.149747,8.945444,8.0168085,6.84549,11.941781,10.172427,7.228819,Breast-Cancer
8.816983,8.584963,11.342074,13.396471,10.336507,7.857981,9.665336,9.782998,6.6293564,10.144658,10.398744,9.463525,13.157505,8.507794,8.857981,8.2620945,7.7073593,11.946906,9.927778,7.5157,Breast-Cancer
9.527477,8.703903,11.578844,13.600842,10.290019,7.9886847,9.771489,6.882643,7.098032,9.932215,11.084144,8.214319,12.503826,8.4346285,9.02514,7.9307375,6.768184,11.675957,9.634811,7.2384048,Breast-Cancer
9.3442955,8.535275,11.635718,13.126704,10.334273,7.971544,10.007028,6.409391,6.768184,9.761551,11.857981,7.9829936,13.116181,7.7210994,7.7813597,8.005625,7.4178524,11.701739,9.831307,7.7615514,Breast-Cancer
9.1674185,8.661778,11.097374,14.16184,9.216746,7.2191687,8.430452,6.507795,7.348728,8.543032,8.3706875,8.204571,11.590587,7.7210994,8.83289,8.467606,7.577429,10.48079,9.142107,7.2946205,Breast-Cancer
9.736402,8.603626,11.290019,13.453271,11.011228,8.005625,9.867279,7.139551,7.2094536,9.611025,10.509775,7.2573876,12.332316,8.519636,9.060696,8.2526655,6.97728,11.7911625,10.225207,7.741467,Breast-Cancer
9.577429,8.751544,11.525521,13.210215,10.51274,8.28077,9.994353,7.1189413,6.3923173,9.649256,9.97871,7.6293564,11.556506,8.199673,9.689998,7.748193,6.5698557,11.300924,10.62022,7.2854023,Breast-Cancer
