Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	10.654636
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	1.5849625
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	2.321928
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	3.0
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	3.0
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	4.169925
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	2.807355
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	2.0
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	2.807355
10	Adipose-Cancer	GSE13506	GSM340488	T	None	3.0
11	Adipose-Normal	GSE41168	GSM1009760	T	None	1.5849625
12	Adipose-Normal	GSE41168	GSM1009772	T	None	4.643856
13	Adipose-Normal	GSE41168	GSM1009776	T	None	4.321928
14	Adipose-Normal	GSE41168	GSM1009800	T	None	4.523562
15	Adipose-Normal	GSE41168	GSM1009804	T	None	3.5849626
16	Adipose-Normal	GSE41168	GSM1009812	T	None	1.0
17	Adipose-Normal	GSE41168	GSM1009820	T	None	3.7004397
18	Adipose-Normal	GSE41168	GSM1009828	T	None	4.3923173
19	Adipose-Normal	GSE41168	GSM1009836	T	None	1.0
20	Adipose-Normal	GSE41168	GSM1009844	T	None	3.9068906
21	Adipose-Normal	GSE41168	GSM1009854	T	None	4.643856
22	Adipose-Normal	GSE41168	GSM1009872	T	None	4.523562
23	Adipose-Normal	GSE41168	GSM1009886	T	None	3.169925
24	Adipose-Normal	GSE43346	GSM1060754	T	None	7.9307375
25	Adipose-Normal	GSE7307	GSM175834	T	None	5.087463
26	Adipose-Normal	GSE7307	GSM175835	T	None	6.149747
27	Adipose-Normal	GSE7307	GSM175836	T	None	5.554589
28	Adipose-Normal	GSE7307	GSM175837	T	None	5.523562
29	Adipose-Normal	GSE7307	GSM175994	T	None	11.577901
30	Adipose-Normal	GSE7307	GSM176027	T	None	7.592457
31	Adipose-Normal	GSE7307	GSM176028	T	None	7.70044
32	Adipose-Normal	GSE7307	GSM176118	T	None	4.7548876
33	Adipose-Normal	GSE7307	GSM176119	T	None	5.882643
34	Adipose-Normal	GSE7307	GSM176121	T	None	3.5849626
35	Adipose-Normal	GSE13506	GSM340489	T	None	4.5849624
36	Adipose-Normal	GSE13506	GSM340490	T	None	5.169925
37	Adipose-Normal	GSE13506	GSM340491	T	None	1.5849625
38	Adipose-Normal	GSE13506	GSM340492	T	None	6.894818
39	Adipose-Normal	GSE13506	GSM340493	T	None	3.7004397
40	Adipose-Normal	GSE13506	GSM340494	T	None	2.5849626
41	Adipose-Normal	GSE13506	GSM340495	T	None	3.321928
42	Adipose-Normal	GSE13506	GSM340496	T	None	3.4594316
43	Adipose-Normal	GSE13506	GSM340497	T	None	4.9068904
44	Adipose-Normal	GSE13506	GSM340498	T	None	2.5849626
45	Adipose-Normal	GSE13506	GSM340499	T	None	4.9541965
46	Adipose-Normal	GSE13506	GSM340500	T	None	3.5849626
47	Adipose-Normal	GSE13506	GSM340501	T	None	8.303781
48	Adipose-Normal	GSE13506	GSM340502	T	None	7.523562
49	Adipose-Normal	GSE13506	GSM340503	T	None	3.169925
50	Adipose-Normal	GSE13506	GSM340504	T	None	2.5849626
51	Adipose-Normal	GSE13506	GSM340505	T	None	3.7004397
52	Adipose-Normal	GSE13506	GSM340506	T	None	8.375039
53	Adipose-Normal	GSE13506	GSM340507	T	None	4.4594316
54	Adipose-Normal	GSE13506	GSM340508	T	None	5.2854023
55	Adipose-Normal	GSE13506	GSM340509	T	None	2.0
56	Adipose-Normal	GSE13506	GSM340510	T	None	2.5849626
57	Adipose-Normal	GSE13506	GSM340511	T	None	4.7548876
58	Adipose-Normal	GSE13506	GSM340512	T	None	4.2479277
59	Adipose-Normal	GSE13506	GSM340513	T	None	2.0
60	Adipose-Normal	GSE13506	GSM340514	T	None	6.7279205
61	Adipose-Normal	GSE13506	GSM340515	T	None	3.169925
62	Adipose-Normal	GSE13506	GSM340516	T	None	1.5849625
63	Adipose-Normal	GSE13506	GSM340517	T	None	6.149747
64	Adipose-Normal	GSE13506	GSM340518	T	None	6.523562
65	Adipose-Normal	GSE13506	GSM340519	T	None	6.2479277
66	Adipose-Normal	GSE13506	GSM340520	T	None	1.0
67	Adipose-Normal	GSE13506	GSM340521	T	None	4.169925
68	Adipose-Normal	GSE13506	GSM340522	T	None	2.321928
69	Adipose-Normal	GSE13506	GSM340523	T	None	3.9068906
70	Adipose-Normal	GSE13506	GSM340524	T	None	7.592457
71	Adipose-Normal	GSE13506	GSM340525	T	None	2.807355
72	Adipose-Normal	GSE13506	GSM340526	T	None	3.4594316
73	Adipose-Normal	GSE13506	GSM340527	T	None	3.9068906
74	Adipose-Normal	GSE13506	GSM340528	T	None	3.5849626
75	Adipose-Normal	GSE13506	GSM340529	T	None	3.321928
76	Adipose-Normal	GSE13506	GSM340530	T	None	8.243174
77	Adipose-Normal	GSE13506	GSM340531	T	None	8.442944
78	Adipose-Normal	GSE13506	GSM340532	T	None	4.4594316
79	Adipose-Normal	GSE13506	GSM340533	T	None	5.2094536
80	Adipose-Normal	GSE13506	GSM340534	T	None	4.3923173
81	Adipose-Normal	GSE13506	GSM340535	T	None	7.5849624
82	Adipose-Normal	GSE13506	GSM340536	T	None	6.5849624
83	Adrenal_Gland-Cancer	GSE19776	GSM1094056	T	None	1.0
84	Adrenal_Gland-Cancer	GSE19776	GSM1094057	T	None	8.144658
85	Adrenal_Gland-Cancer	GSE19776	GSM1094058	T	None	3.321928
86	Adrenal_Gland-Cancer	GSE19776	GSM1094059	T	None	2.321928
