TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.2191687,7.9128895,11.195988,13.059852,8.758224,7.876517,10.173677,7.022368,5.807355,9.55267,10.23362,9.409391,8.475734,8.169925,8.0223675,7.4429436,8.033423,8.076816,9.182394,7.523562,Cervix-Cancer
8.647458,8.108524,11.512247,12.893681,9.245553,8.467606,10.615629,6.4594316,7.011227,9.802516,10.064743,9.432542,8.721099,7.098032,9.57554,7.6724253,10.449148,10.621136,9.583083,7.022368,Cervix-Cancer
8.330916,7.9943533,11.797256,14.073556,8.159871,8.442944,8.885696,7.169925,5.807355,9.603626,9.306062,8,9.216746,8.199673,7.876517,8.257388,7.169925,8.758224,9.611025,7.665336,Cervix-Cancer
9.055283,8.426265,11.372321,13.421802,10.508785,7.8137813,11.011228,4.9068904,7.022368,9.231221,10.651949,7.643856,8.882643,8.761551,10.929998,7.3923173,6.741467,11.616089,9.779719,7.7210994,Cervix-Cancer
8.447083,8.321928,11.220983,12.96398,9.027906,8.451211,10.159871,6.7142453,6.507795,9.915879,10.764042,12.617468,6.84549,7.159871,8.28077,8.348728,10.109831,12.884361,8.495855,7.507795,Cervix-Cancer
7.8265486,8.243174,11.070792,13.482556,10.088788,7.6865005,11.325305,4.9068904,7.7210994,9.864186,10.338737,11.86225,4.7548876,7.6865005,10.191059,7.539159,11.107871,11.75238,9.709084,7.1085243,Cervix-Cancer
8.228819,8.189824,11.218563,13.2946205,10.758224,8.103288,10.425216,4.4594316,6.2094536,9.53333,10.581201,11.064743,6.4429436,7.0768156,9.41996,6.5999126,5.9541965,12.224605,9.909893,7.098032,Cervix-Cancer
9.238404,8.0223675,11.262682,12.568668,9.868822,8.071463,11.0633955,5.321928,7.033423,9.847057,10.816184,12.120238,5.6724253,9.134426,9.942514,7.5849624,11.729196,12.517424,9.864186,7.851749,Cervix-Cancer
8.839204,8.848623,11.174301,12.838416,9.834471,8.357552,10.694358,3.321928,6.5698557,10.498849,9.824959,9.605479,9.543032,7.6865005,9.319673,7.741467,10.569856,11.441388,9.856425,7.5157,Cervix-Cancer
8.682995,8.661778,11.265029,12.602699,10.676839,8.409391,11.712527,5.044394,6.554589,10.319673,10.675957,11.664891,9.914385,8.764872,9.144658,7.9128895,10.82893,12.37992,9.804131,7.507795,Cervix-Cancer
8.139551,8.515699,11.306631,12.791774,9.914385,7.9248123,11.535275,4.321928,6.741467,10.047124,10.945444,11.741046,10.688251,7.3923173,8.839204,7.426265,10.603626,12.501589,9.693487,6.6582117,Cervix-Cancer
7.9188633,8.0168085,11.0741415,12.82893,10.13571,8.087462,10.94398,5.4594316,6.2094536,9.3014965,10.300352,9.681238,6.857981,7.876517,9.06609,7.67948,10.618385,12.202736,9.357552,6.426265,Cervix-Cancer
8.491853,7.768184,10.891784,12.981746,10.005625,7.409391,11.3117485,6.321928,6.9886847,9.815383,10.561288,8.503826,9.030667,7.820179,9.312883,7.169925,6.5849624,12.665336,9.092757,6.8703647,Cervix-Cancer
8.618385,7.97728,11.3117485,11.871135,9.61471,8.308339,11.2697115,5.6724253,7.169925,10.0821495,10.788718,10.2179575,7.426265,8.076816,9.824959,8.413628,11.61425,12.917745,10.49085,7.794416,Cervix-Cancer
8.696967,8.139551,11.114393,13.149112,10.380461,8.139551,10.35975,4.2479277,6.523562,9.896333,10.327553,10.808964,6.6293564,7.383704,9.556506,6.8703647,3.9068906,12.012974,9.804131,7.149747,Cervix-Cancer
9.521601,8.005625,11.064069,12.57341,9.60733,8.33539,10.962173,5.5849624,6.7279205,9.856425,10.709084,12.083812,6.5849624,9.179909,10.014021,7.507795,11.619761,12.176797,9.663558,7.851749,Cervix-Cancer
8.442944,8.103288,11.367414,11.673751,10.0182,8.0443945,11.220378,4,7.033423,10.269127,11.216746,9.459432,7.894818,7.84549,9.729621,8.873445,11.828533,12.961631,10.399812,7.8703647,Cervix-Cancer
8.960002,8.5961895,11.342074,12.472691,10.394463,8.784635,11.563196,4.7548876,7.022368,10.296916,10.815383,10.648357,10.247928,7.5849624,9.693487,7.971544,11.958552,12.357827,9.773139,7.4008794,Cervix-Cancer
8.939579,8.577429,11.493355,12.6515,10.411511,8.618385,11.530406,4.7548876,6.7142453,10.002815,11.032735,10.735556,10.161132,7.693487,9.245553,7.882643,11.838416,12.298062,9.611025,7.1898246,Cervix-Cancer
8.599913,8.219169,11.192909,13.265176,10.453271,8.375039,10.459432,4.321928,7.366322,9.625709,10.379378,10.469642,6.554589,7.179909,9.700439,7.087463,5.83289,12.190751,9.924812,6.9307375,Cervix-Cancer
8.78136,8.1649065,11.123475,13.026524,9.005625,8.285402,11.068107,4.4594316,7.3923173,9.283089,10.643856,11.463014,8.927778,7.643856,8.5961895,7.774787,11.097374,12.647908,9.445015,6.149747,Cervix-Cancer
8.5736475,7.577429,11.131857,12.955832,9.7414665,7.8703647,11.243769,3.7004397,6.7142453,9.2620945,10.427313,11.170551,8.894817,7.7615514,8.629356,7.6220517,11.012625,12.503329,9.214319,6.33985,Cervix-Cancer
8.531382,7.8137813,11.325868,12.843332,9.407268,7.9829936,10.807355,4.3923173,7.4429436,9.818583,11.542548,11.583553,10.326429,7.8887434,8.848623,8.06609,10.549785,12.627534,9.627534,7.4008794,Cervix-Cancer
9.33539,8.124122,11.125414,12.529675,10.049849,8.4346285,10.5736475,5.643856,6.9307375,10.023754,11.642954,11.072133,11.549785,7.794416,9.008429,8.679481,11.361396,12.843921,9.312883,7.2761245,Cervix-Cancer
7.6293564,7.7615514,10.818583,13.078818,10.04029,7.434628,10.440869,5.321928,7.1898246,8.848623,9.558421,9.850187,5.5849624,7.2384048,9.1649065,7.577429,10.5727005,12.385592,9.0443945,5.83289,Cervix-Cancer
7.900867,8.076816,11.319673,12.87575,9.763212,7.6220517,11.011228,4.3923173,6.3923173,9.515699,10.731319,12.413363,11.103944,7.383704,8.23362,7.6220517,10.711667,12.300067,9.535275,6.1085243,Cervix-Cancer
8.854868,7.839204,11.39714,13.374768,9.515699,7.61471,11.96398,5,7.4594316,10.354249,10.0182,8.4346285,10.300352,7.4757333,9.299208,7.129283,10.433585,11.861475,9.238404,7.6073303,Cervix-Cancer
8.48784,7.9541965,11.257388,12.981032,9.457381,8.033423,10.924812,4.857981,6.523562,9.283089,10.404078,11.101319,8.954196,7.366322,8.417852,7.741467,11.112439,12.222795,9.375039,6.409391,Cervix-Cancer
8.475734,8.0821495,11.183015,13.565102,9.839204,8.124122,9.087462,6.409391,5.83289,9.159871,9.837628,9.02514,9.850187,7.894818,8.84549,8.189824,11.784225,11.355351,8.991522,7.4838157,Cervix-Cancer
8.459432,7.6582117,11.550747,12.847645,9.465567,8.124122,10.368506,5.857981,6.3923173,8.882643,9.764872,7.066089,8.113742,7.900867,9.259744,7.6073303,9.938109,11.903505,9.696967,7.139551,Cervix-Cancer
8.985842,8.577429,11.553149,12.867665,9.674192,9.118941,11.005625,7.169925,7.3037806,9.324181,12.012974,10.924812,6.409391,7.665336,8.169925,8.076816,10.500842,12.167731,10.156083,7.5622425,Cervix-Cancer
7.011227,8.060696,11.241983,12.854868,9.131857,7.523562,9.985842,5.882643,6.83289,9.7414665,11.031357,9.949826,7.4838157,7.5849624,7.366322,7.882643,10.166163,11.696098,9.103288,7.321928,Cervix-Cancer
7.636625,7.9307375,11.3337145,13.504943,8.794415,8.2620945,10.045759,6.087463,6.794416,9.324181,9.857981,9.426265,7.67948,7.33985,8.768185,6.894818,10.389093,10.811375,9.60177,7.348728,Cervix-Cancer
8.33985,8.098032,11.635264,12.83684,9.42836,8.73471,11.558899,5.321928,6.643856,10.298062,10.070121,11.161761,8.392318,7.5999126,8.679481,7.8137813,12.591055,12.353147,9.721099,7.882643,Cervix-Cancer
8.214319,8.055283,11.778488,13.23332,10.01959,7.0552826,10.89406,4.7548876,7.9307375,10.188589,9.594325,8.543032,8.303781,9.303781,8.632996,7.67948,9.407268,12.203042,9.276124,6.7142453,Cervix-Cancer
6.554589,8.622052,11.99859,12.662223,8.700439,8.717676,10.239598,4.643856,8.049849,11.199059,10.465567,9.829722,9.131857,8,7.3750396,8.451211,9.4346285,12.036517,9.670656,6.4757333,Cervix-Cancer
8.954196,8.9307375,11.385324,12.666668,8.658212,8.503826,11.140191,6.507795,7.6582117,11.399278,10.568906,11.144021,7.70044,9.4998455,10.103288,7.960002,10.476747,11.410451,9.353147,6.807355,Cervix-Cancer
7.4757333,7.9541965,11.872675,13.008604,10.126704,8.774787,11.259744,3.9068906,7.9248123,10.748193,9.908393,9.103288,6.4594316,8.055283,8.527477,8.312883,10.776433,11.8572035,8.829722,6.9068904,Cervix-Cancer
