TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
9.257388,8.027906,10.997885,13.711452,9.769837,7.2191687,10.309476,3.321928,5.61471,9.489848,12.295769,9.693487,6.169925,6.6724253,7.066089,7.2667866,6.9068904,12.363587,8.714246,6.84549,Colon-Cancer
8.383704,7.820179,11.4893465,13.253257,9.493855,7.044394,11.032045,4.643856,6.4757333,9.611025,12.005976,9.118941,6.33985,7.011227,7.1898246,7.971544,8.588715,12.188589,9.273795,6.321928,Colon-Cancer
9.0223675,7.774787,11.183015,13.530163,9.467606,7.169925,10.414685,5.3923173,6.7142453,9.372865,11.2986355,9.357552,5.3923173,7.2854023,7.9943533,7.4178524,8.4346285,11.467096,8.721099,6.2854023,Colon-Cancer
8.413628,7.1898246,10.817783,13.541701,9.139551,6.9068904,10.189824,4.807355,5.087463,9.2946205,12.095727,8.804131,5.7813597,6.7279205,6.820179,7.7615514,7.426265,12.327271,8.189824,6.9541965,Colon-Cancer
8.0821495,8.348728,10.269127,13.917745,9.113742,5.9068904,10.547858,4.2479277,3.321928,9.592457,10.365229,10.033423,3.321928,7.6510515,6.9068904,6.1085243,7.149747,11.637983,6.794416,6.554589,Colon-Cancer
9.319673,7.7347097,10.585901,13.662668,9.643856,7.0768156,9.882643,3.807355,6.409391,9.475734,11.707359,10.036174,5.3923173,6.83289,7.2094536,7.5313816,7.0552826,12.248224,8.9008665,6.149747,Colon-Cancer
8.495855,7.7813597,11.509775,13.293471,9.78136,7.2384048,10.968667,4.807355,6.61471,9.501837,11.984419,9.06609,6.70044,7.357552,7.4429436,7.8265486,8.495855,12.184256,9.154819,6.491853,Colon-Cancer
8.97728,7.7347097,10.874213,13.520496,9.638436,7.1085243,10.210671,4.9541965,6.523562,9.197217,10.996473,9.461479,5.807355,7.098032,7.936638,7.5622425,8.388018,11.584493,8.807355,6.523562,Colon-Cancer
9.071463,7.434628,10.864186,13.388018,9.436711,7.011227,10.295769,4.7548876,5.6724253,9.3442955,12.201205,8.962896,5.807355,6.9068904,6.9307375,7.693487,7.5999126,12.503577,8.3706875,6.882643,Colon-Cancer
7.807355,8.055283,10.168673,13.832296,9.152285,6.3750396,10.407268,5.357552,5.7548876,9.577429,10.288866,10.048487,5.2094536,7.4594316,6.9068904,7.0552826,7.044394,11.463014,6.8703647,6.426265,Colon-Cancer
8.9008665,7.044394,11.565578,12.125414,10.649256,7.5849624,10.149747,4.3923173,6.169925,10.711667,12.416533,9.207014,5,7.539159,7.5468946,8.0168085,6.33985,12.598052,9.605479,7.33985,Colon-Cancer
9.571753,7.044394,11.197831,13.120562,10.719389,7.199672,9.995768,5.7279205,6.2854023,10.336507,11.26092,7.0768156,5.2854023,8.2620945,8.098032,7.9829936,8.266787,12.524297,10.293471,6.97728,Colon-Cancer
9.292321,7.839204,11.297489,12.89879,10.458406,6.3750396,9.315149,3.9068906,7.1189413,9.823367,11.606405,8.738092,4.169925,7.592457,7.1085243,7.8137813,8.84235,11.829722,9.702172,6.9068904,Colon-Cancer
9.776433,7.7548876,11.290595,12.720672,10.927037,7.6293564,9.99859,2.321928,6.022368,10.300352,11.759472,7.857981,4.643856,7.774787,7.70044,7.539159,6.820179,12.882261,9.592457,7.179909,Colon-Cancer
8.503826,7.820179,11.330916,12.987619,9.579316,7.087463,9.62022,4.169925,7.087463,9.97728,10.986553,8.174926,6.7142453,7.636625,7.228819,6.9886847,8.271463,11.857593,10.0539255,7.022368,Colon-Cancer
9.7911625,8.098032,11.294046,12.929813,10.092757,7.6220517,10.151016,5.523562,6.357552,10.437752,11.1111355,9.079485,5.554589,8.011228,8.357552,6.7548876,5.4594316,11.910643,9.649256,7.098032,Colon-Cancer
9.348728,7.383704,11.504322,12.933506,10.608254,8.108524,9.902375,4.857981,6.3923173,9.949826,11.294046,7.6582117,6.83289,7.61471,8.06609,7.4429436,7.1189413,11.942514,9.957102,6.61471,Colon-Cancer
8.727921,6.83289,11.474213,13.165221,10.471675,8.129283,9.6402445,4.321928,6.6293564,10.35975,11.209454,6.6293564,4.5849624,7.748193,8.257388,7.839204,6.3923173,12.108851,10.310613,7.087463,Colon-Cancer
9.663558,7.61471,11.155451,13.127672,10.550747,7.169925,9.807355,6.1898246,7.348728,10.320801,11.3442955,7.33985,5.087463,7.434628,7.592457,7.6293564,6.857981,11.787495,9.997179,6.9188633,Colon-Cancer
9.033423,4.857981,11.744413,13.086634,9.754888,7.774787,9.8902645,3.9068906,6.5698557,10.396605,11.499348,7.159871,2.5849626,8.0223675,8.0168085,7.741467,7.1898246,12.283378,9.856425,6.2667866,Colon-Cancer
7.4008794,7.5622425,11.0512085,13.116181,10.748193,7.330917,10.038919,3.321928,5.882643,9.61471,12.000704,10.394463,5.426265,7.312883,6.9886847,6.9886847,7.1189413,12.042343,9.174926,5.9541965,Colon-Cancer
9.47978,7.4178524,11.431498,12.992053,10.749031,7.748193,10.432542,6.022368,6.087463,10.330916,11.772315,8.204571,5.2854023,7.774787,8.149747,7.7813597,5.882643,12.444497,9.537218,7.3750396,Colon-Cancer
9.1848755,5.61471,11.923698,13.100005,9.985842,8.134426,10.544965,3.4594316,5.97728,10.44605,12.397675,7.9307375,4.70044,7.894818,8.6510515,8.011228,6.491853,12.737458,9.567956,7.2667866,Colon-Cancer
9.204571,8.321928,11.43202,13.084476,10.174926,7.5999126,10.426265,5.554589,6.5999126,10.396605,11.799686,7.499846,6.2667866,7.507795,6.83289,7.011227,7.3037806,11.674192,10.251482,7.577429,Colon-Cancer
8.857981,7.451211,11.252074,13.219169,10.0182,7.33985,9.611025,5.643856,7.2573876,10.527477,11.173677,8.731319,7.948367,7.84549,6.9425144,8.0443945,7.523562,10.265615,9.665336,6.357552,Colon-Cancer
10.992938,8.503826,11.388018,13.166477,10.415742,7.2191687,9.658212,3.807355,6.6293564,10.681238,11.731743,7.383704,4.9541965,7.4429436,7.9248123,8.271463,8.0821495,12.436191,10.433585,7.409391,Colon-Cancer
10.134426,8.087462,11.329797,12.976743,10.127995,8.049849,10.1947565,3.9068906,6.539159,10.460456,11.332596,8.851749,5.7279205,7.1189413,8.531382,6.4429436,7.507795,12.67926,10.001409,6.129283,Colon-Cancer
7.0768156,7.2667866,11.532356,12.453785,10.452241,7.348728,9.958552,4.2479277,7.087463,11.244364,11.417852,8.577429,4.321928,7.8137813,8.539159,7.960002,7.348728,12.931292,9.324181,7.149747,Colon-Cancer
9.42836,8.751544,11.273212,13.074643,10.225207,7.2946205,10.413628,2,6.6293564,10.6821165,11.617927,10.375039,5.3923173,6.768184,7.8887434,7.8887434,6.523562,11.932953,10.008429,7.491853,Colon-Cancer
