Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	8.939579
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	7.0768156
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	6.857981
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	7.0552826
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	6.768184
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	6.9188633
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	6.857981
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	6.741467
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	6.7548876
10	Adipose-Cancer	GSE13506	GSM340488	T	None	7.5999126
11	Adipose-Normal	GSE41168	GSM1009760	T	None	7.228819
12	Adipose-Normal	GSE41168	GSM1009772	T	None	6.9068904
13	Adipose-Normal	GSE41168	GSM1009776	T	None	7.5313816
14	Adipose-Normal	GSE41168	GSM1009800	T	None	8.027906
15	Adipose-Normal	GSE41168	GSM1009804	T	None	7.0768156
16	Adipose-Normal	GSE41168	GSM1009812	T	None	7.2573876
17	Adipose-Normal	GSE41168	GSM1009820	T	None	7.139551
18	Adipose-Normal	GSE41168	GSM1009828	T	None	7.3037806
19	Adipose-Normal	GSE41168	GSM1009836	T	None	7.149747
20	Adipose-Normal	GSE41168	GSM1009844	T	None	6.70044
21	Adipose-Normal	GSE41168	GSM1009854	T	None	7.4008794
22	Adipose-Normal	GSE41168	GSM1009872	T	None	7.228819
23	Adipose-Normal	GSE41168	GSM1009886	T	None	7.4676056
24	Adipose-Normal	GSE43346	GSM1060754	T	None	6.794416
25	Adipose-Normal	GSE7307	GSM175834	T	None	8.011228
26	Adipose-Normal	GSE7307	GSM175835	T	None	7.7879024
27	Adipose-Normal	GSE7307	GSM175836	T	None	7.807355
28	Adipose-Normal	GSE7307	GSM175837	T	None	7.61471
29	Adipose-Normal	GSE7307	GSM175994	T	None	7.348728
30	Adipose-Normal	GSE7307	GSM176027	T	None	7.5849624
31	Adipose-Normal	GSE7307	GSM176028	T	None	8.0821495
32	Adipose-Normal	GSE7307	GSM176118	T	None	7.6724253
33	Adipose-Normal	GSE7307	GSM176119	T	None	8.033423
34	Adipose-Normal	GSE7307	GSM176121	T	None	7.4676056
35	Adipose-Normal	GSE13506	GSM340489	T	None	7.2094536
36	Adipose-Normal	GSE13506	GSM340490	T	None	7.098032
37	Adipose-Normal	GSE13506	GSM340491	T	None	7.033423
38	Adipose-Normal	GSE13506	GSM340492	T	None	6.97728
39	Adipose-Normal	GSE13506	GSM340493	T	None	7.2573876
40	Adipose-Normal	GSE13506	GSM340494	T	None	6.9425144
41	Adipose-Normal	GSE13506	GSM340495	T	None	6.894818
42	Adipose-Normal	GSE13506	GSM340496	T	None	6.768184
43	Adipose-Normal	GSE13506	GSM340497	T	None	7.2384048
44	Adipose-Normal	GSE13506	GSM340498	T	None	7.4178524
45	Adipose-Normal	GSE13506	GSM340499	T	None	7.159871
46	Adipose-Normal	GSE13506	GSM340500	T	None	7.2191687
47	Adipose-Normal	GSE13506	GSM340501	T	None	7.357552
48	Adipose-Normal	GSE13506	GSM340502	T	None	7.2854023
49	Adipose-Normal	GSE13506	GSM340503	T	None	7.0768156
50	Adipose-Normal	GSE13506	GSM340504	T	None	7.426265
51	Adipose-Normal	GSE13506	GSM340505	T	None	7.022368
52	Adipose-Normal	GSE13506	GSM340506	T	None	6.820179
53	Adipose-Normal	GSE13506	GSM340507	T	None	7.6510515
54	Adipose-Normal	GSE13506	GSM340508	T	None	7.3037806
55	Adipose-Normal	GSE13506	GSM340509	T	None	6.9425144
56	Adipose-Normal	GSE13506	GSM340510	T	None	7.3923173
57	Adipose-Normal	GSE13506	GSM340511	T	None	7.4757333
58	Adipose-Normal	GSE13506	GSM340512	T	None	7.2573876
59	Adipose-Normal	GSE13506	GSM340513	T	None	7.4757333
60	Adipose-Normal	GSE13506	GSM340514	T	None	7.022368
61	Adipose-Normal	GSE13506	GSM340515	T	None	7.2384048
62	Adipose-Normal	GSE13506	GSM340516	T	None	6.807355
63	Adipose-Normal	GSE13506	GSM340517	T	None	6.33985
64	Adipose-Normal	GSE13506	GSM340518	T	None	7.011227
65	Adipose-Normal	GSE13506	GSM340519	T	None	7.0
66	Adipose-Normal	GSE13506	GSM340520	T	None	7.228819
67	Adipose-Normal	GSE13506	GSM340521	T	None	7.098032
