Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	8.038919
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	9.592457
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	9.61471
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	9.415742
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	9.447083
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	9.541097
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	9.675957
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	9.139551
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	9.214319
10	Adipose-Cancer	GSE13506	GSM340488	T	None	9.071463
11	Adipose-Normal	GSE41168	GSM1009760	T	None	8.9128895
12	Adipose-Normal	GSE41168	GSM1009772	T	None	7.5468946
13	Adipose-Normal	GSE41168	GSM1009776	T	None	8.312883
14	Adipose-Normal	GSE41168	GSM1009800	T	None	8.199673
15	Adipose-Normal	GSE41168	GSM1009804	T	None	8.134426
16	Adipose-Normal	GSE41168	GSM1009812	T	None	8.139551
17	Adipose-Normal	GSE41168	GSM1009820	T	None	8.696967
18	Adipose-Normal	GSE41168	GSM1009828	T	None	8.491853
19	Adipose-Normal	GSE41168	GSM1009836	T	None	8.1947565
20	Adipose-Normal	GSE41168	GSM1009844	T	None	8.569856
21	Adipose-Normal	GSE41168	GSM1009854	T	None	8.636624
22	Adipose-Normal	GSE41168	GSM1009872	T	None	8.1649065
23	Adipose-Normal	GSE41168	GSM1009886	T	None	8.73471
24	Adipose-Normal	GSE43346	GSM1060754	T	None	9.108524
25	Adipose-Normal	GSE7307	GSM175834	T	None	8.965784
26	Adipose-Normal	GSE7307	GSM175835	T	None	9.157347
27	Adipose-Normal	GSE7307	GSM175836	T	None	8.748193
28	Adipose-Normal	GSE7307	GSM175837	T	None	8.897845
29	Adipose-Normal	GSE7307	GSM175994	T	None	10.2300205
30	Adipose-Normal	GSE7307	GSM176027	T	None	9.337622
31	Adipose-Normal	GSE7307	GSM176028	T	None	8.994353
32	Adipose-Normal	GSE7307	GSM176118	T	None	8.894817
33	Adipose-Normal	GSE7307	GSM176119	T	None	9.108524
34	Adipose-Normal	GSE7307	GSM176121	T	None	8.826549
35	Adipose-Normal	GSE13506	GSM340489	T	None	8.7911625
36	Adipose-Normal	GSE13506	GSM340490	T	None	9.445015
37	Adipose-Normal	GSE13506	GSM340491	T	None	9.144658
38	Adipose-Normal	GSE13506	GSM340492	T	None	8.710807
39	Adipose-Normal	GSE13506	GSM340493	T	None	9.209454
40	Adipose-Normal	GSE13506	GSM340494	T	None	9.299208
41	Adipose-Normal	GSE13506	GSM340495	T	None	9.030667
42	Adipose-Normal	GSE13506	GSM340496	T	None	9.113742
43	Adipose-Normal	GSE13506	GSM340497	T	None	9.266787
44	Adipose-Normal	GSE13506	GSM340498	T	None	9.308339
45	Adipose-Normal	GSE13506	GSM340499	T	None	9.124122
46	Adipose-Normal	GSE13506	GSM340500	T	None	8.84235
47	Adipose-Normal	GSE13506	GSM340501	T	None	9.259744
48	Adipose-Normal	GSE13506	GSM340502	T	None	8.507794
49	Adipose-Normal	GSE13506	GSM340503	T	None	9.346514
50	Adipose-Normal	GSE13506	GSM340504	T	None	9.0
51	Adipose-Normal	GSE13506	GSM340505	T	None	9.257388
52	Adipose-Normal	GSE13506	GSM340506	T	None	9.364135
