TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
8.463525,8.285402,11.193525,12.694575,9.818583,7.6293564,10.505812,5.7813597,7.2479277,9.984419,12.400079,9.473705,6.5698557,7.5849624,8.317412,8.06609,8.049849,10.62022,9.981567,7.4178524,Endometrium-Cancer
8.139551,8.768185,12.0871315,13.409258,9.584963,7.900867,10.5736475,4.807355,7.228819,9.933691,11.821376,8.33539,7.044394,7.434628,8.257388,8.566054,7.5157,12.290307,10.406205,7.179909,Endometrium-Cancer
8.903882,8.83289,12.093417,13.902941,9.665336,8.098032,10.0168085,5.97728,7.179909,9.831307,11.67992,7.426265,6.9541965,8.076816,8.247928,8.139551,8.092757,12.097374,10.096715,7.741467,Endometrium-Cancer
8.139551,8.4998455,11.725367,13.528576,9.882643,8.076816,9.264442,7.9886847,7.491853,10.368506,9.774787,9.554589,5.087463,7.330917,8.495855,9.430452,10.527477,4.5849624,9.927778,7.741467,Endometrium-Cancer
9.698705,8.276124,11.2579775,12.797459,10.715104,7.434628,9.807355,7.4676056,7.857981,9.342074,10.602699,6.794416,7.366322,7.2854023,10.292321,9.0223675,7.9425144,10.134426,9.897845,7.6724253,Endometrium-Cancer
9.3663225,8.622052,11.695663,13.361944,10.183636,7.554589,10.215533,5.807355,6.61471,9.531382,12.169925,9.449148,6.066089,7.5849624,8.214319,9.038919,7.807355,12.380732,10.540128,7.409391,Endometrium-Cancer
8.707359,8.554589,11.662668,13.602931,9.513727,7.6293564,10.151016,6.1898246,7.6724253,9.581201,13.453785,10.846274,7.4429436,7.4008794,8.144658,8.2620945,7.4757333,10.644757,9.824959,7.366322,Endometrium-Cancer
7.9541965,8.588715,11.455841,13.431367,9.515699,8.707359,10.429407,6.61471,5.426265,9.197217,8.982993,4.087463,6.6865005,7.4676056,8.0223675,7.066089,6.4757333,6.507795,9.396605,8.005625,Endometrium-Cancer
9.688251,8.442944,11.549303,13.805744,9.727921,6.9068904,9.598052,4.70044,7.2573876,9.211888,11.0821495,7.434628,6.2667866,7.741467,8.807355,8.129283,7.330917,11.543032,9.590587,6.820179,Endometrium-Cancer
9.2946205,8.491853,11.611025,13.06693,10.492855,7.84549,10.273795,6.321928,7.409391,9.807355,11.57554,8.554589,7.022368,7.523562,8.61471,7.83289,6.97728,12.292609,9.28077,7.4594316,Endometrium-Cancer
9.319673,8.888743,11.738515,13.488719,10.306062,7.6582117,10.441907,5.044394,7.169925,9.623881,12.302924,7.5157,6.5698557,7.7879024,8.535275,8.417852,7.6582117,11.647908,10.059344,7.539159,Endometrium-Cancer
8.179909,8.48784,11.75739,13.933875,9.686501,7.8137813,9.774787,6.321928,6.539159,9.61471,11.810973,8.228819,6.61471,7.820179,8.1649065,7.851749,8.113742,11.831307,10.060696,7.554589,Endometrium-Cancer
8.463525,7.876517,11.706496,12.817983,10.067434,8.731319,9.751544,5.2854023,6.9425144,10.070121,11.471675,10.3442955,6.9425144,8.076816,8.1947565,8.784635,11.441388,10.758224,10.088788,6.7813597,Endometrium-Cancer
