TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.774787,7.748193,11.379378,13.878818,9.154819,8.4998455,10.027906,7.044394,6.5698557,11.44605,10.3442955,8.214319,7.6724253,7.592457,8.467606,8.219169,8.622052,10.604553,9.192293,7.022368,Esophagus-Cancer
6.84549,6.84549,11.24674,13.46263,9.290019,7.7813597,10.027906,6.409391,6.149747,10.782998,11.553629,9.076816,9.2502985,8.379378,10.449148,8.654636,8.867279,11.688251,8.994353,7.2573876,Esophagus-Cancer
4.807355,7.523562,11.377211,13.063901,9.560333,7.8703647,10.733015,1.5849625,6.169925,9.807355,12.144021,7.948367,5.554589,7.33985,8.2526655,7.9425144,10.372865,12.788514,8.438792,7.022368,Esophagus-Cancer
9.317412,7.330917,11.429407,13.337622,9.388018,7.491853,10.721953,3.4594316,6.5849624,10.380461,12.520618,7.857981,5.426265,7.2761245,8.689998,8.383704,5.6724253,12.291171,9.23362,6.2854023,Esophagus-Cancer
6.491853,8.049849,11.240195,13.349973,9.667111,8.467606,10.368506,5.857981,7.5313816,12.538674,11.62022,9.174926,7.9829936,7.022368,9.577429,7.409391,5.2479277,12.723021,9.226412,6.9425144,Esophagus-Cancer
6.1085243,5.9541965,11.817783,13.205793,10.104599,8.4346285,10.617468,2,6.507795,10.391244,11.6807995,9.214319,7.159871,7.011227,8.257388,8.118941,5.321928,12.383164,9.78136,7.1898246,Esophagus-Cancer
6.4594316,5.523562,11.793603,12.958009,9.1163435,8.23362,10.443979,3,6.9425144,9.920353,12.478011,11.388556,5.6724253,7.491853,8.361944,7.523562,5.554589,13.014718,9.67772,7.409391,Esophagus-Cancer
9.667111,6.9425144,11.594791,13.315149,10.391244,7.434628,10.642954,4.321928,6.149747,9.804131,12.746514,6.5698557,6.84549,6.4429436,7.7073593,7.948367,4.523562,12.094737,9.622052,5.807355,Esophagus-Cancer
7.2094536,7.936638,11.043711,13.290163,8.918863,7.7615514,11.179287,5.491853,6.169925,10.228819,10.84784,10.659996,5.643856,6.807355,8.764872,6.33985,8.870365,11.36304,8.962896,7.1189413,Esophagus-Cancer
6.2094536,8.214319,11.735979,13.456354,9.774787,7.0768156,10.088788,3.4594316,6.523562,11.149747,11.50134,9.724514,5.9541965,7.409391,7.6510515,8.383704,11.272046,12.725367,9.7911625,6.6865005,Esophagus-Cancer
