TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.2854023,8.224002,11.578373,13.495106,10.134426,7.426265,9.805744,4.643856,6.4757333,8.915879,10.626621,6.554589,5.9307375,8.539159,9.092757,7.7615514,8.228819,3.7004397,8.957102,7.7879024,Eye-Cancer
7.9943533,9.005625,11.049849,12.2946205,9.682995,8.276124,10.213104,5.2854023,6.8703647,9.169925,11.587309,8.098032,7.139551,7.6865005,3.5849626,8.204571,7.087463,10.2842455,9.834471,7.330917,Eye-Cancer
7.5157,8.392318,11.285402,13.231821,9.550747,8.139551,10.589651,5.6724253,7.179909,8.353147,10.759889,9.417852,5.426265,7.882643,5.426265,8.554589,7.6724253,12.257683,9.23362,7.3750396,Eye-Cancer
7.2761245,9.299208,12.522581,13.191214,9.1947565,7.539159,9.525521,3.321928,6.84549,9.661778,10.732167,7.794416,4.3923173,9.292321,7.9886847,9.761551,6.3037806,12.247038,10.181152,6.83289,Eye-Cancer
7.4429436,8.857981,10.855647,13.219319,9.126704,7.948367,9.411511,9.7565565,6.4594316,8.668885,9.396605,8.751544,4.807355,8.169925,5.357552,7.768184,7.011227,13.253257,8.569856,7.636625,Eye-Cancer
6.554589,8.543032,11.042343,13.216291,9.581201,8.330916,10.227616,7,7.087463,9.276124,10.61379,8.214319,3,9.055283,6.2094536,7.426265,6.2479277,12.028597,9.330916,9.049849,Eye-Cancer
7.768184,8.455327,10.470659,12.629128,9.779719,8.3663225,10.478769,6.9188633,5.3923173,8.891784,8.710807,9.714246,7.7879024,8.209454,7.1189413,7.451211,8.761551,12.263562,8.797662,8.885696,Eye-Cancer
5.523562,8.942514,11.779309,12.650154,8.918863,8.060696,10.679481,7.348728,8.247928,8.011228,11.146568,9.346514,7.139551,8.290019,4.857981,7.794416,8.3706875,9.121533,9.957102,7.2384048,Eye-Cancer
6.6293564,8.159871,11.205182,13.090444,8.794415,7.5999126,10.691744,6.169925,6.6865005,8.515699,10.556506,6.9068904,5.4594316,8.724514,6.1898246,7.794416,7.2854023,11.910643,9.02514,8.149747,Eye-Cancer
6.9307375,8.921841,11.240791,13.8303175,8.451211,7.851749,10.036174,7.2384048,5.97728,7.960002,10.127995,9.584963,4.087463,7.839204,5.087463,7.5622425,8,10.159871,8.668885,7.434628,Eye-Cancer
