Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	7.8641863
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	8.483816
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	8.554589
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	9.413628
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	8.40088
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	9.515699
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	9.014021
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	8.0223675
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	9.649256
10	Adipose-Cancer	GSE13506	GSM340488	T	None	7.139551
11	Adipose-Normal	GSE41168	GSM1009760	T	None	8.308339
12	Adipose-Normal	GSE41168	GSM1009772	T	None	7.5849624
13	Adipose-Normal	GSE41168	GSM1009776	T	None	8.159871
14	Adipose-Normal	GSE41168	GSM1009800	T	None	8.550747
15	Adipose-Normal	GSE41168	GSM1009804	T	None	8.271463
16	Adipose-Normal	GSE41168	GSM1009812	T	None	8.330916
17	Adipose-Normal	GSE41168	GSM1009820	T	None	7.857981
18	Adipose-Normal	GSE41168	GSM1009828	T	None	8.4346285
19	Adipose-Normal	GSE41168	GSM1009836	T	None	7.7548876
20	Adipose-Normal	GSE41168	GSM1009844	T	None	8.330916
21	Adipose-Normal	GSE41168	GSM1009854	T	None	8.189824
22	Adipose-Normal	GSE41168	GSM1009872	T	None	7.9425144
23	Adipose-Normal	GSE41168	GSM1009886	T	None	8.174926
24	Adipose-Normal	GSE43346	GSM1060754	T	None	8.758224
25	Adipose-Normal	GSE7307	GSM175834	T	None	8.348728
26	Adipose-Normal	GSE7307	GSM175835	T	None	7.965784
27	Adipose-Normal	GSE7307	GSM175836	T	None	8.076816
28	Adipose-Normal	GSE7307	GSM175837	T	None	7.70044
29	Adipose-Normal	GSE7307	GSM175994	T	None	10.92407
30	Adipose-Normal	GSE7307	GSM176027	T	None	8.751544
31	Adipose-Normal	GSE7307	GSM176028	T	None	8.985842
32	Adipose-Normal	GSE7307	GSM176118	T	None	8.471675
33	Adipose-Normal	GSE7307	GSM176119	T	None	8.483816
34	Adipose-Normal	GSE7307	GSM176121	T	None	7.577429
35	Adipose-Normal	GSE13506	GSM340489	T	None	6.409391
36	Adipose-Normal	GSE13506	GSM340490	T	None	6.807355
37	Adipose-Normal	GSE13506	GSM340491	T	None	7.9829936
38	Adipose-Normal	GSE13506	GSM340492	T	None	7.768184
39	Adipose-Normal	GSE13506	GSM340493	T	None	7.129283
40	Adipose-Normal	GSE13506	GSM340494	T	None	7.2667866
41	Adipose-Normal	GSE13506	GSM340495	T	None	6.7279205
42	Adipose-Normal	GSE13506	GSM340496	T	None	7.321928
43	Adipose-Normal	GSE13506	GSM340497	T	None	7.366322
44	Adipose-Normal	GSE13506	GSM340498	T	None	6.8703647
45	Adipose-Normal	GSE13506	GSM340499	T	None	7.2479277
46	Adipose-Normal	GSE13506	GSM340500	T	None	6.9307375
47	Adipose-Normal	GSE13506	GSM340501	T	None	8.864186
48	Adipose-Normal	GSE13506	GSM340502	T	None	8.308339
49	Adipose-Normal	GSE13506	GSM340503	T	None	7.044394
50	Adipose-Normal	GSE13506	GSM340504	T	None	7.6865005
51	Adipose-Normal	GSE13506	GSM340505	T	None	7.4757333
52	Adipose-Normal	GSE13506	GSM340506	T	None	8.73471
53	Adipose-Normal	GSE13506	GSM340507	T	None	6.4757333
54	Adipose-Normal	GSE13506	GSM340508	T	None	7.7879024
55	Adipose-Normal	GSE13506	GSM340509	T	None	6.0
56	Adipose-Normal	GSE13506	GSM340510	T	None	6.7142453
57	Adipose-Normal	GSE13506	GSM340511	T	None	6.643856
58	Adipose-Normal	GSE13506	GSM340512	T	None	7.033423
