TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
9.139551,9.057992,11.245553,12.434107,8.47978,8.507794,8.731319,4.169925,5.2094536,9.710807,10.456354,10.027906,8.543032,9.057992,8.710807,8.092757,8.939579,12.982816,8.758224,7.7279205,Gallbladder-Cancer
9.076816,8.9008665,11.42836,12.551708,8.527477,8.643856,9.01959,4.3923173,6.5698557,9.228819,10.195988,10.897845,5.321928,9.269127,8.308339,7.807355,4.4594316,12.566768,8.982993,8.060696,Gallbladder-Cancer
9.310613,9.5961895,11.291171,12.251779,9.411511,8.848623,9.733015,6.5849624,6.129283,9.266787,11.222191,9.255029,5.9541965,8.84235,8.0821495,8.787903,6.33985,12.346236,8.396605,8.219169,Gallbladder-Cancer
8.672425,9.273795,9.743152,10.571753,8.290019,9.027906,9.271463,9.537218,5.70044,9.368506,9.0443945,5.169925,6.2094536,9.731319,8.189824,7.348728,8.810572,10.663558,8.761551,8.960002,Gallbladder-Cancer
10.100662,9.609179,11.344851,11.971903,8.388018,8.539159,9.40088,4.169925,6.022368,9.592457,10.413628,9.449148,2,9.243174,8.049849,8.413628,6.491853,12.456611,8.774787,8.199673,Gallbladder-Cancer
9.475734,7.7210994,11.00422,12.516192,8.820179,8.78136,9.1369915,3.7004397,5.2094536,9.432542,10.594325,10.328675,7.3037806,9.047124,6.6865005,8.238404,4.7548876,12.795431,7.6865005,7.2094536,Gallbladder-Cancer
5.70044,9.668885,12.044052,13.213256,7.033423,6.321928,8.076816,4.857981,6.228819,10.36304,12.102632,11.010529,5.129283,7.9886847,7.9307375,9.350939,10.535275,13.0539255,8.876517,5.9307375,Gallbladder-Cancer
5.3923173,8.710807,11.895576,13.108524,8.4998455,6.741467,9.442944,5.129283,6.5999126,9.97871,12.203042,10.851749,6.169925,8.124122,8.199673,9.157347,10.084808,12.315999,8.813781,5.357552,Gallbladder-Cancer
7.7615514,9.3663225,11.931477,12.881687,7.8137813,7.321928,9.33539,4.087463,6.1898246,10.62022,11.043027,12.992053,5.087463,6.7548876,8.888743,8.84235,5.2854023,12.28048,8.209454,7.1085243,Gallbladder-Cancer
6.554589,9.283089,11.779309,12.909893,7.5849624,6.4429436,8.936638,5.357552,5.97728,10.449148,10.794415,12.912328,5.491853,7.383704,7.9829936,8.988685,7.851749,12.584493,8.661778,6.70044,Gallbladder-Cancer
7.8641863,8.179909,11.47015,13.279175,8.876517,6.409391,8.714246,5.4594316,6.6293564,8.882643,11.746934,9.231221,6.794416,7.4178524,7.97728,8.515699,9.8902645,9.786269,8.622052,6.228819,Gallbladder-Cancer
7.9128895,8.672425,11.894439,13.30164,8.647458,6.3750396,9.154819,2.807355,7.2573876,9.330916,11.33818,8.9008665,4.807355,6.857981,8.33985,8.658212,9.394463,12.203348,8.154819,6.3037806,Gallbladder-Cancer
8.3663225,8.665336,11.403012,12.786065,9.548821,6.5698557,9.535275,4,6.7813597,9.616549,11.2348175,11.521601,6.1085243,7.491853,8.84549,9.095397,7.857981,12.66689,9.603626,6.507795,Gallbladder-Cancer
7.9188633,8.511753,11.077483,13.052399,9.372865,8.665336,10.391244,8.451211,5.2854023,9.751544,10.612868,8.643856,7.491853,8.3442955,8.2946205,7.159871,5.6724253,10.95565,9.902375,8.092757,Gallbladder-Normal
8.962896,9.375039,10.670656,12.8701725,8.330916,8.629356,9.092757,7.4429436,5.426265,10.047124,10.697836,8.599913,5.2094536,9.308339,8.299208,7.5468946,5.70044,12.888172,8.129283,7.971544,Gallbladder-Normal
9.381543,9.310613,11.049168,12.437232,8.794415,8.921841,9.8626375,3.7004397,5.4594316,9.471675,11.080152,9.643856,4.857981,8.939579,8.442944,7.936638,3.9068906,12.835261,8.864186,8.5736475,Gallbladder-Normal
8.523562,9.724514,10.571753,12.695446,6.857981,8.618385,10.0741415,6.1085243,6.426265,9.761551,11.214319,9.962896,4.9541965,8.430452,7.0552826,7.507795,6.2854023,12.86225,8.471675,9.245553,Gallbladder-Normal
8.888743,9.625709,11.41257,12.528454,8.144658,9.216746,9.2502985,4.643856,5.5849624,9.754888,11.032735,8.159871,3.9068906,9.055283,8.417852,8.139551,4.523562,12.893302,8.519636,8.61471,Gallbladder-Normal
