Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	8.169925
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	9.769837
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	8.661778
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	10.062046
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	9.668885
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	9.864186
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	10.06609
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	10.485829
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	10.404078
10	Adipose-Cancer	GSE13506	GSM340488	T	None	8.625709
11	Adipose-Normal	GSE41168	GSM1009760	T	None	9.824959
12	Adipose-Normal	GSE41168	GSM1009772	T	None	10.28077
13	Adipose-Normal	GSE41168	GSM1009776	T	None	9.139551
14	Adipose-Normal	GSE41168	GSM1009800	T	None	9.204571
15	Adipose-Normal	GSE41168	GSM1009804	T	None	9.6564245
16	Adipose-Normal	GSE41168	GSM1009812	T	None	9.721099
17	Adipose-Normal	GSE41168	GSM1009820	T	None	10.0
18	Adipose-Normal	GSE41168	GSM1009828	T	None	10.411511
19	Adipose-Normal	GSE41168	GSM1009836	T	None	10.101975
20	Adipose-Normal	GSE41168	GSM1009844	T	None	9.717676
21	Adipose-Normal	GSE41168	GSM1009854	T	None	10.027906
22	Adipose-Normal	GSE41168	GSM1009872	T	None	10.391244
23	Adipose-Normal	GSE41168	GSM1009886	T	None	8.312883
24	Adipose-Normal	GSE43346	GSM1060754	T	None	9.240791
25	Adipose-Normal	GSE7307	GSM175834	T	None	8.118941
26	Adipose-Normal	GSE7307	GSM175835	T	None	8.285402
27	Adipose-Normal	GSE7307	GSM175836	T	None	10.183636
28	Adipose-Normal	GSE7307	GSM175837	T	None	7.948367
29	Adipose-Normal	GSE7307	GSM175994	T	None	9.4346285
30	Adipose-Normal	GSE7307	GSM176027	T	None	8.778077
31	Adipose-Normal	GSE7307	GSM176028	T	None	9.560333
32	Adipose-Normal	GSE7307	GSM176118	T	None	8.224002
33	Adipose-Normal	GSE7307	GSM176119	T	None	8.523562
34	Adipose-Normal	GSE7307	GSM176121	T	None	8.442944
