Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	9.392318
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	8.84235
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	8.820179
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	8.689998
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	8.97728
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	8.83289
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	9.057992
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	8.848623
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	8.592457
10	Adipose-Cancer	GSE13506	GSM340488	T	None	9.271463
11	Adipose-Normal	GSE41168	GSM1009760	T	None	8.2946205
12	Adipose-Normal	GSE41168	GSM1009772	T	None	8.144658
13	Adipose-Normal	GSE41168	GSM1009776	T	None	8.266787
14	Adipose-Normal	GSE41168	GSM1009800	T	None	8.813781
15	Adipose-Normal	GSE41168	GSM1009804	T	None	8.154819
16	Adipose-Normal	GSE41168	GSM1009812	T	None	8.388018
17	Adipose-Normal	GSE41168	GSM1009820	T	None	8.442944
18	Adipose-Normal	GSE41168	GSM1009828	T	None	8.33985
19	Adipose-Normal	GSE41168	GSM1009836	T	None	8.348728
20	Adipose-Normal	GSE41168	GSM1009844	T	None	8.189824
21	Adipose-Normal	GSE41168	GSM1009854	T	None	8.5736475
22	Adipose-Normal	GSE41168	GSM1009872	T	None	8.531382
23	Adipose-Normal	GSE41168	GSM1009886	T	None	8.199673
24	Adipose-Normal	GSE43346	GSM1060754	T	None	8.654636
25	Adipose-Normal	GSE7307	GSM175834	T	None	9.011228
26	Adipose-Normal	GSE7307	GSM175835	T	None	9.0821495
27	Adipose-Normal	GSE7307	GSM175836	T	None	9.038919
28	Adipose-Normal	GSE7307	GSM175837	T	None	9.1369915
29	Adipose-Normal	GSE7307	GSM175994	T	None	9.35975
30	Adipose-Normal	GSE7307	GSM176027	T	None	9.259744
31	Adipose-Normal	GSE7307	GSM176028	T	None	9.346514
32	Adipose-Normal	GSE7307	GSM176118	T	None	8.475734
33	Adipose-Normal	GSE7307	GSM176119	T	None	8.61471
34	Adipose-Normal	GSE7307	GSM176121	T	None	8.47978
