TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
5.426265,8.618385,11.75614,13.215685,8.654636,8.0443945,11.058668,5.4594316,6.507795,9.475734,12.149429,9.179909,9.688251,7.643856,8.055283,7.066089,5.6724253,11.196602,8.696967,7.4676056,Kidney-Cancer
5.321928,8.285402,11.615629,13.273358,8.154819,7.936638,10.933691,4.087463,5.61471,10.0512085,10.816184,8.829722,8.463525,7.636625,7.9307375,7.83289,5.7279205,11.059344,8.179909,7.179909,Kidney-Cancer
4.807355,8.794415,12.032735,13.0633955,9.144658,8,11.3592005,3.321928,6.357552,10.726218,9.7414665,9.936638,6.087463,7.6865005,9.693487,6.97728,6.6582117,10.511753,8.848623,8.134426,Kidney-Cancer
6.357552,8.303781,11.75238,13.217806,9.124122,6.84549,10.239598,3.807355,6.228819,9.236014,11.715533,8.78136,10.3185425,6.807355,7.9541965,7.4594316,5.70044,10.518653,8.243174,7.022368,Kidney-Cancer
5.426265,9.008429,11.922585,13.101811,9.202124,8.0821495,11.023754,5.554589,6.169925,10.696098,9.902375,8.6510515,5.2479277,8.169925,9.688251,7.499846,5.97728,10.333156,9.129283,8.1649065,Kidney-Cancer
5.7279205,8.357552,11.926296,13.088457,9.095397,7.6073303,10.9151325,4.087463,6.491853,9.753217,12.233919,8.3442955,10.026524,7.1898246,7.9829936,7.3923173,5.044394,10.808964,8.535275,7.33985,Kidney-Cancer
5.357552,8.379378,11.976564,12.989394,9.285402,7.5849624,10.789534,4.321928,6.9425144,9.463525,12.263562,8.28077,9.396605,7.199672,8.535275,7.5157,5.83289,10.985842,8.794415,7.33985,Kidney-Cancer
5.2094536,8.577429,11.714246,13.315433,8.438792,7.499846,10.626621,5.044394,7.033423,10.027906,11.856425,8.960002,9.47978,7.6293564,8.33539,7.6073303,5.554589,11.435149,8.392318,7.087463,Kidney-Cancer
5.321928,8.599913,12.097045,13.214168,7.960002,8.2620945,11.03686,5.2094536,6.9425144,9.7565565,12.151016,9.095397,10.1369915,7.507795,8.076816,7.4676056,5.7813597,11.070792,8.483816,7.179909,Kidney-Cancer
5.9068904,8.84235,11.621136,13.163021,9.481799,7.807355,11.006326,2.5849626,5.554589,9.804131,10.721953,11.49835,6,7.357552,10.01959,6.894818,6.4429436,10.73978,8.519636,7.4008794,Kidney-Cancer
6.169925,8.9008665,11.898224,13.104762,9.712527,8.204571,10.73978,4.70044,6.2854023,10.221587,10.036174,9.974415,6.523562,8.113742,10.80655,7.6582117,6.7142453,10.032045,9.0741415,8.098032,Kidney-Cancer
5.7279205,8.209454,11.718533,13.000352,9.324181,7.087463,10.715962,3.7004397,6.5999126,9.413628,11.87229,9.403012,9.426265,7.087463,7.499846,7.169925,5.7548876,10.782998,8.326429,7.022368,Kidney-Cancer
6.3037806,8.2620945,11.897845,13.559497,8.321928,7.768184,10.604553,4.523562,6,10.203348,10.326429,8.991522,6.768184,7.61471,8.584963,7.61471,6.6293564,10.511753,8.299208,7.7548876,Kidney-Cancer
5.97728,8.6402445,11.889504,13.267957,9.481799,8.1848755,10.883407,5.426265,5.321928,10.23721,10.221587,8.6510515,6.1898246,7.9068904,9.379378,7.6582117,7.149747,9.375039,8.813781,8.1947565,Kidney-Cancer
6.491853,8.507794,11.7000065,13.203195,9.214319,6.7279205,10.364135,3.169925,5.97728,9.703903,10.273795,10.236014,7.5157,7.451211,10.023754,7.70044,7.228819,11.366869,8.303781,7.7142453,Kidney-Cancer
7.9541965,8.379378,10.763212,13.016286,9.179909,8.511753,9.440869,6.9886847,6.61471,9.346514,9.594325,9.477758,7.044394,8.174926,9.543032,6.7548876,7.7879024,9.748193,9.527477,7.665336,Kidney-Cancer
8.005625,8.471675,11.026524,13.222493,9.211888,8.285402,10.477758,6.7813597,3.4594316,9.550747,10.577429,8.569856,7.087463,7.1085243,9.933691,7.8009,7.159871,10.0754795,9.033423,7.9068904,Kidney-Cancer
7.228819,8.1848755,10.904634,13.445662,9.364135,7.6510515,9.372865,6.066089,6.2094536,9.221587,9.560333,9.1163435,8.011228,7.6582117,10.856425,7.9541965,7.312883,9.823367,9.228819,7.1189413,Kidney-Cancer
7.857981,7.6293564,10.925554,13.092922,9.652845,8.0168085,9.521601,6.066089,6.554589,9.1947565,9.816983,9.442944,6.7279205,7.636625,10.368506,7.7615514,7.960002,10.823367,8.994353,7.5849624,Kidney-Cancer
8.577429,8.48784,8.83605,11.161761,8.813781,9.036174,8.396605,8.303781,6.149747,9.0443945,8.891784,7.2854023,8.495855,7.768184,8.707359,7.876517,9.3663225,7.768184,8.33539,8.1848755,Kidney-Cancer
7.451211,8.654636,11.239598,13.34693,8.475734,7.9128895,9.544965,6.794416,6.61471,9.55267,9.949826,8,7.2384048,7.965784,9.142107,7.491853,7.7073593,8.982993,9.231221,7.4838157,Kidney-Cancer
8.224002,7.9541965,11.195373,12.884933,9.914385,7.539159,9.915879,5.61471,6.554589,9.523562,11.0868,10.052568,5.61471,7.592457,8.714246,6.426265,7.149747,12.9710045,8.754888,7.7615514,Kidney-Cancer
7.965784,8.308339,10.968667,13.645321,9.113742,8.038919,9.324181,6.83289,6.5698557,9.317412,9.296916,10.549785,7.7279205,7.965784,10.355351,7.4676056,8.033423,9.702172,9.172427,7.5849624,Kidney-Cancer
6.4594316,8.257388,11.239002,13.53831,9.35975,8.1947565,9.663558,5.9541965,6.5849624,9.41996,9.9307375,10.468624,6.2479277,7.4008794,9.915879,7.2384048,6.794416,9.038919,9.014021,7.357552,Kidney-Cancer
7.3037806,8.243174,11.191676,13.34693,9.0741415,7.9188633,9.67772,6.33985,4.4594316,9.3663225,10.655531,10.276124,6.554589,7.5313816,10.205793,7.507795,7.794416,9.348728,9,7.7073593,Kidney-Cancer
