TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
9.361944,9.537218,11.409922,12.568193,7.936638,8.622052,8.84235,7.169925,6.61471,9.285402,11.622052,9.924812,4.807355,8.982993,9.084808,7.9943533,5.70044,11.85253,8.392318,7.4676056,Liver-Cancer
6.539159,8.689998,10.957102,12.417852,7.9307375,8.787903,8.647458,5.61471,6,10.032045,11.786678,9.33539,4.087463,8.471675,9.4998455,8.312883,6.9188633,11.843136,7.451211,7.2761245,Liver-Cancer
9.497851,9.786269,11.4998455,13.247038,7.8703647,8.764872,8.794415,8.049849,6.491853,8.861087,11.81338,10.222795,4.2479277,9.558421,9.33985,9.422065,8.179909,11.564626,8.971543,7.383704,Liver-Cancer
9.463525,8.577429,10.790348,12.521846,8.495855,7.768184,8.118941,5.70044,6.9188633,8.997179,11.120238,11.013323,5,8.810572,8.9128895,8.219169,5.426265,11.393391,8.011228,7.965784,Liver-Cancer
9.616549,8.936638,10.913637,13.090113,7.554589,8.129283,8.546894,7.098032,6.1085243,9.357552,11.326429,8.948367,5.554589,8.982993,8.149747,8.159871,4.70044,12.216746,8.543032,7.7615514,Liver-Cancer
9.090113,9.346514,11.300924,12.692833,7.936638,8.584963,8.738092,6.6724253,5.83289,9.381543,11.682995,10.027906,3,8.748193,8.971543,7.098032,6.3750396,10.310613,7.61471,7.7073593,Liver-Cancer
9.622052,9.631177,11.571753,12.580258,7.592457,9.030667,8.78136,4.3923173,6.507795,9.616549,11.535762,10.0539255,5.169925,9.4998455,7.9829936,8,5.857981,10.7870865,7.9128895,7.523562,Liver-Cancer
7.4429436,9.055283,11.028597,12.658435,7.499846,8.243174,8.854868,3,7.011227,9.461479,12.185185,11.0539255,4.2479277,8.686501,8.882643,7.9886847,6.044394,11.61379,8.968667,7.9829936,Liver-Cancer
9.868822,9.509775,11.00422,12.193525,7.8265486,8.686501,8.84235,9.312883,5.523562,9.4998455,11.816584,9.308339,4.857981,9.187352,8.971543,8.290019,5.643856,12.038576,7.8887434,7.6073303,Liver-Cancer
9.465567,9.306062,11.372865,12.482556,7.2946205,8.778077,9.33539,8.700439,6.5999126,9.579316,12.371777,9.41996,4.3923173,9.1111355,8.224002,7.83289,3.9068906,11.917372,7.9188633,7.33985,Liver-Cancer
