TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
8.169925,8.693487,11.725367,13.159871,9.1163435,8.179909,10.695229,6.507795,6.3037806,9.982993,11.721526,8.149747,8.247928,7.7879024,8.257388,8.055283,6.7813597,11.796851,9.392318,7.741467,Lung-Cancer
9.011228,8.243174,11.198445,13.287712,9.224002,7.2667866,10.935902,4.5849624,6.4757333,9.605479,12.949826,9.451211,6.1085243,7.2384048,8.581201,7.577429,5.169925,12.02514,9.2620945,7.426265,Lung-Cancer
7.61471,8.159871,11.4998455,13.295913,9.087462,7.9128895,11.369052,6.169925,6.3037806,9.859535,11.842743,8.375039,8.134426,7.774787,8.0821495,7.577429,7.5313816,10.812178,9.3663225,7.6724253,Lung-Cancer
9.105908,7.149747,11.861087,13.255177,9.426265,7.577429,10.778077,4.087463,6.1085243,10.357552,12.014369,8.83605,5.643856,7.4838157,6.794416,7.857981,6.2854023,11.56653,9.278449,6.539159,Lung-Cancer
8.06609,8.47978,11.83289,13.394865,9.129283,8.0168085,10.52943,7.330917,6.3923173,10.045759,11.4868355,9.187352,7.6220517,9.381543,6.6724253,8.724514,6.820179,11.602235,9.40088,7.409391,Lung-Cancer
8.312883,8.271463,11.821774,13.287568,8.894817,8.154819,10.551708,6.426265,7.1085243,9.942514,12.2772875,10.715962,7.539159,8.632996,7.948367,8.647458,6.491853,11.61379,9.636624,7.2667866,Lung-Cancer
7.7210994,8.154819,11.488844,13.154976,9.605479,7.7548876,10.740624,4.9068904,6.83289,10.01959,11.327553,9.909893,8.139551,7.2854023,8.820179,7.434628,7.8009,11.7690115,9.422065,7.098032,Lung-Cancer
8.515699,8.011228,11.914011,12.473705,9.157347,7.693487,10.835261,4.3923173,6.8703647,9.821774,12.213104,9.333156,6.9307375,7.857981,10.379378,8.0223675,8.948367,13.055113,9.634811,7.5622425,Lung-Cancer
7.9829936,7.9886847,11.42836,13.600842,9.131857,7.8641863,10.2842455,4.643856,6.554589,10.791977,11.077483,9.515699,7.7879024,8.566054,9.1947565,7.2573876,6.820179,12.09869,9.390169,8.199673,Lung-Cancer
9.255029,8.134426,11.629812,13.193217,8.927778,7.7615514,10.602699,5.2479277,6.7548876,10.149747,13.380325,7.693487,6.6582117,7.159871,7.6220517,8.1947565,6.149747,12.453527,10.076816,7.67948,Lung-Cancer
8.174926,7.9128895,11.714675,13.094737,9.51767,7.592457,10.850187,5.554589,6.7279205,10.008429,11.648807,8.982993,9.113742,8.312883,7.2191687,7.5999126,6.2479277,11.499348,9.507794,7.2094536,Lung-Cancer
7.9248123,8.417852,11.197217,13.646221,8.927778,7.794416,10.278449,5.357552,6.129283,10.604553,11.556985,9.861087,6.3750396,7.1085243,8.189824,8.47978,6.2854023,11.453785,9.182394,7.451211,Lung-Cancer
7.7279205,7.228819,11.519145,13.35975,9.219169,7.2667866,10.923327,4.321928,6.3037806,10.704768,12.883407,8.942514,3.321928,6.507795,8.550747,8.810572,7.523562,11.9939995,9.1163435,6.857981,Lung-Cancer
6.1085243,8.379378,11.629356,13.2986355,9.4998455,7.2761245,10.445015,5.2094536,6.7813597,9.126704,11.831703,10.327553,7.4757333,8.1848755,9.071463,8.011228,9.773139,10.083479,9.0168085,6.882643,Lung-Cancer
8.033423,8.06609,11.923327,13.245255,9.247928,7.7279205,10.804131,5.70044,6.523562,10.078151,11.819381,8.945444,7.1898246,8.299208,8.2526655,8.78136,6.228819,11.938845,9.590587,7.451211,Lung-Cancer
7.2573876,8.459432,11.771489,13.357414,8.375039,7.5157,10.769837,6,6.33985,10.16365,12.609409,8.581201,6.5849624,7.636625,6.9541965,7.7210994,8.228819,12.100005,9.3442955,7.451211,Lung-Cancer
8.888743,8.257388,11.85331,12.9501915,8.592457,8.247928,10.697836,5.882643,6.3923173,10.002815,12.479527,9.939579,7.67948,8.113742,7.7142453,7.9068904,5.426265,11.785044,9.62022,7.4008794,Lung-Cancer
8.535275,7.6724253,11.2620945,13.205182,8.61471,7.592457,10.802516,6.4757333,6.523562,9.605479,13.149589,9.870365,7.839204,7.9248123,7.774787,7.9943533,7.066089,11.935165,9.560333,6.554589,Lung-Cancer
6.6293564,8.219169,11.944346,13.306774,9.211888,8.113742,10.778077,5.643856,7.066089,9.665336,12.067099,9.84235,6.5698557,8.076816,9.590587,8.174926,8.285402,12.222191,10.01959,7.2667866,Lung-Cancer
8.2526655,8.647458,11.590587,13.216443,9.467606,8.038919,10.583083,6.33985,6,9.583083,11.478769,9.057992,7.4008794,8.266787,9.430452,7.9248123,7.523562,10.868051,9.818583,7.665336,Lung-Cancer
7.900867,8.071463,11.259744,13.2018175,8.994353,7.748193,11.116994,6.4429436,5.882643,9.948367,10.816983,8.658212,7.2094536,7.8009,9.33539,7.665336,6.9886847,11.7086525,9.071463,7.312883,Lung-Cancer
8.535275,7.7879024,11.664002,13.2050295,8.867279,8.055283,10.816983,4.807355,6.409391,10.415742,11.6456585,9.672425,7.5157,7.636625,10.626621,8.897845,10.770664,12.251779,9.47978,6.9541965,Lung-Cancer
7.4178524,8.495855,11.806147,12.856231,8.84549,8.060696,10.75739,5.357552,6.9886847,10.380461,12.672425,10.547858,7.129283,7.936638,8.409391,8.933691,9.763212,11.923327,9.4346285,7.011227,Lung-Cancer
5.857981,9.002815,11.438272,12.867858,8.710807,7.7813597,11.020286,5,6.807355,9.731319,13.540007,10.9008665,8.823367,8.383704,8.204571,8.997179,7.1189413,12.651949,9.204571,6.4429436,Lung-Cancer
8.647458,7.7210994,11.481799,13.3379,9.964341,7.523562,11.041659,6.6582117,6.61471,10.595258,11.284824,9.348728,8.2526655,7.8265486,7.7210994,7.044394,6.357552,12.335112,9.436711,7.1189413,Lung-Cancer
8.266787,8.0168085,11.8572035,13.037204,9.02514,8.169925,11.050529,5.2094536,6.5849624,10.819381,11.738092,8.422065,7.9128895,8.430452,9.008429,8.285402,5.857981,12.289443,9.67772,7.577429,Lung-Cancer
6.9307375,7.948367,11.6402445,13.441388,8.707359,7.426265,10.559377,4.7548876,5.6724253,10.002815,12.142745,9.521601,6.507795,7.011227,6.820179,7.4676056,8.06609,11.157347,7.434628,6.149747,Lung-Cancer
6.768184,8.388018,12.036517,13.349973,9.113742,7.1898246,10.591522,5.7813597,6.9425144,10.036174,12.3663225,10.738936,7.97728,8.475734,8.882643,8.417852,7.6073303,12.063058,9.342074,7.2946205,Lung-Cancer
7.4008794,8.154819,11.957465,12.967226,8.658212,7.768184,11.309476,5.491853,6.3750396,10.416798,12.153552,9.1369915,8.098032,8.442944,8.503826,8.139551,7.5313816,12.0168085,9.440869,7.4594316,Lung-Cancer
6.857981,8.276124,11.912141,13.515823,8.693487,7.6220517,10.5840225,4.5849624,7.044394,10.191059,12.308339,11.209454,6.044394,7.70044,7.2094536,8.599913,6.768184,12.203348,9.736402,7.4429436,Lung-Cancer
8.257388,8.897845,11.455841,13.3828945,10.965063,7.8887434,10.445015,5.087463,6.6724253,9.743152,11.293471,10.556506,6.2094536,7.6582117,11.970466,8.276124,10.241983,12.054943,9.622052,7.2094536,Lung-Cancer
6.4594316,8,11.962173,13.370415,8.784635,7.2573876,11.265615,5.61471,7.4676056,9.179909,11.962896,9.483816,7.2479277,6.894818,10.2300205,7.507795,7.5698557,12.226111,9.7565565,7.7615514,Lung-Cancer
8.1848755,7.2384048,11.666224,13.339433,9.426265,7.4594316,11.711667,5.2479277,6.7142453,10.389093,10.706496,8.076816,7.2384048,7.8265486,8.971543,7.8137813,8.971543,11.911017,10.338737,6.7813597,Lung-Cancer
8.47978,8.103288,11.591522,13.200132,9.629356,7.70044,10.228819,4,6.523562,10.700439,11.2749605,9.461479,5.9068904,7.7879024,8.049849,9.033423,6.3037806,12.347068,9.828136,7.366322,Lung-Cancer
6.6724253,8.764872,12.298349,13.242727,9.1369915,7.3750396,10.953469,4.5849624,6.2667866,10.129283,12.783203,7.971544,6.3923173,7.5999126,8.679481,7.774787,6.857981,11.116994,9.515699,7.228819,Lung-Cancer
7.139551,8.539159,11.861862,13.214016,8.495855,7.5999126,11.034799,6.539159,7.098032,9.915879,11.919981,7.960002,7.7073593,8.23362,7.312883,7.794416,6.491853,11.100662,9.118941,7.7210994,Lung-Cancer
8.543032,8.303781,11.460456,13.176017,9.665336,8.103288,10.615629,4.9068904,5.882643,10.543032,12.409391,9.543032,7.2761245,7.5157,8.1848755,7.5999126,7.383704,11.727921,9.154819,7.434628,Lung-Cancer
5.882643,8.442944,11.615629,13.34679,8.968667,7.857981,10.764042,4.321928,7.5698557,9.8008995,12.042002,11.376668,6.554589,7.169925,10.270295,7.5698557,7.1085243,12.704985,10.0754795,8.1649065,Lung-Cancer
8.558421,8.483816,11.565578,13.48369,9.459432,7.876517,10.583083,4.70044,6.321928,10.232421,11.511753,11.763212,8.027906,8.826549,9.784635,7.5622425,7.033423,12.077817,9.1848755,7.3923173,Lung-Cancer
