TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
4.087463,7.7347097,11.424691,13.420355,10.258566,7.1898246,9.6402445,4.3923173,7.523562,9.826549,11.293471,9.002815,8.049849,7.6582117,9.1369915,8.129283,4.643856,12.131536,9.473705,6.507795,Lymph_Node-Cancer
6.7548876,6.3750396,11.268542,13.563673,10.891784,6.894818,8.523562,4.9068904,5.9307375,8.731319,10.618385,7.149747,11.672425,7.139551,8.388018,8.974415,6.3750396,11.874981,9.938109,5.6724253,Lymph_Node-Cancer
6.33985,7.499846,11.292897,13.068442,9.876517,8,9.310613,5.6724253,7.139551,11.12606,11.1111355,7.6220517,8.1848755,7.149747,8.727921,8.527477,5.044394,10.694358,9.726218,6.169925,Lymph_Node-Cancer
7.8641863,7.199672,11.773139,13.883407,10.675075,7.592457,8.455327,4.5849624,6.491853,10.43567,8.945444,10.850968,5.2094536,7.2479277,6.149747,7.774787,5.61471,10.518653,9.99859,6.4757333,Lymph_Node-Cancer
7.5698557,7.4757333,11.322492,13.664002,10.440869,6.894818,9.005625,6.1898246,6.965784,9.187352,11.224002,9.324181,8.848623,8.174926,8.0443945,8.159871,6.149747,11.527477,10.043027,6.2667866,Lymph_Node-Cancer
7.2384048,7.8887434,11.653293,13.1848755,10.265615,7.321928,10.438792,7.011227,7.1189413,8.97728,9.581201,7.768184,7.348728,8.098032,8.503826,8.0223675,6.3750396,8.276124,9.221587,6.149747,Lymph_Node-Cancer
6.7548876,7.199672,11.207014,13.475226,9.768185,7.33985,9.216746,5.2854023,6.066089,9.738092,11.694358,8.748193,12.472437,7.643856,8.60733,8.820179,6.169925,11.421539,9.691744,6.507795,Lymph_Node-Cancer
6.169925,6.70044,11.062046,12.770664,11.161132,7.67948,10.098032,5.70044,6.6724253,8.9008665,10.946906,11.530894,6.7142453,7.5698557,8.714246,8.049849,9.507794,10.83605,9.090113,6.5698557,Lymph_Node-Cancer
7.0552826,7.4676056,11.5377035,13.518653,10.910643,7.507795,9.876517,5.044394,6.768184,9.394463,11.013323,9.867279,5.426265,7.507795,8.312883,8.174926,5.882643,11.68036,8.915879,5.7813597,Lymph_Node-Cancer
5.643856,6.9068904,10.893302,12.941415,10.129283,6.1085243,8.885696,5.2479277,6.357552,9.306062,10.570805,9.459432,8.422065,8.409391,9.805744,8.531382,5.9541965,11.642503,9.891784,6.7279205,Lymph_Node-Cancer
6.768184,6.882643,11.210671,12.989039,10.649256,6.8703647,7.9188633,6.087463,7.748193,9.321928,11.401946,11.334832,10.595258,7.434628,7.5698557,7.7073593,7.83289,11.929258,9.58684,6.2667866,Lymph_Node-Cancer
5.5849624,9.278449,12.090774,13.154027,8.189824,8.982993,10.743993,5.9068904,7.6293564,10.036174,11.126704,9.784635,8.219169,8.909893,7.149747,8.228819,6.6293564,3.321928,10.443979,8.40088,Lymph_Node-Cancer
6.8703647,8.348728,11.508785,13.367961,8.33985,8.049849,10.2502985,3.5849626,6.6582117,12.539401,10.903882,12.357827,6.5698557,7.900867,6.643856,8.774787,9.139551,11.499348,8.813781,7.7879024,Lymph_Node-Cancer
6.7813597,8.495855,11.78831,13.128799,9.60177,7.6220517,9.982993,6.523562,7,9.753217,10.787903,8.816983,8.071463,8.228819,7.3750396,8.038919,6.83289,12.027906,9.027906,7.3750396,Lymph_Node-Cancer
