TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
6.6865005,8.209454,10.63934,11.861475,10.001409,8.124122,8.813781,6.7142453,8.581201,8.511753,9.436711,9.068778,7.383704,9.306062,8.2526655,8.764872,8.118941,7.900867,8.870365,8.129283,Muscle-Cancer
7.066089,8.707359,11.172427,12.617468,10.427313,8.891784,9.346514,5.7548876,7.129283,8.139551,9.2526655,10.508785,5.5849624,9.057992,8.179909,7.876517,5.97728,3.7004397,9.403012,8.271463,Muscle-Cancer
8.748193,8.3663225,11.174926,12.626393,10.442944,7.876517,10.63934,6.409391,7.098032,9.729621,10.492855,10.438792,9.247928,8.787903,8.960002,8.228819,5.83289,11.279611,9.654636,7.807355,Muscle-Cancer
5.426265,8.038919,10.566054,13.788412,8.696967,7.2946205,9.055283,5.426265,6.3750396,8.174926,8.2946205,9.98014,5.2479277,8.861087,6.70044,7.84549,5.129283,5.7279205,7.426265,6.6293564,Muscle-Normal
3,8.442944,11.169925,13.096221,8.392318,7.83289,9.407268,5.491853,6.70044,8.174926,9.346514,10.894817,6.066089,8.714246,6.6582117,7.894818,3.321928,3.321928,7.7813597,7.312883,Muscle-Normal
5.129283,8.592457,11.114393,13.052738,8.321928,7.9068904,9.467606,4.643856,6.9307375,8.348728,9.652845,11.16365,6.169925,8.968667,6.9068904,8.2946205,5.321928,2,7.820179,7.2384048,Muscle-Normal
6.044394,8.308339,11.001409,12.99665,8.266787,7.67948,9.417852,6.169925,6.6865005,7.894818,9.0443945,10.965784,5.807355,9.033423,6.6293564,7.9248123,5.5849624,4.087463,7.643856,7.066089,Muscle-Normal
2.5849626,8.271463,10.825754,12.888933,8.388018,7.7210994,9.202124,6.2094536,5.357552,7.8009,9.084808,10.97728,4.169925,8.710807,6.3750396,7.499846,4.4594316,3,7.643856,6.768184,Muscle-Normal
5.9541965,7.577429,10.543032,13.522214,8.076816,7.643856,9.60733,4.857981,5.83289,7.6510515,8.668885,11.349281,5.129283,8.3706875,6.523562,7.5849624,5.426265,2.321928,7.357552,6.8703647,Muscle-Normal
6.2854023,8.124122,10.777255,13.487338,7.894818,7.882643,9.674192,5.129283,5.3923173,8.204571,9.240791,10.96145,5.3923173,8.851749,6.7142453,7.9307375,3.807355,3,7.748193,7.129283,Muscle-Normal
4.9541965,8.422065,11.127995,13.224755,8.134426,8.353147,9.616549,5.357552,6.5999126,8.459432,9.090113,10.210671,5.523562,9.0443945,7.2854023,8.124122,4.523562,4.5849624,7.8137813,7.0768156,Muscle-Normal
5,8.375039,11.058668,12.910456,8.060696,7.882643,9.3663225,4.321928,6.539159,8.011228,9.240791,10.654636,5.129283,9.068778,7.0552826,7.8887434,3.169925,4,7.83289,7.0768156,Muscle-Normal
6.523562,9.221587,11.441907,12.926481,9.729621,8.599913,10.571753,5.7279205,6.169925,9.011228,8.491853,10.368506,6.741467,8.503826,8.108524,7.2191687,5.321928,2.321928,9.283089,8.005625,Muscle-Normal
6.044394,9.055283,11.668442,12.958915,8.451211,8.554589,9.519636,5.523562,7.499846,8.507794,10.0168085,10.306062,6.6293564,9.682995,7.087463,7.8265486,5.2854023,3.4594316,8.144658,8.361944,Muscle-Normal
4.9068904,9.008429,11.715533,13.207319,8.861087,8.566054,9.592457,6.087463,7.044394,8.2620945,9.541097,10.8902645,4.9541965,9.935165,7.1085243,7.948367,4.2479277,4.2479277,8.108524,8,Muscle-Normal
4.70044,8.936638,11.77561,13.043199,8.118941,8.915879,9.438792,7.2384048,7.2191687,8.546894,9.413628,11.099348,5.087463,9.599913,7.3750396,7.5698557,5.2479277,4.321928,7.2854023,8.455327,Muscle-Normal
5.4594316,9.333156,11.785861,13.294333,8.599913,8.700439,9.9128895,5.2479277,7.366322,8.554589,9.85331,10.714246,5.7279205,9.9307375,7.499846,7.8265486,5.2479277,4.643856,8.285402,8.317412,Muscle-Normal
5.6724253,9.147205,11.686063,12.938293,8.625709,8.592457,9.548821,5.491853,7.4594316,8.5961895,10.045759,9.957102,6.507795,9.413628,7.4757333,8.149747,5.321928,5.2094536,7.794416,8.266787,Muscle-Normal
5.5849624,9.131857,11.750288,13.261507,8.703903,8.507794,9.513727,6.044394,7,8.693487,9.696967,10.785453,5.9307375,9.918863,7.2479277,8.027906,4.643856,4.7548876,8.124122,8.118941,Muscle-Normal
4.7548876,9.162392,11.709515,13.235416,8.636624,8.353147,9.523562,5.9541965,7.2384048,8.778077,10.315149,10.324181,5.97728,9.878051,6.9541965,7.9248123,5.044394,4.807355,7.8137813,8.3663225,Muscle-Normal
5.5849624,9.321928,11.518653,13.138112,8.527477,8.870365,9.726218,7.022368,7.0768156,8.396605,9.975848,10.340962,5.491853,10.01959,7.5622425,7.851749,5,2,7.4838157,8.317412,Muscle-Normal
5.357552,9.1369915,11.593391,13.118941,8.672425,8.654636,9.52943,6.507795,7.169925,8.447083,9.659996,11.2300205,5.426265,9.9008665,7.3037806,7.8703647,4,3.9068906,8.027906,8.118941,Muscle-Normal
5.523562,9.154819,11.802516,13.003518,8.238404,8.647458,9.935165,6.523562,7.228819,8.647458,10.121533,10.880349,6,9.929258,7.3750396,7.84549,4.643856,4.2479277,7.882643,8.348728,Muscle-Normal
6.087463,9.377211,11.492354,12.887411,8.4346285,8.813781,9.459432,5.523562,7.4178524,8.599913,9.917372,10.484823,6.4594316,10.007028,7.636625,7.948367,5,4,8.375039,8.396605,Muscle-Normal
5.7548876,9.627534,11.802516,13.239748,8.703903,8.679481,10.0741415,4.3923173,7.3750396,8.503826,9.982993,10.914385,6.6724253,10.091435,6.9886847,7.9128895,5.169925,4.857981,8.603626,8.317412,Muscle-Normal
5.7813597,9.310613,11.822571,13.214774,8.686501,8.550747,9.782998,6.5849624,7.033423,8.353147,10.121533,10.396605,4.5849624,10.390169,7.2479277,7.83289,5.087463,3.7004397,7.794416,8.321928,Muscle-Normal
5.61471,9.049849,11.598983,12.987619,8.738092,8.3663225,9.556506,5.2854023,6.9541965,8.290019,9.867279,10.068778,5.2854023,9.579316,7.1898246,7.9068904,4.9068904,4.2479277,7.7073593,7.9188633,Muscle-Normal
5.321928,9.475734,11.893681,13.117318,8.40088,8.546894,10.0223675,5.426265,6.741467,8.794415,10.273795,11.1755495,6.066089,10.467606,8.0168085,7.7813597,4.523562,4.5849624,8.027906,8.84549,Muscle-Normal
4.857981,9.306062,11.8157835,13.211128,8.48784,8.361944,9.823367,5.357552,7.179909,8.588715,9.682995,10.418907,6,10.191059,7.139551,7.741467,5.044394,4.807355,8.076816,8.430452,Muscle-Normal
5.7548876,9.55267,11.8008995,12.931661,8.379378,8.915879,9.879583,5.97728,7.129283,8.7414665,10.41996,11.375583,6.5849624,10.195988,7.6293564,8.118941,4.4594316,4,8.588715,8.330916,Muscle-Normal
5.321928,9.269127,11.778898,13.201052,8.933691,8.625709,9.625709,6.2479277,7.330917,8.710807,9.857981,10.377211,6.2854023,9.764872,7.383704,8.118941,5.087463,4.7548876,8.027906,8.417852,Muscle-Normal
5.523562,9.209454,11.644757,13.312316,8.33539,8.48784,9.731319,5.491853,7.149747,8.658212,9.776433,10.134426,6.228819,10.0443945,7.451211,8.214319,3.807355,4,8.317412,8.124122,Muscle-Normal
5.2854023,9.353147,11.783816,13.090774,8.867279,8.543032,9.753217,6.169925,7.61471,8.643856,9.763212,10.658212,6,9.738092,7.2384048,8.011228,5.321928,4.2479277,8.308339,8.312883,Muscle-Normal
6.044394,9.52943,11.759056,12.93627,8.3663225,9.068778,9.764872,5.491853,7.159871,8.658212,10.244364,10.707359,6.9886847,10.0754795,7.5622425,7.9886847,5.643856,3.7004397,8.285402,8.3663225,Muscle-Normal
5.70044,9.321928,11.941048,13.214926,7.6510515,8.675957,9.679481,5.426265,7.4838157,8.703903,10.087462,10.682995,6.5698557,9.797662,7.451211,7.960002,4.9068904,4.523562,7.7210994,8.507794,Muscle-Normal
5.6724253,8.965784,11.707359,12.931107,8.810572,8.543032,9.455327,5.2854023,7.199672,8.40088,9.691744,10.1369915,6.426265,9.954196,7.2479277,7.83289,4,4.643856,8.060696,7.9943533,Muscle-Normal
5.70044,9.55267,11.840778,13.0803175,8.087462,8.891784,10.67772,5.6724253,6.539159,9.076816,9.599913,11.455841,6.228819,10.321928,7.643856,7.5468946,4.9068904,4.3923173,7.8265486,8.629356,Muscle-Normal
4.857981,9.571753,11.802516,12.843921,8.326429,8.816983,9.714246,5.169925,7.366322,8.848623,9.776433,10.514714,6.1898246,10.191059,7.499846,7.9829936,5.882643,3.7004397,8.108524,8.321928,Muscle-Normal
4.9541965,9.182394,11.820976,13.291746,8.710807,8.417852,9.733015,6.3037806,7.2479277,8.321928,9.647458,10.518653,5.2479277,9.878051,6.9425144,7.768184,5,3.807355,7.5999126,8.243174,Muscle-Normal
5.857981,9.409391,11.597587,13.040461,8.724514,8.797662,10.183636,5.554589,7.098032,8.83289,9.768185,9.958552,5.9541965,10.048487,7.6865005,8.224002,4.807355,4.9068904,8.422065,8.4346285,Muscle-Normal
5.3923173,9.296916,11.685625,13.219017,8.523562,8.816983,9.5736475,5.5849624,7.2854023,8.581201,10.0168085,10.411511,6.1085243,9.818583,7.149747,7.8265486,5,3.7004397,7.851749,8.317412,Muscle-Normal
5.5849624,9.144658,11.801708,13.364682,8.422065,8.700439,9.721099,6.3750396,6.820179,8.3663225,9.738092,10.501837,5.2094536,10.002815,7.2946205,7.6865005,5.087463,1.5849625,7.8641863,8.169925,Muscle-Normal
