TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.2094536,7.960002,11.128639,13.746829,9.33539,7.97728,9.893302,6.1898246,6.9886847,11.488342,10.388018,8.629356,8.3663225,7.794416,10.091435,7.523562,8.696967,10.874213,8.546894,6.84549,Oral-Cancer
8.129283,7.774787,11.546894,13.74966,9.569856,7.4429436,11.8997345,5.97728,7.330917,10.966505,11.2749605,7.1898246,7.592457,9.149747,10.156083,7.7615514,7,11.672867,8.897845,7.409391,Oral-Cancer
6.33985,7.5622425,11.240791,13.497976,8.48784,7.383704,10.269127,7.1189413,6.882643,11.348728,10.629356,7.741467,7.159871,8.558421,9.654636,7.882643,8.4346285,12.630267,8.962896,7.2573876,Oral-Cancer
9.014021,8.330916,11.62799,13.200898,9.5961895,7.9307375,11.013323,4.643856,7.6073303,11.06609,12.688906,8.61471,7.5698557,8.870365,10.755722,7.2573876,5.7813597,12.101647,9.590587,6.807355,Oral-Cancer
6.321928,7.149747,10.6564245,13.187661,9.981567,7.3750396,10.062046,6.044394,6.3923173,10.0168085,10.334273,9.3442955,7.321928,7.70044,10.02098,7.4178524,9.049849,11.269127,8.531382,7.129283,Oral-Cancer
6.523562,6.9886847,10.5068035,13.643856,9.432542,7.0768156,8.909893,6.1085243,7.139551,9.897845,10.086136,8.566054,6.7548876,7.592457,10.352043,7.7548876,9.276124,11.216746,8.330916,6.409391,Oral-Cancer
6.643856,7.4594316,11.383164,13.323195,10.535275,6.857981,10.267957,6.807355,7.9188633,10.0741415,10.641149,7.8641863,6.321928,7.7347097,11.459944,7.3750396,7.149747,12.5377035,9.523562,6.741467,Oral-Cancer
8.139551,7.2761245,10.630267,13.670656,9.982993,6.5999126,9.715962,5.70044,7.426265,9.802516,10.2946205,8.918863,8.118941,7.4676056,10.1674185,7.2854023,6.409391,11.493855,8.675957,6.554589,Oral-Cancer
7.5468946,7.523562,10.980854,13.3899,9.566054,6.9307375,10.174926,6.149747,6.4594316,10.352043,10.653741,7.7879024,9.746514,7.971544,10.176173,8.071463,7.8641863,11.929628,9.537218,6.768184,Oral-Cancer
6.9068904,7.169925,11.40886,13.351354,9.0168085,7.839204,10.650154,6.4594316,7.1189413,10.47472,10.306062,8.154819,7.5622425,8.622052,9.899357,7.2573876,7.2191687,12.205793,9.23362,7.3750396,Oral-Cancer
8.28077,8.361944,11.561766,12.992584,8.857981,7.539159,9.982993,6.857981,7.1189413,11.076816,10.219169,8.988685,9.503826,8.672425,9.550747,8.696967,8.049849,10.748193,9.174926,7.3037806,Oral-Cancer
7.7615514,7.4757333,11.511258,13.494606,10.052568,7.554589,9.821774,5.7813597,8.33539,10.526499,10.238404,7.7142453,6.97728,7.768184,9.483816,7.2094536,5.9541965,11.792383,8.771489,7.098032,Oral-Cancer
6.5999126,7.636625,11.067434,12.905011,9.636624,7.357552,9.6564245,7.6582117,7.426265,10.977995,9.746514,7.83289,8.654636,7.5849624,11.029978,8.108524,10.579316,12.135388,9.306062,7.044394,Oral-Cancer
7.426265,7.9886847,11.558421,12.637983,9.982993,8.285402,10.475734,8.1947565,6.6293564,10.693487,11.49035,9.353147,7.3037806,8.2946205,10.430452,7.97728,5.70044,12.090774,9.1111355,7.6293564,Oral-Cancer
5.807355,7.366322,11.716391,13.053756,9.60733,7.9307375,10.354249,5.2479277,7.5999126,10.986553,10.754888,9.243174,7.6220517,8.219169,12.454556,8.4346285,9.255029,12.681458,9.515699,7.554589,Oral-Cancer
6.6582117,7.4757333,11.31345,13.2682495,8.73471,7.948367,10.993646,7.3037806,7.011227,10.6926155,10.505812,9.324181,6.7142453,8.348728,9.874981,7.741467,7.882643,12.491352,8.668885,7.066089,Oral-Cancer
6.807355,8.055283,11.766115,12.576012,9.144658,7.3923173,10.47472,7.383704,6.768184,11.283668,10.667998,8.243174,8.710807,8.707359,9.108524,8.129283,6.6582117,11.87152,9.292321,7.409391,Oral-Cancer
8.3442955,7.741467,11.032735,13.542911,9.784635,6.321928,9.008429,6.7813597,7.228819,10.302639,10.432542,7.7615514,8.459432,7.330917,8.9128895,8.124122,7.4594316,9.541097,7.97728,6.3923173,Oral-Cancer
7.693487,8.087462,11.894439,12.587074,9.245553,8.038919,10.342074,6.2479277,7.087463,11.078151,10.884933,8.1848755,8.693487,8.40088,9.727921,8.588715,6.3750396,11.596656,9.131857,7.087463,Oral-Cancer
7.794416,8.2526655,11.556027,12.108851,9.379378,7.6293564,10.68036,7.098032,7.011227,11.207014,11.007028,8.622052,9.28077,9.1674185,9.946906,7.9943533,8.276124,12.151016,9.684749,7.199672,Oral-Cancer
6.965784,8.134426,10.357552,13.640018,9.483816,6.6724253,8.724514,5.087463,6.6582117,8.584963,9.413628,10.228819,6.044394,8.438792,7.948367,8.060696,6.9188633,4.807355,7.7142453,6.70044,Oral-Cancer
