TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
5.857981,7.577429,11.61379,13.501464,8.974415,8.2526655,10.60733,6.169925,6.1085243,9.695229,12.807154,12.87229,6.3037806,6.83289,6,8.519636,7.409391,11.295769,9.867279,6.33985,Ovary-Cancer
7.044394,8.4998455,11.151016,13.408064,8.243174,8.3663225,10.935902,7.7210994,6.807355,9.103288,10.131857,6.794416,5.2479277,7.894818,7.84549,7.321928,5.491853,11.271463,8.700439,7.6220517,Ovary-Cancer
9.481799,9.308339,10.979425,13.753426,10.743152,8.945444,11.108524,8.761551,5,8.603626,12.101647,7.8137813,4.523562,7.5999126,8.539159,8.0443945,4.807355,7.33985,10.466586,7.312883,Ovary-Cancer
7.1898246,8.451211,11.328114,13.28048,8.276124,8.353147,10.524542,8.224002,6.9068904,9.162392,11.07481,7.098032,7.960002,8.238404,7.098032,7.8641863,6.2667866,8.169925,8.727921,7.8009,Ovary-Cancer
7.6582117,8.888743,11.343185,13.686281,8.60733,8.409391,11.511753,8.049849,5.491853,8.495855,12.061033,8.361944,5.169925,8.271463,7.491853,8.228819,5.807355,11.593858,8.988685,7.357552,Ovary-Cancer
9.843921,9.0741415,11.39607,13.631177,10.495855,8.417852,10.659996,8.430452,6.2094536,8.5622425,10.996473,7.312883,6.6865005,8.546894,8.851749,7.693487,7.5313816,11.925554,10.584963,7.4676056,Ovary-Cancer
6.9307375,9.033423,11.422065,13.562123,8.3442955,8.413628,11.499348,8.724514,5.807355,8.7414665,11.458406,8.622052,4.2479277,8.092757,7.5313816,7.5698557,5.7279205,10.151016,9.027906,7.357552,Ovary-Cancer
9.375039,8.915879,11.006326,13.627534,10.439831,8.471675,10.139551,6.857981,6.857981,8.921841,10.249113,8.357552,5.83289,9.2946205,8.636624,6.857981,5.9307375,11.387479,10.8902645,7.366322,Ovary-Cancer
9.665336,8.974415,11.2300205,13.531015,10.488844,8.804131,11.181773,9.224002,5.426265,9.002815,11.263856,7.7142453,5.426265,8.033423,8.768185,7.5698557,6.066089,10.096715,10.715104,7.6510515,Ovary-Cancer
8.214319,7.8887434,11.182394,13.02514,9.134426,10.030667,8.5961895,6.7279205,7.539159,9.041659,11.598517,12.108851,10.623881,8,7.948367,8.447083,10.208235,11.290595,9.974415,7.491853,Ovary-Cancer
6.149747,8.179909,11.972621,13.46084,10.070121,8.199673,10.169925,6.7279205,6.129283,9.202124,11.7805395,9.182394,6.5999126,7.4008794,8.108524,9.503826,9.445015,9.997179,9.324181,7.2761245,Ovary-Cancer
8.0821495,8.2620945,11.756973,13.367688,9.4346285,7.9128895,9.724514,6.7142453,7.2854023,10.353147,11.21614,11.664447,5.83289,7.6293564,8.285402,8.285402,9.933691,11.241387,9.493855,6.820179,Ovary-Cancer
8.353147,9.3663225,11.768185,14.385121,9.652845,8.1947565,10.881114,6.6865005,5.5849624,8.897845,9.857981,8.413628,6.3923173,7.876517,8.543032,9.169925,6.84549,10.986553,9.588715,7.5698557,Ovary-Cancer
9.531382,8.679481,11.697836,13.08165,9.01959,8.503826,9.5622425,9.008429,4.9068904,9.823367,10.1947565,7.2573876,7.357552,7.5698557,8.774787,9.707359,7.8009,7.0768156,9.315149,7.2384048,Ovary-Cancer
6.129283,8.326429,11.065416,14.153394,8.40088,8.491853,10.015415,6.409391,6.820179,9.994353,11.241387,8.471675,6.3037806,6.820179,6.7548876,7.851749,10.14083,9.124122,9.372865,7.228819,Ovary-Cancer
7.960002,8.511753,11.228819,13.326429,9.440869,8.005625,10.705632,7.5157,6,9.768185,10.60733,8.982993,6.33985,7.2191687,8.3706875,7.6293564,6.741467,12.328956,9.394463,7.70044,Ovary-Cancer
8.3663225,8.451211,11.674634,13.411776,9.851749,7.70044,10.452241,7.7279205,7.179909,9.952742,11.496354,11.644757,7.4008794,7.900867,8.758224,8.599913,7.7879024,12.205488,9.481799,7.2384048,Ovary-Cancer
5.5849624,7.139551,11.279611,13.2218895,7.965784,8.383704,10.033423,4.523562,5.9307375,9.011228,10.869594,9.818583,5.643856,7.8703647,6.83289,9.3014965,9.924812,11.835261,9.436711,6.882643,Ovary-Cancer
8.511753,7.8009,11.763627,13.505936,9.96145,8.312883,10.576485,5.523562,6.149747,9.2620945,9.878051,9.810572,13.19568,7.8137813,11.38694,9.269127,9.139551,10.942514,8.727921,7.2094536,Ovary-Cancer
8.326429,7.8137813,11.964341,13.481547,9.3663225,8.214319,10.1111355,2.5849626,6.491853,9.477758,10.179909,10.215533,5.491853,8.103288,9.784635,9.162392,9.449148,12.804534,8.103288,6.97728,Ovary-Cancer
7.960002,8.519636,11.445532,13.531747,9.558421,8.3442955,10.1111355,5,7.179909,8.960002,10.874213,9.055283,4.523562,7.4594316,7.6293564,8.603626,6.6293564,12.516932,8.807355,7.6220517,Ovary-Cancer
8.758224,8.957102,11.632087,13.105581,9.61471,8.303781,10.763212,5.9068904,6.83289,9.202124,11.502335,12.928518,6.539159,8.219169,5.807355,8.724514,6.426265,12.329516,8.592457,7.491853,Ovary-Cancer
8.134426,7.592457,11.268542,13.327833,9.851749,8.129283,10.938845,5.2479277,5.523562,9.095397,10.906891,12.323054,3,6.965784,5.4594316,8.257388,5.129283,13.154344,8.654636,6.894818,Ovary-Cancer
5.6724253,7.5468946,11.3014965,13.642729,8.409391,8.4346285,10.096715,4,6.321928,8.906891,10.819381,9.432542,6,7.9128895,6.807355,9.221587,9.658212,11.820976,9.292321,6.7279205,Ovary-Cancer
8.087462,8.204571,11.414157,12.892733,8.879583,7.6293564,10.526499,3.9068906,8.0443945,9.377211,11.816184,12.421539,3.7004397,7.7615514,6.9541965,8.787903,8.6510515,12.902375,9.583083,7,Ovary-Cancer
7.098032,8.0821495,11.149747,12.997708,8.968667,7.6865005,10.48079,5.3923173,6.741467,8.9128895,11.942148,11.944346,4.5849624,7.5999126,4.4594316,9.453271,9.113742,12.885506,8.076816,7.022368,Ovary-Cancer
7.4757333,8.071463,11.21128,13.19368,8.124122,7.693487,10.910643,6.149747,6.169925,9.231221,10.749031,9.665336,7.507795,8.087462,8.076816,8.523562,5.83289,11.967226,7.8137813,7.0768156,Ovary-Cancer
8.2526655,8.6510515,11.331477,13.056807,8.546894,8,10.698705,4.523562,6.5849624,9.583083,11.722808,11.697402,8.985842,7.7142453,8.960002,8.554589,10.401946,12.5741205,8,7.7347097,Ovary-Cancer
