Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	8.139551
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	9.83605
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	9.475734
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	9.60177
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	9.407268
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	9.182394
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	9.417852
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	9.103288
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	9.361944
10	Adipose-Cancer	GSE13506	GSM340488	T	None	9.211888
11	Adipose-Normal	GSE41168	GSM1009760	T	None	9.5736475
12	Adipose-Normal	GSE41168	GSM1009772	T	None	8.754888
13	Adipose-Normal	GSE41168	GSM1009776	T	None	9.057992
14	Adipose-Normal	GSE41168	GSM1009800	T	None	8.985842
15	Adipose-Normal	GSE41168	GSM1009804	T	None	9.038919
16	Adipose-Normal	GSE41168	GSM1009812	T	None	9.076816
17	Adipose-Normal	GSE41168	GSM1009820	T	None	9.326429
18	Adipose-Normal	GSE41168	GSM1009828	T	None	8.731319
19	Adipose-Normal	GSE41168	GSM1009836	T	None	8.5622425
20	Adipose-Normal	GSE41168	GSM1009844	T	None	8.784635
21	Adipose-Normal	GSE41168	GSM1009854	T	None	9.068778
22	Adipose-Normal	GSE41168	GSM1009872	T	None	8.942514
23	Adipose-Normal	GSE41168	GSM1009886	T	None	9.092757
24	Adipose-Normal	GSE43346	GSM1060754	T	None	8.851749
25	Adipose-Normal	GSE7307	GSM175834	T	None	8.531382
26	Adipose-Normal	GSE7307	GSM175835	T	None	8.159871
27	Adipose-Normal	GSE7307	GSM175836	T	None	8.276124
28	Adipose-Normal	GSE7307	GSM175837	T	None	7.9307375
29	Adipose-Normal	GSE7307	GSM175994	T	None	7.2094536
30	Adipose-Normal	GSE7307	GSM176027	T	None	8.238404
31	Adipose-Normal	GSE7307	GSM176028	T	None	8.0168085
32	Adipose-Normal	GSE7307	GSM176118	T	None	8.308339
33	Adipose-Normal	GSE7307	GSM176119	T	None	8.438792
34	Adipose-Normal	GSE7307	GSM176121	T	None	8.535275
35	Adipose-Normal	GSE13506	GSM340489	T	None	9.1111355
36	Adipose-Normal	GSE13506	GSM340490	T	None	9.100662
37	Adipose-Normal	GSE13506	GSM340491	T	None	9.584963
38	Adipose-Normal	GSE13506	GSM340492	T	None	9.457381
39	Adipose-Normal	GSE13506	GSM340493	T	None	9.2946205
40	Adipose-Normal	GSE13506	GSM340494	T	None	9.312883
41	Adipose-Normal	GSE13506	GSM340495	T	None	9.333156
42	Adipose-Normal	GSE13506	GSM340496	T	None	9.629356
43	Adipose-Normal	GSE13506	GSM340497	T	None	9.590587
44	Adipose-Normal	GSE13506	GSM340498	T	None	9.315149
45	Adipose-Normal	GSE13506	GSM340499	T	None	9.353147
46	Adipose-Normal	GSE13506	GSM340500	T	None	9.415742
47	Adipose-Normal	GSE13506	GSM340501	T	None	9.449148
48	Adipose-Normal	GSE13506	GSM340502	T	None	8.921841
49	Adipose-Normal	GSE13506	GSM340503	T	None	9.285402
50	Adipose-Normal	GSE13506	GSM340504	T	None	9.142107
51	Adipose-Normal	GSE13506	GSM340505	T	None	9.285402
52	Adipose-Normal	GSE13506	GSM340506	T	None	9.432542
53	Adipose-Normal	GSE13506	GSM340507	T	None	9.226412
54	Adipose-Normal	GSE13506	GSM340508	T	None	8.543032
55	Adipose-Normal	GSE13506	GSM340509	T	None	9.579316
