Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	9.182394
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	9.308339
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	9.679481
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	9.319673
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	9.06609
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	9.036174
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	8.939579
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	8.954196
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	8.991522
10	Adipose-Cancer	GSE13506	GSM340488	T	None	9.02514
11	Adipose-Normal	GSE41168	GSM1009760	T	None	7.499846
12	Adipose-Normal	GSE41168	GSM1009772	T	None	7.839204
13	Adipose-Normal	GSE41168	GSM1009776	T	None	7.7210994
14	Adipose-Normal	GSE41168	GSM1009800	T	None	7.693487
15	Adipose-Normal	GSE41168	GSM1009804	T	None	8.1649065
16	Adipose-Normal	GSE41168	GSM1009812	T	None	7.4008794
17	Adipose-Normal	GSE41168	GSM1009820	T	None	7.7548876
18	Adipose-Normal	GSE41168	GSM1009828	T	None	7.960002
19	Adipose-Normal	GSE41168	GSM1009836	T	None	8.290019
20	Adipose-Normal	GSE41168	GSM1009844	T	None	8.0223675
21	Adipose-Normal	GSE41168	GSM1009854	T	None	7.507795
22	Adipose-Normal	GSE41168	GSM1009872	T	None	7.357552
23	Adipose-Normal	GSE41168	GSM1009886	T	None	7.7879024
24	Adipose-Normal	GSE43346	GSM1060754	T	None	9.266787
25	Adipose-Normal	GSE7307	GSM175834	T	None	9.56415
26	Adipose-Normal	GSE7307	GSM175835	T	None	10.278449
27	Adipose-Normal	GSE7307	GSM175836	T	None	9.733015
28	Adipose-Normal	GSE7307	GSM175837	T	None	9.700439
29	Adipose-Normal	GSE7307	GSM175994	T	None	10.14083
30	Adipose-Normal	GSE7307	GSM176027	T	None	9.686501
31	Adipose-Normal	GSE7307	GSM176028	T	None	9.758224
32	Adipose-Normal	GSE7307	GSM176118	T	None	10.17742
33	Adipose-Normal	GSE7307	GSM176119	T	None	10.266787
