TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
6.5849624,7.6073303,11.995414,13.070289,8.475734,7.5849624,10.418907,5.4594316,7.022368,11.127995,10.612868,8.1649065,6.9068904,8.839204,8.700439,7.7073593,9.245553,12.696533,8.960002,6.643856,Pancreas-Cancer
9.995768,8.169925,11.232421,12.984952,8.463525,8.321928,8.357552,5.5849624,5.129283,8.909893,8.2946205,8.968667,7.6865005,9.67772,7.022368,7.9307375,6.7813597,11.965424,7.7813597,6.321928,Pancreas-Cancer
10.850968,7.882643,11.059344,13.215078,6.9068904,8.829722,8.169925,7.851749,6,7.9425144,8.771489,8.823367,7.1189413,9.379378,7.4838157,7.7615514,5.7548876,8.209454,7.577429,7.098032,Pancreas-Cancer
8.6402445,7.774787,11.304351,12.44009,7.33985,8.383704,8.797662,5.3923173,4.9068904,9.2502985,8.83289,10.738092,6.5849624,10.088788,7.857981,7.948367,5.2854023,12.717891,7.539159,7.066089,Pancreas-Cancer
10.3663225,7.7347097,11,13.1430645,7.8887434,8.23362,8.665336,7.491853,5.554589,8.392318,8.266787,9.625709,4.321928,9.546894,7.4008794,7.129283,4.643856,11.134426,7.4429436,6.5999126,Pancreas-Cancer
10.258566,7.6865005,11.355902,12.534303,7.4594316,8.353147,9.511753,6.6724253,6.321928,9.6402445,9.995768,11.373953,7.179909,9.06609,8.554589,7.066089,4.643856,9.663558,7.554589,7.9307375,Pancreas-Cancer
10.191059,5.70044,11.70779,12.204877,7.6510515,8.854868,9.865733,5.643856,4.643856,10.178665,10.514714,11.835656,8.103288,9.432542,8.744834,7.554589,4.169925,9.48784,7.7548876,8.451211,Pancreas-Cancer
9.491853,7.971544,11.63345,12.5992155,7.665336,8.764872,9.139551,6.066089,5.7813597,9.461479,8.629356,9.674192,6.6724253,9.731319,7.321928,6.894818,5.9541965,10.052568,7.0768156,6.70044,Pancreas-Cancer
10.848623,8.1649065,11.055283,13.027906,7.882643,8.409391,8.413628,7.179909,6.321928,8.511753,8.758224,9.53333,5.7813597,9.312883,7.5849624,7.1189413,7.169925,9.891784,7.066089,8.519636,Pancreas-Cancer
8.636624,8.092757,11.803727,12.3899,6.741467,8.738092,9.049849,5.491853,4.643856,9.342074,9.209454,9.629356,6.129283,9.729621,8.149747,6.6724253,6.1898246,12.797662,6.643856,6.768184,Pancreas-Cancer
10.76072,7.6724253,11.357552,12.939212,7.5849624,8.28077,8.491853,6.857981,6.1898246,8.471675,9.162392,9.79279,7.169925,9.41996,6.9541965,7.228819,5.2479277,10.798471,7.426265,5.97728,Pancreas-Cancer
10.391244,8.038919,10.694358,13.050359,7.643856,8.422065,8.714246,7.2854023,5.321928,7.971544,7.3037806,9.0741415,4.643856,9.299208,7.876517,6.820179,6.97728,8.921841,7.554589,5.426265,Pancreas-Cancer
10.0741415,8.179909,11.205793,12.812779,7.6865005,8.247928,9.014021,4.4594316,5.523562,9.503826,9.169925,10.525521,6.2479277,9.848623,8.027906,7.554589,8.731319,12.250002,7.5313816,5.7279205,Pancreas-Cancer
10.49085,8.228819,11.238404,12.405673,7.022368,8.7414665,9.049849,5.2479277,5.357552,9.590587,9.457381,10.226412,6.9068904,9.577429,7.087463,7.7347097,4.5849624,12.846665,6.820179,5.807355,Pancreas-Cancer
9.055283,8.027906,11.355902,12.196602,7.2946205,7.8887434,8.447083,5.4594316,4.4594316,8.813781,8.092757,10.0539255,7.179909,9.187352,6.768184,8.118941,6.321928,11.536733,6.7142453,7.539159,Pancreas-Cancer
10.535275,7.491853,11.41996,12.942148,7.383704,7.451211,9.231221,5.554589,5.2479277,8.924812,9.231221,9.306062,6.523562,10.271463,10.091435,7.6582117,8.353147,12.412041,6.4594316,6.9068904,Pancreas-Cancer
11.731743,6.9886847,11.108524,12.868629,8.154819,7.894818,8.73471,6.5849624,6.3923173,8.804131,9.525521,8.654636,6.169925,9.629356,9.6402445,7.491853,8.092757,12.28077,6.7142453,7.693487,Pancreas-Cancer
9.590587,6.2479277,10.399812,12.639566,7.9307375,7.936638,8.3663225,6.882643,6.022368,8.0821495,7.636625,9.672425,4.807355,9.897845,7.636625,7.426265,7.636625,10.597121,7.434628,7.491853,Pancreas-Cancer
9.0223675,6.9068904,11.482304,11.937374,7.2191687,8.503826,8.829722,6.9886847,5.044394,9.283089,8.550747,9.700439,6.8703647,10.342074,7.5468946,7.3923173,7.894818,12.543515,7.5468946,8,Pancreas-Cancer
11.546894,8.0223675,11.108524,13.100498,7.6293564,8.430452,8.495855,8.997179,5.129283,8.48784,8.055283,8.459432,5.7813597,9.523562,7.4178524,7.139551,5.044394,8.558421,7.84549,7.4429436,Pancreas-Cancer
10.371777,7.409391,11.276124,12.706712,8.413628,8.228819,9.1111355,7.098032,5.5849624,9.315149,8.927778,9.88722,6.4594316,9.691744,8.353147,7.3750396,6.044394,12.795228,8.204571,7.4757333,Pancreas-Cancer
9.503826,8.124122,11.634357,12.347344,7.9829936,8.758224,9.071463,7.491853,5.491853,8.495855,7.636625,8.6402445,6.554589,10.027906,7.6073303,8.0821495,6.169925,10.014021,7.8887434,6.2479277,Pancreas-Cancer
9.422065,8.724514,11.376125,12.1111355,7.434628,8.658212,9.372865,6.9188633,6.3750396,9.707359,7.9886847,8.409391,6.9307375,9.962896,7.882643,8.103288,7.2094536,12.541339,8.5622425,6.3037806,Pancreas-Cancer
6.554589,8.087462,11.50928,13.21614,7.8703647,8.2946205,11.144658,6.894818,5.882643,9.23362,11.945078,9.005625,6.5849624,7.9829936,7.6293564,7.5999126,8.531382,11.820578,8.379378,7.4594316,Pancreas-Cancer
6.794416,8.103288,11.321364,13.120886,8.738092,8.144658,10.944712,6.2094536,5.882643,9.9307375,11.830912,9.859535,7.5157,8.312883,7.4008794,7.9188633,7.7073593,12.114068,8.2946205,6.523562,Pancreas-Cancer
6.426265,7.665336,11.455327,13.1478405,7.3923173,7.70044,10.585901,4.4594316,6.4757333,9.544965,12.664447,9.375039,8.28077,7.2479277,7.7347097,7.7347097,9.864186,11.599448,7.936638,7.011227,Pancreas-Cancer
6.6293564,8.243174,11.509775,13.410054,7.7879024,8.1947565,10.546894,6.044394,6.4429436,9.661778,12.065753,9.027906,7.820179,7.7142453,6.9307375,7.97728,5.7279205,11.601307,8.303781,7.3037806,Pancreas-Cancer
6.83289,8.417852,11.524052,13.167575,8.426265,8.011228,11.183636,6.4757333,6.3923173,9.748193,11.767771,9.090113,6.2094536,7.7615514,7.228819,7.807355,7.70044,11.697836,8.455327,7.434628,Pancreas-Cancer
7.321928,8.134426,11.350939,13.262976,7.8265486,7.7879024,10.388018,5.807355,6.2667866,9.219169,11.672425,12.241983,6.794416,7.7142453,7.2761245,7.6510515,7.383704,12.654412,8.3706875,7.2094536,Pancreas-Cancer
6.9541965,6.523562,11.648807,13.437622,8.511753,7.9248123,10.97871,4.807355,6.9886847,9.255029,12.348175,12.275251,7.665336,7.8009,7.199672,8.098032,8.6510515,12.38721,8.209454,7.5468946,Pancreas-Cancer
6.97728,7.6220517,11.323618,13.258861,8.459432,8.06609,10.6339035,7.139551,6.539159,9.84549,12.412834,9.647458,6.228819,7.5157,7.2946205,7.7142453,5.129283,11.319673,8.361944,7.357552,Pancreas-Cancer
6.6582117,8.361944,11.560333,13.356865,8.0168085,8.413628,10.648357,7.820179,6.6724253,9.567956,11.3337145,9.497851,8.413628,8.027906,7.6293564,8.129283,5.321928,11.652397,8.581201,7.5849624,Pancreas-Cancer
