TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.7347097,8.629356,11.330357,11.797662,8.426265,6.6582117,6.965784,5.643856,7.3923173,7.5468946,10.337622,10.660888,8.643856,7.348728,9.197217,8.754888,5.129283,10.671541,6.129283,8.285402,Pharynx-Cancer
8.154819,7.97728,10.348728,12.187043,8.011228,6.6724253,9.766529,4.807355,8.113742,9.471675,10.421013,12.317412,6.9068904,8.675957,10.457381,8.658212,6.507795,10.33539,7.6293564,7.2761245,Pharynx-Cancer
7.523562,9.038919,9.85331,11.156083,9.179909,7.5313816,8.409391,7.491853,8.124122,9.23362,10.2179575,10.14083,8.214319,7.965784,9.129283,7.3037806,7.7142453,10.092757,7.9541965,6.409391,Pharynx-Cancer
9.8008995,8.758224,10.616549,12.949826,9.0168085,6.066089,8.668885,6.129283,7.636625,9.385862,9.455327,10.101975,7.1085243,8.087462,10.463525,9.392318,7.5999126,11.348175,9.375039,7.022368,Pharynx-Cancer
9.105908,8.3663225,11.178042,11.590119,8.422065,7.6073303,10.5736475,3.7004397,7.2191687,8.864186,11.3548,11.541097,7.022368,7.748193,9.415742,8.693487,7.022368,11.458406,9.174926,7.044394,Pharynx-Cancer
2.807355,8.139551,10.918118,13.254586,9.057992,7.5313816,10.643856,4.3923173,7.3750396,10.491853,13.007903,12.195988,9.179909,7.383704,10.559377,7.523562,8.430452,11.983706,9.440869,6.523562,Pharynx-Cancer
8.632996,9.036174,11.309476,12.55866,7.348728,6.4429436,10.868822,2.807355,7.5622425,10.455327,12.1347475,12.55866,8.2526655,7.768184,9.240791,7.8887434,9.893302,10.759056,8.707359,6.321928,Pharynx-Cancer
7.6865005,4.7548876,9.3706875,13.202736,6.965784,4.523562,6.1898246,2.5849626,5.9541965,7.894818,12.458663,6.539159,8.28077,6.9068904,8.906891,5.169925,5.491853,11.750288,4.643856,4.4594316,Pharynx-Cancer
7.8641863,8.618385,11.262682,11.844706,7.022368,7.5698557,10.0182,5.044394,7.894818,9.594325,12.059007,10.256208,6.228819,7.7279205,10.897089,8.523562,10.448116,12.7521715,8.700439,8.321928,Pharynx-Cancer
9.236014,8.098032,11.48784,12.814583,8.33985,7.011227,9.539159,4.4594316,7.4008794,8.962896,10.430452,10.310613,8.459432,10.321928,9.823367,8.071463,7.5849624,12.421802,8.991522,7.6293564,Pharynx-Cancer
9.350939,8.727921,10.843921,11.986197,8.285402,7.159871,10.4346285,5.4594316,7.4757333,9.769837,12.340962,12.31345,8.204571,7.8137813,11.325868,8.33539,8.3706875,11.198445,7.97728,6.7548876,Pharynx-Cancer
9.368506,9.139551,11.178665,13.375446,8.28077,6.3923173,9.503826,4.2479277,7.7210994,10.266787,10.378295,11.357002,9.076816,7.6865005,10.498849,8.962896,5.6724253,11.556506,7.748193,6.8703647,Pharynx-Cancer
8.0223675,8.539159,11.489848,13.111462,5.83289,7.033423,9.808964,4.2479277,7.3750396,9.733015,11.6510515,10.920353,8.668885,7.6865005,10.722808,8.209454,9.917372,10.97728,7.8137813,6.5999126,Pharynx-Cancer
6.6293564,8.2526655,11.078151,12.731531,5,7.066089,10.157347,6.228819,7.357552,8.921841,10.899357,7.4757333,9.105908,7.383704,7.523562,7.84549,6.022368,10.714246,6.9188633,6.768184,Pharynx-Cancer
7.2384048,8.675957,10.179909,12.430191,6.4429436,7.4429436,8.422065,7.129283,7.383704,9.459432,11.600377,3.321928,9.556506,8.797662,8.219169,7.228819,6.087463,9.361944,6.087463,6.3923173,Pharynx-Cancer
6.6724253,8.455327,10.908393,12.782998,5.087463,6.857981,10.76072,6.044394,7.807355,8.299208,9.818583,10.485829,6.7279205,8.108524,10.484823,7.1189413,6.523562,10.779719,6.84549,6.022368,Pharynx-Normal
7.199672,7.4429436,9.95565,12.468115,8.6510515,6.5999126,8.962896,4.5849624,8.503826,8.721099,8.98014,11.148477,7.1898246,8.06609,9.859535,6.9307375,9.5736475,11.113742,7.6510515,9.005625,Pharynx-Normal
9.060696,7.149747,10.159871,12.755096,9.35975,5.7813597,9.02514,4.7548876,7.851749,9.283089,8.915879,10.900112,4.9541965,8.219169,10.02514,7.4008794,9.485829,10.54593,8.495855,8.672425,Pharynx-Normal
