TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
6.7813597,8.375039,11.95819,13.315291,8.483816,8.23362,10.820179,6.7813597,6.1898246,9.3442955,11.131857,9.28077,11.361944,8.543032,9.403012,8.285402,9.60177,11.542548,9.126704,7.7210994,Placenta-Normal
6.3923173,8.326429,11.890644,13.280915,8.4998455,8.027906,10.683872,6.2479277,6.523562,9.924812,12.244958,8.988685,11.831703,8.61471,10.124122,8.321928,7.0768156,12.353147,9.149747,7.507795,Placenta-Normal
6.5849624,8.23362,11.752799,13.223701,8.124122,7.9248123,10.963618,7.033423,6.087463,9.535275,12.031701,7.839204,8.851749,8.4998455,9.047124,8.098032,8.098032,8.0821495,8.854868,7.348728,Placenta-Normal
9.027906,7.876517,11.288289,12.738303,9.850187,7.2667866,10.365229,8.936638,7.044394,9.052568,11.731319,9.079485,7.434628,8.027906,8.471675,7.451211,8.209454,3.169925,9.674192,7.348728,Placenta-Normal
9.169925,7.8009,11.240195,12.727708,10.178665,7.169925,10.358651,8.971543,6.741467,9.113742,11.6821165,9.1848755,7.5698557,7.948367,8.405142,7.4429436,8.353147,4.321928,9.769837,7.2667866,Placenta-Normal
8.632996,7.9943533,11.436191,13.14083,9.876517,7.2573876,10.393391,4.857981,6.4594316,8.238404,11.599913,10.910643,12.951284,8.108524,9.843921,9.257388,6.169925,11.583553,9.008429,6.768184,Placenta-Normal
8.108524,8.693487,11.336507,13.080152,9.06609,7.8265486,11.523562,5.9068904,5.643856,8.924812,11.338737,10.33985,12.482052,8.199673,10.181152,9.103288,6.169925,11.947271,9.17742,6.7279205,Placenta-Normal
8.3442955,7.7879024,11.283089,12.686281,9.364135,7.4757333,10.40088,5.7548876,6.357552,8.144658,11.136351,11.526499,13.048317,7.4838157,9.663558,9.182394,5.807355,12.054605,8.98014,6.61471,Placenta-Normal
7.960002,8.870365,11.650603,12.800091,9.126704,8.558421,10.352043,6.044394,6.507795,9.629356,11.583083,9.908393,11.814182,7.5313816,11.277868,9.169925,6.965784,11.266201,9.548821,7.554589,Placenta-Normal
7.900867,9.02514,11.62799,12.844117,8.668885,8.861087,10.388018,6.8703647,6.643856,9.935165,12.056638,9.087462,10.949097,7.2191687,10.865733,9.147205,6.9886847,11.263269,9.784635,7.7210994,Placenta-Normal
8.0443945,8.991522,11.695663,12.978889,8.915879,8.774787,10.092757,5.9307375,7.098032,9.670656,11.638888,8.48784,12.07481,7.839204,10.333156,8.885696,7.066089,10.94398,9.815383,7.9829936,Placenta-Normal
7.366322,8.816983,11.863025,12.873059,8.83605,8.854868,10.468624,6.409391,6.523562,9.556506,12.13571,9.17742,11.948002,7.2761245,11.540612,9.105908,7.2094536,11.659104,9.503826,7.33985,Placenta-Normal
9.131857,8.108524,11.26092,13.097045,8.971543,7.129283,11.018895,5.807355,5.9541965,9.828136,12.227616,10.216746,12.686938,7.665336,10.718533,10.27263,7,12.4504385,8.9307375,6.3923173,Placenta-Normal
8.303781,7.794416,11.169925,13.126704,9.567956,6.9307375,10.323054,6.087463,6.129283,8.0443945,11.493355,10.61379,12.884361,7.4178524,9.411511,8.861087,5.70044,12.0741415,8.503826,6.8703647,Placenta-Normal
7.9068904,7.8703647,11.37992,12.8792,9.83289,7.044394,10.376125,7.2761245,5.9068904,8.179909,11.415742,10.496854,12.997003,7.577429,9.681238,8.885696,5.523562,11.954924,8.774787,6.523562,Placenta-Normal
8.658212,8.2526655,11.557464,13.007903,9.873445,7.199672,10.565102,5.7548876,5.9068904,8.2946205,11.870365,11.464035,13.032045,7.330917,9.041659,8.5622425,5.3923173,11.734286,8.903882,7.2479277,Placenta-Normal
8.357552,8.535275,11.373953,12.923698,9.902375,7.491853,10.28193,5.807355,6.5698557,8.379378,11.323054,9.990104,13.116994,7.67948,9.036174,8.636624,5.2479277,11.783816,9.592457,7.3923173,Placenta-Normal
