TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.97728,8.611025,11.389093,13.238404,9.531382,8.459432,10.540128,6.794416,6.426265,9.321928,12.201205,10.687376,9.432542,7.3750396,8.968667,7.5468946,6.129283,11.901621,9.383704,7.2667866,Prostate-Cancer
7.5849624,9.417852,11.282509,13.797154,9.219169,7.9829936,9.1947565,7,7.5468946,9.489848,12.337622,10.687376,7.507795,7.348728,8.361944,7.523562,6.61471,12.3478985,9.497851,7.348728,Prostate-Cancer
7.8887434,8.033423,11.551708,13.525398,9.134426,7.6724253,9.992938,6.507795,6.794416,9.579316,11.793603,11.236612,8.816983,7.5468946,9.011228,7.6510515,6.4429436,11.565578,9.432542,7,Prostate-Cancer
7.383704,9.1111355,11.253257,13.641826,10.732167,6.5999126,8.463525,6.6293564,7.033423,9.707359,12.417589,12.684529,6.3037806,7.348728,7.6293564,8.108524,7.33985,12.146568,9.228819,6.6293564,Prostate-Cancer
5.882643,7.5849624,11.409922,13.928426,9.330916,6.3750396,7.971544,7.033423,6.409391,9.592457,12.189516,13.009829,3.5849626,7.179909,7.7813597,7.794416,5.857981,12.491352,8.503826,6.7813597,Prostate-Cancer
7.4178524,8.092757,12.121533,13.097374,9.174926,6.6865005,9.266787,6.1898246,7.011227,9.372865,12.092096,12.798067,5.882643,7.098032,8.266787,8.467606,6.5999126,12.860699,9.219169,6.6865005,Prostate-Cancer
6.820179,7.491853,11.886458,13.207319,9.906891,6.539159,8.405142,6.2094536,7.7879024,9.079485,12.210976,12.282799,6.169925,7.434628,8.654636,8.523562,6.768184,12.664669,9.403012,6.4429436,Prostate-Cancer
6.70044,8.238404,11.881496,13.638775,9.383704,7.409391,8.483816,4.321928,7,9.531382,10.715104,11.874213,6.9425144,7.67948,7.0552826,7.7210994,6.409391,12.485075,8.936638,6.321928,Prostate-Cancer
6.9068904,8.055283,11.450696,13.874886,8.839204,6.066089,8.483816,7.4757333,6.807355,9.377211,11.166791,12.639114,6.820179,7.748193,6.6582117,8.447083,6.087463,11.932584,7.9188633,6.7142453,Prostate-Cancer
7.741467,8.771489,11.330357,14.013933,9.495855,6.4757333,7.554589,4.5849624,6.409391,10.16365,12.195065,12.39714,3.7004397,5.7813597,7.044394,8.2620945,5.643856,12.812378,8.23362,6.9425144,Prostate-Cancer
7.5313816,8.154819,11.268542,13.431106,9.850187,7.0552826,9.214319,5.426265,7.4676056,9.259744,13.008604,13.167261,4.3923173,6.807355,7.4008794,7.366322,5.5849624,11.555548,8.771489,6.33985,Prostate-Cancer
6.741467,8.353147,11.543515,13.517793,9.784635,6.882643,9.603626,4.70044,6.523562,10.0539255,13.059344,11.18797,2,6.857981,6.894818,7.451211,7.228819,12.431759,8.47978,7.022368,Prostate-Cancer
