Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	13.109994
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	12.628446
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	12.898034
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	12.512247
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	12.796243
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	12.527232
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	12.57483
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	12.7414665
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	12.972442
10	Adipose-Cancer	GSE13506	GSM340488	T	None	12.800697
11	Adipose-Normal	GSE41168	GSM1009760	T	None	13.371232
12	Adipose-Normal	GSE41168	GSM1009772	T	None	13.059852
13	Adipose-Normal	GSE41168	GSM1009776	T	None	13.4326725
14	Adipose-Normal	GSE41168	GSM1009800	T	None	13.307058
15	Adipose-Normal	GSE41168	GSM1009804	T	None	13.035315
16	Adipose-Normal	GSE41168	GSM1009812	T	None	13.335949
17	Adipose-Normal	GSE41168	GSM1009820	T	None	13.215078
18	Adipose-Normal	GSE41168	GSM1009828	T	None	13.672536
19	Adipose-Normal	GSE41168	GSM1009836	T	None	13.318825
20	Adipose-Normal	GSE41168	GSM1009844	T	None	13.213256
21	Adipose-Normal	GSE41168	GSM1009854	T	None	13.38721
22	Adipose-Normal	GSE41168	GSM1009872	T	None	13.262829
23	Adipose-Normal	GSE41168	GSM1009886	T	None	13.468624
24	Adipose-Normal	GSE43346	GSM1060754	T	None	13.18441
25	Adipose-Normal	GSE7307	GSM175834	T	None	13.330637
26	Adipose-Normal	GSE7307	GSM175835	T	None	13.31614
27	Adipose-Normal	GSE7307	GSM175836	T	None	13.170081
28	Adipose-Normal	GSE7307	GSM175837	T	None	13.419039
29	Adipose-Normal	GSE7307	GSM175994	T	None	13.15165
30	Adipose-Normal	GSE7307	GSM176027	T	None	13.146728
31	Adipose-Normal	GSE7307	GSM176028	T	None	13.199059
32	Adipose-Normal	GSE7307	GSM176118	T	None	12.779924
33	Adipose-Normal	GSE7307	GSM176119	T	None	12.698921
34	Adipose-Normal	GSE7307	GSM176121	T	None	12.729834
35	Adipose-Normal	GSE13506	GSM340489	T	None	13.097374
36	Adipose-Normal	GSE13506	GSM340490	T	None	13.190751
37	Adipose-Normal	GSE13506	GSM340491	T	None	12.831901
38	Adipose-Normal	GSE13506	GSM340492	T	None	13.036002
39	Adipose-Normal	GSE13506	GSM340493	T	None	12.692397
40	Adipose-Normal	GSE13506	GSM340494	T	None	12.964521
41	Adipose-Normal	GSE13506	GSM340495	T	None	13.172896
42	Adipose-Normal	GSE13506	GSM340496	T	None	12.73957
43	Adipose-Normal	GSE13506	GSM340497	T	None	12.775816
44	Adipose-Normal	GSE13506	GSM340498	T	None	13.003694
45	Adipose-Normal	GSE13506	GSM340499	T	None	13.116669
46	Adipose-Normal	GSE13506	GSM340500	T	None	12.934244
47	Adipose-Normal	GSE13506	GSM340501	T	None	12.796851
48	Adipose-Normal	GSE13506	GSM340502	T	None	13.203959
49	Adipose-Normal	GSE13506	GSM340503	T	None	12.893302
