Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	11.116994
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	11.001409
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	10.865733
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	10.685625
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	11.386401
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	10.995768
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	10.8572035
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	10.953469
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	11.023754
10	Adipose-Cancer	GSE13506	GSM340488	T	None	11.78831
11	Adipose-Normal	GSE41168	GSM1009760	T	None	11.39821
12	Adipose-Normal	GSE41168	GSM1009772	T	None	11.475734
13	Adipose-Normal	GSE41168	GSM1009776	T	None	11.126704
14	Adipose-Normal	GSE41168	GSM1009800	T	None	11.33818
15	Adipose-Normal	GSE41168	GSM1009804	T	None	11.370143
16	Adipose-Normal	GSE41168	GSM1009812	T	None	11.210671
17	Adipose-Normal	GSE41168	GSM1009820	T	None	11.397675
18	Adipose-Normal	GSE41168	GSM1009828	T	None	11.312883
19	Adipose-Normal	GSE41168	GSM1009836	T	None	11.205182
20	Adipose-Normal	GSE41168	GSM1009844	T	None	11.283668
21	Adipose-Normal	GSE41168	GSM1009854	T	None	11.49085
22	Adipose-Normal	GSE41168	GSM1009872	T	None	11.171177
23	Adipose-Normal	GSE41168	GSM1009886	T	None	11.495356
24	Adipose-Normal	GSE43346	GSM1060754	T	None	11.237807
25	Adipose-Normal	GSE7307	GSM175834	T	None	11.466586
26	Adipose-Normal	GSE7307	GSM175835	T	None	11.197217
27	Adipose-Normal	GSE7307	GSM175836	T	None	11.14083
28	Adipose-Normal	GSE7307	GSM175837	T	None	11.094737
29	Adipose-Normal	GSE7307	GSM175994	T	None	10.888743
30	Adipose-Normal	GSE7307	GSM176027	T	None	11.505812
31	Adipose-Normal	GSE7307	GSM176028	T	None	11.591522
32	Adipose-Normal	GSE7307	GSM176118	T	None	11.090113
33	Adipose-Normal	GSE7307	GSM176119	T	None	11.088125
34	Adipose-Normal	GSE7307	GSM176121	T	None	11.162392
35	Adipose-Normal	GSE13506	GSM340489	T	None	11.9501915
36	Adipose-Normal	GSE13506	GSM340490	T	None	11.979782
37	Adipose-Normal	GSE13506	GSM340491	T	None	11.783816
38	Adipose-Normal	GSE13506	GSM340492	T	None	12.053247
39	Adipose-Normal	GSE13506	GSM340493	T	None	11.7452545
40	Adipose-Normal	GSE13506	GSM340494	T	None	12.010529
41	Adipose-Normal	GSE13506	GSM340495	T	None	12.084808
42	Adipose-Normal	GSE13506	GSM340496	T	None	11.767771
43	Adipose-Normal	GSE13506	GSM340497	T	None	11.550747
44	Adipose-Normal	GSE13506	GSM340498	T	None	11.778898
45	Adipose-Normal	GSE13506	GSM340499	T	None	11.559855
46	Adipose-Normal	GSE13506	GSM340500	T	None	11.9128895
47	Adipose-Normal	GSE13506	GSM340501	T	None	11.642503
48	Adipose-Normal	GSE13506	GSM340502	T	None	11.5961895
49	Adipose-Normal	GSE13506	GSM340503	T	None	11.604553
50	Adipose-Normal	GSE13506	GSM340504	T	None	11.2986355
51	Adipose-Normal	GSE13506	GSM340505	T	None	11.725367
52	Adipose-Normal	GSE13506	GSM340506	T	None	11.715533
53	Adipose-Normal	GSE13506	GSM340507	T	None	11.924812
54	Adipose-Normal	GSE13506	GSM340508	T	None	11.698271
55	Adipose-Normal	GSE13506	GSM340509	T	None	11.914385
56	Adipose-Normal	GSE13506	GSM340510	T	None	11.522091
57	Adipose-Normal	GSE13506	GSM340511	T	None	11.552189
58	Adipose-Normal	GSE13506	GSM340512	T	None	11.644757
59	Adipose-Normal	GSE13506	GSM340513	T	None	11.686063
60	Adipose-Normal	GSE13506	GSM340514	T	None	11.632087
61	Adipose-Normal	GSE13506	GSM340515	T	None	11.855258
62	Adipose-Normal	GSE13506	GSM340516	T	None	11.666668
63	Adipose-Normal	GSE13506	GSM340517	T	None	11.722381
64	Adipose-Normal	GSE13506	GSM340518	T	None	11.687376
65	Adipose-Normal	GSE13506	GSM340519	T	None	11.608717
66	Adipose-Normal	GSE13506	GSM340520	T	None	11.583083
67	Adipose-Normal	GSE13506	GSM340521	T	None	11.688687
68	Adipose-Normal	GSE13506	GSM340522	T	None	11.617008
69	Adipose-Normal	GSE13506	GSM340523	T	None	11.562719
70	Adipose-Normal	GSE13506	GSM340524	T	None	11.687376
71	Adipose-Normal	GSE13506	GSM340525	T	None	11.869594
72	Adipose-Normal	GSE13506	GSM340526	T	None	11.779719
73	Adipose-Normal	GSE13506	GSM340527	T	None	11.664447
74	Adipose-Normal	GSE13506	GSM340528	T	None	11.638436
75	Adipose-Normal	GSE13506	GSM340529	T	None	12.057992
76	Adipose-Normal	GSE13506	GSM340530	T	None	11.938109
77	Adipose-Normal	GSE13506	GSM340531	T	None	11.612868
78	Adipose-Normal	GSE13506	GSM340532	T	None	11.632541
79	Adipose-Normal	GSE13506	GSM340533	T	None	11.594791
80	Adipose-Normal	GSE13506	GSM340534	T	None	11.883025
81	Adipose-Normal	GSE13506	GSM340535	T	None	11.764042
82	Adipose-Normal	GSE13506	GSM340536	T	None	11.926296
83	Adrenal_Gland-Cancer	GSE19776	GSM1094056	T	None	11.730045
84	Adrenal_Gland-Cancer	GSE19776	GSM1094057	T	None	10.907641
85	Adrenal_Gland-Cancer	GSE19776	GSM1094058	T	None	12.015066
86	Adrenal_Gland-Cancer	GSE19776	GSM1094059	T	None	11.083479
87	Adrenal_Gland-Cancer	GSE19776	GSM1094060	T	None	11.349281
88	Adrenal_Gland-Cancer	GSE19776	GSM1094061	T	None	10.949826
89	Adrenal_Gland-Cancer	GSE19776	GSM1094062	T	None	11.028597
90	Adrenal_Gland-Cancer	GSE19776	GSM1094063	T	None	11.222191
91	Adrenal_Gland-Cancer	GSE19776	GSM1094064	T	None	11.332037
92	Adrenal_Gland-Cancer	GSE19776	GSM1094065	T	None	11.191676
93	Adrenal_Gland-Cancer	GSE19776	GSM1094066	T	None	11.090774
94	Adrenal_Gland-Cancer	GSE19776	GSM1094067	T	None	10.821774
95	Adrenal_Gland-Cancer	GSE19776	GSM1094068	T	None	12.173989
96	Adrenal_Gland-Cancer	GSE19776	GSM1094069	T	None	10.911392
97	Adrenal_Gland-Cancer	GSE19776	GSM1094070	T	None	11.070792
98	Adrenal_Gland-Cancer	GSE19776	GSM1094071	T	None	11.823766
99	Adrenal_Gland-Cancer	GSE19776	GSM1094072	T	None	11.385324
100	Adrenal_Gland-Cancer	GSE19776	GSM1094073	T	None	11.557942
101	Adrenal_Gland-Cancer	GSE19776	GSM1094074	T	None	10.850187
102	Adrenal_Gland-Cancer	GSE19776	GSM1094075	T	None	11.256799
103	Adrenal_Gland-Cancer	GSE19776	GSM1094076	T	None	10.668885
104	Adrenal_Gland-Cancer	GSE19776	GSM1094077	T	None	11.317412
105	Adrenal_Gland-Cancer	GSE19776	GSM1094078	T	None	12.276706
106	Adrenal_Gland-Cancer	GSE19776	GSM1094079	T	None	10.848623
107	Adrenal_Gland-Cancer	GSE19776	GSM1094080	T	None	10.970106
108	Adrenal_Gland-Cancer	GSE2109	GSM117754	T	None	11.218563
109	Adrenal_Gland-Cancer	GSE2109	GSM203678	T	None	11.416269
110	Adrenal_Gland-Cancer	GSE8514	GSM211446	T	None	10.5068035
111	Adrenal_Gland-Cancer	GSE8514	GSM211451	T	None	10.104599
112	Adrenal_Gland-Cancer	GSE8514	GSM211452	T	None	10.542065
113	Adrenal_Gland-Cancer	GSE8514	GSM211453	T	None	10.79604
114	Adrenal_Gland-Cancer	GSE8514	GSM211454	T	None	10.754052
115	Adrenal_Gland-Cancer	GSE8514	GSM211455	T	None	8.861087
116	Adrenal_Gland-Cancer	GSE8514	GSM211456	T	None	11.090774
117	Adrenal_Gland-Cancer	GSE8514	GSM211457	T	None	10.329797
118	Adrenal_Gland-Cancer	GSE8514	GSM211458	T	None	10.47978
119	Adrenal_Gland-Cancer	GSE8514	GSM211459	T	None	10.598983
120	Adrenal_Gland-Cancer	GSE8514	GSM211460	T	None	11.140191
121	Adrenal_Gland-Cancer	GSE2109	GSM38072	T	None	11.803324
122	Adrenal_Gland-Cancer	GSE2109	GSM46946	T	None	11.343185
123	Adrenal_Gland-Cancer	GSE19776	GSM493255	T	None	11.471675
124	Adrenal_Gland-Cancer	GSE19776	GSM493256	T	None	10.95565
125	Adrenal_Gland-Cancer	GSE19776	GSM493257	T	None	11.576957
126	Adrenal_Gland-Cancer	GSE19776	GSM493258	T	None	10.956376
127	Adrenal_Gland-Cancer	GSE19776	GSM493259	T	None	10.641149
128	Adrenal_Gland-Cancer	GSE19776	GSM493260	T	None	11.260331
129	Adrenal_Gland-Cancer	GSE19776	GSM493261	T	None	11.145932
130	Adrenal_Gland-Cancer	GSE19776	GSM493262	T	None	11.5919895
131	Adrenal_Gland-Cancer	GSE19776	GSM493263	T	None	10.295769
132	Adrenal_Gland-Cancer	GSE19776	GSM493264	T	None	10.269127
133	Adrenal_Gland-Cancer	GSE19776	GSM493265	T	None	11.203959
134	Adrenal_Gland-Cancer	GSE19776	GSM493266	T	None	10.51274
135	Adrenal_Gland-Cancer	GSE19776	GSM493267	T	None	10.609179
136	Adrenal_Gland-Cancer	GSE19776	GSM493268	T	None	10.903882
137	Adrenal_Gland-Cancer	GSE19776	GSM493269	T	None	10.863412
138	Adrenal_Gland-Cancer	GSE19776	GSM493270	T	None	11.100005
139	Adrenal_Gland-Cancer	GSE19776	GSM493271	T	None	10.799282
140	Adrenal_Gland-Cancer	GSE19776	GSM493272	T	None	10.622052
141	Adrenal_Gland-Cancer	GSE19776	GSM493273	T	None	10.735556
142	Adrenal_Gland-Cancer	GSE33371	GSM825377	T	None	12.081484
143	Adrenal_Gland-Cancer	GSE33371	GSM825378	T	None	11.524052
144	Adrenal_Gland-Cancer	GSE33371	GSM825379	T	None	11.892163
145	Adrenal_Gland-Cancer	GSE33371	GSM825380	T	None	11.652397
146	Adrenal_Gland-Cancer	GSE33371	GSM825381	T	None	11.355902
147	Adrenal_Gland-Cancer	GSE33371	GSM825382	T	None	11.655531
148	Adrenal_Gland-Cancer	GSE33371	GSM825383	T	None	11.498849
149	Adrenal_Gland-Cancer	GSE33371	GSM825384	T	None	11.819381
150	Adrenal_Gland-Cancer	GSE33371	GSM825385	T	None	11.5736475
151	Adrenal_Gland-Cancer	GSE33371	GSM825386	T	None	11.546412
152	Adrenal_Gland-Cancer	GSE33371	GSM825387	T	None	11.744413
153	Adrenal_Gland-Cancer	GSE33371	GSM825388	T	None	11.561288
154	Adrenal_Gland-Cancer	GSE33371	GSM825389	T	None	11.391781
155	Adrenal_Gland-Cancer	GSE33371	GSM825390	T	None	11.5807295
156	Adrenal_Gland-Cancer	GSE33371	GSM825391	T	None	12.052228
157	Adrenal_Gland-Cancer	GSE33371	GSM825392	T	None	11.737247
158	Adrenal_Gland-Cancer	GSE33371	GSM825393	T	None	11.596656
159	Adrenal_Gland-Cancer	GSE33371	GSM825394	T	None	11.884552
160	Adrenal_Gland-Cancer	GSE33371	GSM825395	T	None	11.296916
161	Adrenal_Gland-Cancer	GSE33371	GSM825396	T	None	11.783816
162	Adrenal_Gland-Cancer	GSE33371	GSM825397	T	None	11.855647
163	Adrenal_Gland-Cancer	GSE33371	GSM825398	T	None	11.447599
164	Adrenal_Gland-Cancer	GSE33371	GSM825399	T	None	11.3592005
165	Adrenal_Gland-Cancer	GSE33371	GSM825400	T	None	10.99223
166	Adrenal_Gland-Cancer	GSE33371	GSM825401	T	None	11.0
167	Adrenal_Gland-Cancer	GSE33371	GSM825402	T	None	11.120238
168	Adrenal_Gland-Cancer	GSE33371	GSM825403	T	None	10.960002
169	Adrenal_Gland-Cancer	GSE33371	GSM825404	T	None	10.657318
170	Adrenal_Gland-Cancer	GSE33371	GSM825405	T	None	11.048487
171	Adrenal_Gland-Cancer	GSE33371	GSM825406	T	None	11.558421
172	Adrenal_Gland-Cancer	GSE33371	GSM825407	T	None	11.514714
173	Adrenal_Gland-Cancer	GSE33371	GSM825408	T	None	11.080152
174	Adrenal_Gland-Cancer	GSE33371	GSM825409	T	None	11.643856
175	Adrenal_Gland-Cancer	GSE33371	GSM825410	T	None	11.345406
176	Adrenal_Gland-Cancer	GSE33371	GSM825411	T	None	11.393391
177	Adrenal_Gland-Cancer	GSE33371	GSM825412	T	None	11.686501
178	Adrenal_Gland-Cancer	GSE33371	GSM825413	T	None	11.135068
179	Adrenal_Gland-Cancer	GSE33371	GSM825414	T	None	11.116994
180	Adrenal_Gland-Cancer	GSE33371	GSM825415	T	None	11.2502985
181	Adrenal_Gland-Cancer	GSE33371	GSM825416	T	None	11.872675
182	Adrenal_Gland-Cancer	GSE33371	GSM825417	T	None	11.524542
183	Adrenal_Gland-Cancer	GSE33371	GSM825418	T	None	11.514221
184	Adrenal_Gland-Cancer	GSE33371	GSM825419	T	None	11.095397
185	Adrenal_Gland-Cancer	GSE33371	GSM825420	T	None	11.5731735
186	Adrenal_Gland-Cancer	GSE33371	GSM825421	T	None	11.447599
187	Adrenal_Gland-Cancer	GSE33371	GSM825422	T	None	11.534789
188	Adrenal_Gland-Cancer	GSE33371	GSM825423	T	None	11.60409
189	Adrenal_Gland-Cancer	GSE33371	GSM825424	T	None	11.195988
190	Adrenal_Gland-Cancer	GSE33371	GSM825425	T	None	11.87229
191	Adrenal_Gland-Cancer	GSE33371	GSM825426	T	None	11.617468
192	Adrenal_Gland-Cancer	GSE33371	GSM825427	T	None	10.869594
193	Adrenal_Gland-Cancer	GSE33371	GSM825428	T	None	11.898224
194	Adrenal_Gland-Cancer	GSE33371	GSM825429	T	None	11.6402445
195	Adrenal_Gland-Cancer	GSE33371	GSM825430	T	None	10.968667
196	Adrenal_Gland-Cancer	GSE33371	GSM825431	T	None	10.513727
197	Adrenal_Gland-Normal	GSE43346	GSM1060745	T	None	10.501837
198	Adrenal_Gland-Normal	GSE8514	GSM211447	T	None	10.555548
199	Adrenal_Gland-Normal	GSE8514	GSM211448	T	None	10.665336
200	Adrenal_Gland-Normal	GSE8514	GSM211449	T	None	10.685625
201	Adrenal_Gland-Normal	GSE8514	GSM211450	T	None	10.667998
202	Adrenal_Gland-Normal	GSE19776	GSM493251	T	None	10.888743
203	Adrenal_Gland-Normal	GSE19776	GSM493252	T	None	10.967947
204	Adrenal_Gland-Normal	GSE19776	GSM493253	T	None	11.0182
205	Adrenal_Gland-Normal	GSE19776	GSM493254	T	None	11.1649065
206	Adrenal_Gland-Normal	GSE33371	GSM825367	T	None	11.590587
207	Adrenal_Gland-Normal	GSE33371	GSM825368	T	None	11.567956
208	Adrenal_Gland-Normal	GSE33371	GSM825369	T	None	11.425216
209	Adrenal_Gland-Normal	GSE33371	GSM825370	T	None	11.475226
210	Adrenal_Gland-Normal	GSE33371	GSM825371	T	None	11.507794
211	Adrenal_Gland-Normal	GSE33371	GSM825372	T	None	11.475226
212	Adrenal_Gland-Normal	GSE33371	GSM825373	T	None	11.418907
213	Adrenal_Gland-Normal	GSE33371	GSM825374	T	None	11.391781
214	Adrenal_Gland-Normal	GSE33371	GSM825375	T	None	11.647009
215	Adrenal_Gland-Normal	GSE33371	GSM825376	T	None	11.347068
246	Bladder-Cancer	GSE2109	GSM102434	T	None	11.388018
247	Bladder-Cancer	GSE2109	GSM102437	T	None	10.507794
248	Bladder-Cancer	GSE2109	GSM102470	T	None	11.227616
249	Bladder-Cancer	GSE2109	GSM102475	T	None	11.778898
253	Bladder-Cancer	GSE2109	GSM117677	T	None	10.83605
254	Bladder-Cancer	GSE2109	GSM137919	T	None	11.109831
255	Bladder-Cancer	GSE2109	GSM137976	T	None	11.249706
256	Bladder-Cancer	GSE2109	GSM152625	T	None	11.138911
257	Bladder-Cancer	GSE2109	GSM152717	T	None	10.632087
258	Bladder-Cancer	GSE2109	GSM152732	T	None	11.451726
259	Bladder-Cancer	GSE2109	GSM152779	T	None	10.944712
260	Bladder-Cancer	GSE2109	GSM152797	T	None	11.304922
261	Bladder-Cancer	GSE2109	GSM179874	T	None	11.375583
262	Bladder-Cancer	GSE2109	GSM179921	T	None	10.582142
263	Bladder-Cancer	GSE2109	GSM179926	T	None	11.3014965
264	Bladder-Cancer	GSE7476	GSM180995	T	None	11.39821
265	Bladder-Cancer	GSE7476	GSM180996	T	None	11.536733
266	Bladder-Cancer	GSE7476	GSM180997	T	None	11.272046
267	Bladder-Cancer	GSE7476	GSM180998	T	None	11.173677
268	Bladder-Cancer	GSE7476	GSM180999	T	None	11.634811
269	Bladder-Cancer	GSE7476	GSM181000	T	None	11.538189
270	Bladder-Cancer	GSE7476	GSM181001	T	None	11.349281
271	Bladder-Cancer	GSE7476	GSM181002	T	None	11.027215
272	Bladder-Cancer	GSE2109	GSM203714	T	None	10.954924
273	Bladder-Cancer	GSE2109	GSM203738	T	None	11.63753
274	Bladder-Cancer	GSE2109	GSM203753	T	None	11.965784
275	Bladder-Cancer	GSE2109	GSM203793	T	None	11.368506
276	Bladder-Cancer	GSE2109	GSM231906	T	None	11.375039
277	Bladder-Cancer	GSE2109	GSM46920	T	None	11.505812
278	Bladder-Cancer	GSE2109	GSM53030	T	None	11.13057
279	Bladder-Cancer	GSE2109	GSM53097	T	None	10.871905
280	Bladder-Cancer	GSE2109	GSM53117	T	None	11.35975
281	Bladder-Cancer	GSE2109	GSM53137	T	None	12.078485
282	Bladder-Cancer	GSE2109	GSM53139	T	None	10.872675
283	Bladder-Cancer	GSE30522	GSM756939	T	None	12.177731
284	Bladder-Cancer	GSE30522	GSM756940	T	None	11.666224
285	Bladder-Cancer	GSE2109	GSM76532	T	None	11.794009
286	Bladder-Cancer	GSE31189	GSM773124	T	None	7.8887434
287	Bladder-Cancer	GSE31189	GSM773125	T	None	8.154819
288	Bladder-Cancer	GSE31189	GSM773126	T	None	8.199673
289	Bladder-Cancer	GSE31189	GSM773127	T	None	7.0
290	Bladder-Cancer	GSE31189	GSM773128	T	None	8.696967
291	Bladder-Cancer	GSE31189	GSM773129	T	None	8.1848755
292	Bladder-Cancer	GSE31189	GSM773130	T	None	7.741467
293	Bladder-Cancer	GSE31189	GSM773131	T	None	10.285402
294	Bladder-Cancer	GSE31189	GSM773132	T	None	8.507794
295	Bladder-Cancer	GSE31189	GSM773133	T	None	8.330916
296	Bladder-Cancer	GSE31189	GSM773134	T	None	10.0223675
297	Bladder-Cancer	GSE31189	GSM773135	T	None	9.647458
298	Bladder-Cancer	GSE31189	GSM773136	T	None	10.062046
299	Bladder-Cancer	GSE31189	GSM773137	T	None	11.856036
300	Bladder-Cancer	GSE31189	GSM773138	T	None	7.5313816
301	Bladder-Cancer	GSE31189	GSM773139	T	None	9.337622
302	Bladder-Cancer	GSE31189	GSM773140	T	None	9.245553
303	Bladder-Cancer	GSE31189	GSM773141	T	None	9.317412
304	Bladder-Cancer	GSE31189	GSM773142	T	None	9.030667
305	Bladder-Cancer	GSE31189	GSM773143	T	None	8.546894
306	Bladder-Cancer	GSE31189	GSM773144	T	None	8.6402445
307	Bladder-Cancer	GSE31189	GSM773145	T	None	9.33539
308	Bladder-Cancer	GSE31189	GSM773146	T	None	8.738092
309	Bladder-Cancer	GSE31189	GSM773147	T	None	11.366869
310	Bladder-Cancer	GSE31189	GSM773148	T	None	8.658212
311	Bladder-Cancer	GSE31189	GSM773149	T	None	9.97298
312	Bladder-Cancer	GSE31189	GSM773150	T	None	11.982993
313	Bladder-Cancer	GSE31189	GSM773151	T	None	8.9008665
314	Bladder-Cancer	GSE31189	GSM773152	T	None	9.571753
315	Bladder-Cancer	GSE31189	GSM773153	T	None	7.965784
316	Bladder-Cancer	GSE31189	GSM773154	T	None	9.823367
317	Bladder-Cancer	GSE31189	GSM773155	T	None	11.142107
318	Bladder-Cancer	GSE31189	GSM773156	T	None	9.364135
319	Bladder-Cancer	GSE31189	GSM773157	T	None	12.059683
320	Bladder-Cancer	GSE31189	GSM773158	T	None	11.452241
321	Bladder-Cancer	GSE31189	GSM773159	T	None	8.672425
322	Bladder-Cancer	GSE31189	GSM773160	T	None	11.058668
323	Bladder-Cancer	GSE31189	GSM773161	T	None	12.413893
324	Bladder-Cancer	GSE31189	GSM773162	T	None	8.682995
325	Bladder-Cancer	GSE31189	GSM773163	T	None	7.971544
326	Bladder-Cancer	GSE31189	GSM773164	T	None	11.770251
327	Bladder-Cancer	GSE31189	GSM773165	T	None	9.224002
328	Bladder-Cancer	GSE31189	GSM773166	T	None	11.699139
329	Bladder-Cancer	GSE31189	GSM773167	T	None	11.976206
330	Bladder-Cancer	GSE31189	GSM773168	T	None	12.194141
331	Bladder-Cancer	GSE31189	GSM773169	T	None	10.5727005
332	Bladder-Cancer	GSE31189	GSM773170	T	None	11.948002
333	Bladder-Cancer	GSE31189	GSM773171	T	None	12.021674
334	Bladder-Cancer	GSE31189	GSM773172	T	None	9.199673
335	Bladder-Cancer	GSE31189	GSM773173	T	None	12.289443
336	Bladder-Cancer	GSE31189	GSM773174	T	None	10.329797
337	Bladder-Cancer	GSE31189	GSM773175	T	None	10.153552
338	Bladder-Cancer	GSE31684	GSM786491	T	None	11.236612
339	Bladder-Cancer	GSE31684	GSM786492	T	None	11.430975
340	Bladder-Cancer	GSE31684	GSM786493	T	None	11.915506
341	Bladder-Cancer	GSE31684	GSM786494	T	None	11.531869
342	Bladder-Cancer	GSE31684	GSM786495	T	None	11.256799
343	Bladder-Cancer	GSE31684	GSM786496	T	None	11.593391
344	Bladder-Cancer	GSE31684	GSM786497	T	None	11.725792
345	Bladder-Cancer	GSE31684	GSM786498	T	None	11.664447
346	Bladder-Cancer	GSE31684	GSM786499	T	None	11.824163
347	Bladder-Cancer	GSE31684	GSM786500	T	None	11.536733
348	Bladder-Cancer	GSE31684	GSM786501	T	None	11.831307
349	Bladder-Cancer	GSE31684	GSM786502	T	None	11.355351
350	Bladder-Cancer	GSE31684	GSM786503	T	None	11.528454
351	Bladder-Cancer	GSE31684	GSM786504	T	None	11.789126
352	Bladder-Cancer	GSE31684	GSM786505	T	None	11.405673
353	Bladder-Cancer	GSE31684	GSM786506	T	None	11.3548
354	Bladder-Cancer	GSE31684	GSM786507	T	None	11.702605
355	Bladder-Cancer	GSE31684	GSM786508	T	None	11.698271
356	Bladder-Cancer	GSE31684	GSM786509	T	None	10.766529
357	Bladder-Cancer	GSE31684	GSM786510	T	None	11.442944
358	Bladder-Cancer	GSE31684	GSM786511	T	None	11.558899
359	Bladder-Cancer	GSE31684	GSM786512	T	None	11.4330635
360	Bladder-Cancer	GSE31684	GSM786513	T	None	11.533816
361	Bladder-Cancer	GSE31684	GSM786514	T	None	11.576012
362	Bladder-Cancer	GSE31684	GSM786515	T	None	11.744413
363	Bladder-Cancer	GSE31684	GSM786516	T	None	11.466586
364	Bladder-Cancer	GSE31684	GSM786517	T	None	11.990813
365	Bladder-Cancer	GSE31684	GSM786518	T	None	11.424691
366	Bladder-Cancer	GSE31684	GSM786519	T	None	11.507794
367	Bladder-Cancer	GSE31684	GSM786520	T	None	11.055961
368	Bladder-Cancer	GSE31684	GSM786521	T	None	11.882643
369	Bladder-Cancer	GSE31684	GSM786522	T	None	11.336507
370	Bladder-Cancer	GSE31684	GSM786523	T	None	11.730895
371	Bladder-Cancer	GSE31684	GSM786524	T	None	11.60964
372	Bladder-Cancer	GSE31684	GSM786525	T	None	11.6289015
