Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	7.768184
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	8.754888
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	8.361944
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	8.409391
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	8.5736475
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	8.308339
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	8.463525
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	8.199673
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	8.682995
10	Adipose-Cancer	GSE13506	GSM340488	T	None	8.854868
11	Adipose-Normal	GSE41168	GSM1009760	T	None	8.4998455
12	Adipose-Normal	GSE41168	GSM1009772	T	None	8.417852
13	Adipose-Normal	GSE41168	GSM1009776	T	None	8.271463
14	Adipose-Normal	GSE41168	GSM1009800	T	None	8.475734
15	Adipose-Normal	GSE41168	GSM1009804	T	None	8.204571
16	Adipose-Normal	GSE41168	GSM1009812	T	None	8.426265
17	Adipose-Normal	GSE41168	GSM1009820	T	None	8.471675
18	Adipose-Normal	GSE41168	GSM1009828	T	None	8.375039
19	Adipose-Normal	GSE41168	GSM1009836	T	None	8.0443945
20	Adipose-Normal	GSE41168	GSM1009844	T	None	8.383704
21	Adipose-Normal	GSE41168	GSM1009854	T	None	8.539159
22	Adipose-Normal	GSE41168	GSM1009872	T	None	8.144658
23	Adipose-Normal	GSE41168	GSM1009886	T	None	8.696967
24	Adipose-Normal	GSE43346	GSM1060754	T	None	8.40088
25	Adipose-Normal	GSE7307	GSM175834	T	None	7.948367
26	Adipose-Normal	GSE7307	GSM175835	T	None	7.9425144
27	Adipose-Normal	GSE7307	GSM175836	T	None	7.960002
28	Adipose-Normal	GSE7307	GSM175837	T	None	7.6724253
29	Adipose-Normal	GSE7307	GSM175994	T	None	8.071463
30	Adipose-Normal	GSE7307	GSM176027	T	None	8.219169
31	Adipose-Normal	GSE7307	GSM176028	T	None	8.2526655
32	Adipose-Normal	GSE7307	GSM176118	T	None	8.299208
33	Adipose-Normal	GSE7307	GSM176119	T	None	8.330916
34	Adipose-Normal	GSE7307	GSM176121	T	None	8.299208
