TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.7813597,8.731319,11.774787,13.141309,9.103288,8.9128895,10.568906,7.9188633,6.129283,9.3663225,10.582142,7.139551,11.981924,10.188589,9.873445,6.84549,5.9541965,11.711237,9.581201,8.219169,Skin-Cancer
8.731319,8.3706875,11.464035,13.312458,9.546894,8.3663225,10.453271,7.3923173,5.70044,9.269127,11.199059,9.0223675,11.06609,9.696967,8.271463,7.383704,7.7347097,11.478264,9.771489,7.4757333,Skin-Cancer
8.971543,8.06609,11.42836,13.092261,10.052568,8.257388,10.547858,7.4008794,6.149747,9.299208,10.965063,8.754888,10.168673,8.48784,8.5622425,7.357552,8.388018,11.409922,9.914385,7.9886847,Skin-Cancer
7.9886847,8.442944,11.447599,12.549785,9.3442955,8.28077,10.711667,7.0552826,7.033423,8.689998,10.96145,7.33985,5.61471,7.8009,6.044394,7.2946205,7.665336,10.874213,9.992938,7.9943533,Skin-Cancer
7.6582117,8.550747,11.613329,13.200286,9.174926,8.566054,10.535275,7.8641863,5.5849624,9.56415,9.985842,11.287712,5.6724253,8.149747,5.7548876,7.357552,10.404078,2.321928,9.661778,7.499846,Skin-Cancer
8.48784,8.661778,12.0182,12.984775,9.67772,8.266787,10.519636,7.523562,6.9307375,9.3442955,11.3072,8.422065,9.1111355,8.471675,7.3923173,7.7073593,6.149747,9.5622425,9.938109,7.665336,Skin-Cancer
7.7879024,8.592457,11.884171,13.237957,6.882643,7.876517,11.013323,8.247928,6.894818,9.4998455,11.107871,7.7279205,9.219169,8.4346285,7.6724253,7.9829936,9.2526655,12.0399475,9.67772,7.507795,Skin-Cancer
8.816983,8.330916,11.556506,12.792383,9.539159,8.3442955,10.861862,7.9307375,6.409391,9.550747,10.850968,9.330916,7.643856,8.076816,5.83289,7.7279205,6.6293564,10.310613,9.702172,8.33985,Skin-Cancer
9.068778,8.049849,11.410451,13.378024,9.929258,8.312883,10.158609,6.7142453,5.7279205,9.438792,10.244364,9.776433,6.1085243,7.9541965,10.51767,8.049849,5.426265,2.321928,9.700439,7.900867,Skin-Cancer
7.7142453,8.851749,10.585901,13.0871315,10.759056,7.9425144,9.546894,7.6220517,6.066089,11.076816,10.985842,9.299208,5.9068904,7.7073593,5.6724253,6.6724253,8.199673,10.407268,8.098032,7.066089,Skin-Cancer
9.743152,8.689998,11.704768,12.777666,9.932215,8.199673,10.778898,7.366322,6.61471,9.436711,11.539159,9.839204,8.658212,8.5736475,7.5698557,7.499846,8.129283,2.807355,9.3706875,7.6293564,Skin-Cancer
8.554589,7.8137813,11.222795,13.093582,10.631177,7.1085243,10.520618,6.7813597,7.83289,9.095397,11.186114,9.1947565,6.2479277,7.2667866,7.7073593,7.774787,7.044394,5.643856,9,7.851749,Skin-Cancer
8.618385,7.4178524,10.17742,12.891214,10.424167,7.5157,10.057992,9.014021,7.312883,8.787903,11.06002,10.267957,7.539159,7.4429436,8.774787,7.5698557,7.087463,5.087463,8.971543,6.357552,Skin-Cancer
8.303781,7.523562,10.974415,12.807757,10.378295,8.23362,11.447083,7.066089,7.2479277,8.665336,11.397675,11.174301,7.2667866,7.2761245,8.005625,7.383704,7.0768156,5.2094536,8.804131,7.2094536,Skin-Cancer
9.079485,7.7142453,11.197217,12.880732,10.247928,7.8265486,10.886458,6.087463,7.4838157,9.049849,11.18797,10.652845,5.9307375,7.426265,7.693487,7.9425144,6.768184,5.2479277,8.9008665,7.5313816,Skin-Cancer
7.876517,7.894818,11.038233,13.259596,7.9068904,7.098032,10.162392,6.4429436,7.8265486,8.348728,11.468115,8.954196,6.2667866,7.066089,7.5157,7.507795,8.071463,5.2479277,9.087462,7.139551,Skin-Cancer
8.909893,8.451211,11.589651,12.570093,10.325305,6.794416,10.0741415,6.7548876,8.357552,12.697185,11.393391,10.553629,6.554589,7.4838157,7.9541965,7.9068904,9.038919,6.022368,9.214319,7.960002,Skin-Cancer
6.7548876,7.033423,10.999295,13.3356695,10.684749,8.447083,9.271463,5.491853,7.665336,7.693487,9.566054,8.668885,10.917372,7.539159,7.900867,7.8887434,7.087463,5.61471,9.447083,6.894818,Skin-Cancer
9.0821495,7.7347097,11.357002,13.104762,10.597121,6.820179,10.224002,7.67948,7.451211,9.51767,10.253847,9.310613,6.4757333,7.179909,7.9248123,7.139551,10.13057,5.426265,8.936638,7.0552826,Skin-Cancer
8.317412,7.321928,11.606868,12.895576,10.51767,7.179909,10.911392,7.321928,7.577429,9.467606,12.1270275,9.57554,6.022368,7.348728,7.4757333,8.0821495,8.965784,6.7548876,8.851749,7.6510515,Skin-Cancer
8.326429,7.2573876,11.207624,12.703471,11.445532,7.3750396,10.796851,6.228819,7.4008794,8.957102,10.437752,10.041659,6.491853,7.4178524,8.027906,8.515699,8.727921,5.426265,8.813781,7.7615514,Skin-Cancer
8.330916,7.748193,11.133784,12.816584,10.970106,7.087463,10.665336,6.321928,7.965784,8.199673,10.541097,10.667998,6.2479277,7.139551,7.6293564,7.807355,6.9425144,5.129283,8.794415,7.312883,Skin-Cancer
9.571753,7.960002,11.263856,13.107217,10.497851,7.523562,11.126704,7.3037806,7.665336,8.848623,10.79604,8.921841,5.7813597,8.409391,7.643856,8.422065,8.599913,4.9068904,8.882643,7.4676056,Skin-Cancer
8.375039,8.569856,10.897845,12.946541,9.299208,7.7142453,10.916626,7.971544,7.6220517,8.876517,11.527966,8.906891,5.9307375,7.768184,7.67948,7.5468946,6.7279205,11.709515,9.189824,8.243174,Skin-Cancer
8.535275,8.071463,11.294046,12.348175,10.279611,7.9068904,10.621136,7.2479277,8.169925,9.424167,11.17742,9.813781,6.129283,7.965784,7.807355,7.9943533,7.2384048,8.0443945,8.784635,7.2761245,Skin-Cancer
8.771489,7.7347097,11.531382,12.921097,10.794415,7.3037806,10.807355,5.7548876,7.592457,8.442944,10.182394,7.9886847,6.022368,7.2573876,7.643856,7.894818,7.1189413,5.169925,8.727921,8.049849,Skin-Cancer
9.008429,7.70044,11.169925,12.963077,10.683872,7.312883,10.743993,8.118941,7.33985,8.357552,11.010529,10.773963,7.84549,7.5313816,8.864186,7.5622425,10.558421,5.044394,8.829722,7.2946205,Skin-Cancer
9.0443945,7.7548876,11.129927,12.651725,10.544965,7.5468946,11.012625,8.098032,7.4838157,8.804131,10.187352,10.568906,6.539159,7.199672,7.882643,7.3750396,7.033423,5.169925,8.558421,7.4178524,Skin-Cancer
9.236014,7.066089,10.707359,12.799686,10.421013,7.098032,10.452241,6.97728,7.5999126,9.515699,10.972261,9.776433,6.169925,7.3750396,7.5468946,7.7073593,7.169925,7.665336,8.647458,7.6293564,Skin-Cancer
8.696967,8.507794,11.224605,12.816383,10.0539255,6.409391,10.555548,6.882643,7.7210994,8.954196,11.096715,11.7052,5.83289,7.199672,7.366322,8.1947565,8.0443945,5.129283,8.700439,7.0552826,Skin-Cancer
9.092757,7.7142453,11.124122,12.929998,10.884171,7.2573876,10.451211,7.1085243,7.4008794,8.768185,11.064069,9.51767,6.9307375,7.592457,9.090113,7.523562,9.182394,10.51274,9.011228,7.507795,Skin-Cancer
7.9307375,7.321928,11.4625025,13.255029,10.113742,7.2573876,10.300352,6.7142453,7.971544,8.5961895,11.356452,9.527477,6.3037806,7.6293564,7.3750396,7.965784,10.032045,11.095397,9.390169,7.6220517,Skin-Cancer
