TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.507795,8.2620945,11.151016,13.140989,9.287712,7.4594316,9.627534,6.7279205,5.044394,10.112439,11.703038,9.368506,7.9068904,7.6582117,8.108524,7.5849624,6.426265,11.993292,9.182394,7.9128895,Small_Intestine-Cancer
8.584963,7.936638,10.841564,13.2128,8.658212,7.577429,9.643856,6.169925,6.523562,9.584963,10.424167,8.308339,8.224002,8.098032,8.189824,8.113742,7.7142453,10.41257,9.002815,7.3750396,Small_Intestine-Cancer
6.9425144,8.0821495,11.220983,13.343047,9.0821495,8.179909,9.9307375,6.857981,6.523562,9.333156,10.769837,6.741467,7.7615514,7.507795,6.33985,7.434628,8.675957,9.695229,9.385862,7.2573876,Small_Intestine-Cancer
8.124122,7.948367,10.917372,13.874213,9.537218,7.3923173,9.984419,6,5.83289,9.9008665,10.832099,8.894817,6.4757333,7.6865005,7.7142453,7.2667866,7.199672,11.922213,9.147205,7.4008794,Small_Intestine-Cancer
7.97728,7.9425144,11.43567,12.941964,10.007028,8.326429,9.324181,5.7813597,7.2384048,8.636624,8.971543,9.310613,6.149747,6.4429436,7.876517,7.83289,10.636624,10.589651,9.558421,6.3750396,Small_Intestine-Cancer
7.507795,7.7879024,11.699139,13.51533,10.02098,7.9886847,9.717676,7.1189413,6.794416,10,10.1369915,8.317412,7.321928,8.038919,7.2946205,7.409391,8.625709,9.224002,9.826549,7.7210994,Small_Intestine-Cancer
6.894818,8.2946205,11.407268,13.297919,9.394463,8.3706875,10.105908,6.857981,6.6293564,9.257388,9.851749,9.216746,6.5999126,8.459432,7.033423,7.948367,7.693487,5.3923173,9.672425,7.451211,Small_Intestine-Cancer
7.434628,8.169925,11.522091,13.095232,9.83289,8.797662,9.489848,7.366322,6.6724253,9.124122,11.023754,7.971544,5.9068904,8.870365,6.7142453,7.5622425,7.2094536,10.42836,10.749869,8.330916,Small_Intestine-Cancer
8.84549,8.717676,12.121533,13.474086,9.929258,8.748193,9.079485,5.61471,6.8703647,9.622052,8.985842,7.9128895,8.357552,8.682995,6.169925,7.1085243,8.134426,7.665336,11.741888,7.434628,Small_Intestine-Cancer
6.3750396,9.23362,11.261507,13.15371,8.5961895,8.693487,9.939579,7.4178524,6.857981,9.505812,9.636624,5.6724253,6.882643,8.113742,9.055283,7.6582117,10.0512085,6,10.417852,7.9068904,Small_Intestine-Cancer
