TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.523562,8.214319,11.556985,13.446567,8.960002,8.149747,9.751544,7.84549,6.2479277,9.4998455,9.771489,7.2946205,8.2946205,7.741467,8.299208,7.876517,7.794416,8.948367,9.189824,7.033423,Stomach-Cancer
7.0552826,8.330916,12.0223675,12.921469,9.722808,7.8009,11.009129,6.4429436,6.169925,11.389631,11.338737,9.815383,6.7548876,7.876517,9.095397,7.5622425,6.6582117,11.911392,9.445015,7.139551,Stomach-Cancer
6.3750396,8.33539,12.077817,12.966145,9.667111,7.7879024,10.589651,5.357552,7.011227,10.682995,11.619303,10.500842,8.1649065,8.442944,8.778077,6.965784,7.33985,12.244661,9.308339,7.794416,Stomach-Cancer
7.4676056,8.611025,11.946176,13.18348,9.348728,7.9425144,10.52943,6.7279205,7.149747,10.401946,11.1674185,7.6510515,7.794416,8.405142,8.870365,7.4429436,6.554589,11.758639,9.317412,7.741467,Stomach-Cancer
7,8.665336,11.921841,13.201205,8.503826,8.076816,10.6821165,7.4178524,7.0768156,10.091435,11.926296,7.70044,7.179909,8.3442955,8.243174,7.2479277,6.044394,11.877667,9.48784,7.965784,Stomach-Cancer
6.7813597,8.459432,11.786269,12.838022,8.682995,7.636625,10.598983,6.169925,6.9425144,10.57554,11.991876,9.413628,6.807355,8.1649065,8,7.434628,4.857981,12.2682495,9.489848,7.5157,Stomach-Cancer
7.2667866,8.174926,12.123152,13.261507,9.342074,8.467606,9.315149,3,7.129283,9.707359,9.459432,8.882643,10.104599,9.503826,5.087463,8.353147,5.9541965,4,10.107217,7.434628,Stomach-Cancer
7.199672,8.413628,12.2018175,13.435149,8.581201,8.717676,9.544965,3.169925,7.1085243,9.84549,9.571753,8.348728,10.213104,9.625709,4.4594316,8.154819,5.83289,2.5849626,10.002815,7.820179,Stomach-Cancer
7.312883,8.483816,12.40088,13.362629,8.784635,8.592457,9.445015,3.5849626,7.4838157,9.736402,9.802516,8.033423,10.02514,9.417852,4.807355,8.28077,5.044394,4.169925,9.923327,7.7142453,Stomach-Cancer
8.321928,7.1189413,12.003869,12.924441,8.829722,8.3706875,10.478769,6.044394,6.794416,10.211888,12.53333,9.0821495,6.83289,7.199672,8.689998,7.011227,6.97728,11.995414,9.224002,7.768184,Stomach-Cancer
7.960002,9.1649065,11.047124,12.685186,9.97728,8.055283,9.719389,9.990104,6.2854023,10.290019,9.477758,6.741467,5.882643,8.134426,7.5999126,7.539159,6.61471,5.7279205,9.764872,8.348728,Stomach-Cancer
8.515699,8.357552,11.798067,12.380732,9.686501,8.647458,10.891784,4,7.2854023,9.48784,12.935902,10.5840225,6.426265,7.383704,8.731319,8.392318,7.3750396,13.067266,9.149747,7.2094536,Stomach-Cancer
