TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
8.686501,8.558421,11.565578,13.462375,10.096715,7.965784,10.241983,6.9886847,6.807355,9.392318,10.295769,8.271463,7.022368,8.588715,9.211888,7.383704,8.388018,11.3548,9.724514,7.577429,Teeth-Cancer
8.442944,8.491853,11.503329,13.644307,9.098032,7.7142453,10.300352,6.857981,7.087463,9.28077,10.820976,7.9188633,6.523562,8.129283,9.319673,7.4429436,7.7347097,11.1325,9.942514,7.129283,Teeth-Cancer
8.455327,8.467606,12.0017605,13.539643,9.527477,7.499846,10.634811,6.539159,7.321928,9.337622,10.850187,7.7279205,7.70044,8.599913,9.964341,6.7279205,8.243174,11.550747,9.684749,7.169925,Teeth-Cancer
8.392318,8.592457,11.33539,13.601655,9.787903,7.9128895,9.787903,6.8703647,6.84549,8.951284,10.152285,8.982993,7.3037806,8.550747,9.079485,7.8703647,8.060696,11.358651,9.56415,7.228819,Teeth-Cancer
8.647458,8.129283,11.1848755,13.33804,9.579316,7.851749,10.470659,6.2094536,6.894818,9.546894,10.333156,9.030667,6.1898246,7.7347097,8.28077,8.06609,7.5313816,8.861087,9.736402,7.129283,Teeth-Cancer
9.773139,8.985842,11.42836,14.196679,10.131857,7.6865005,10.015415,6.1085243,6.321928,8.546894,10.372865,8.774787,2.5849626,7.971544,9.954196,7.643856,8.714246,11.7623825,9.036174,6.9068904,Teeth-Cancer
8.9128895,8.40088,11.528942,13.549905,10.216746,7.7347097,10.209454,6.9541965,7.3037806,9.02514,10.002815,7.0768156,4,8.392318,10.642954,6.97728,7.159871,11.224002,9.642052,7.169925,Teeth-Cancer
9.465567,8.308339,11.319108,13.628331,10.202124,7.5157,10.865733,6.491853,7.6220517,9,10.482808,8.744834,4.3923173,8.965784,10.127995,7.2384048,8.816983,11.534303,10.178665,6.8703647,Teeth-Cancer
9.047124,8.707359,11.832495,14.077734,10.2526655,7.693487,9.84549,6.9307375,7.087463,8.794415,10.476747,6.4429436,5.7813597,8.271463,10.664447,7.4757333,6.820179,11.946176,10.5736475,7.044394,Teeth-Cancer
9.1111355,8.665336,11.792383,13.817683,10.542065,7.7279205,10.207014,7.2094536,6.97728,8.936638,10.498849,6.1085243,5.882643,8.5622425,10.326429,7.592457,7.3750396,12.114393,10.337622,7.139551,Teeth-Cancer
9.02514,8.543032,11.364682,14.154264,10.213104,7.357552,9.778077,6.9541965,6,8.28077,10.85331,8.2620945,4.3923173,7.7279205,10.312883,7.159871,8.988685,12.000352,9.712527,7.149747,Teeth-Cancer
10.036174,8.417852,11.455841,14.087628,10.076816,7.3923173,9.283089,6.507795,7.434628,8.566054,10.215533,7.6724253,5.491853,7.9188633,9.840778,8.330916,9.172427,11.8902645,9.768185,7.3037806,Teeth-Cancer
9.659996,8.787903,11.877667,14.232945,9.722808,7.6293564,9.712527,6.087463,7.2479277,8.459432,10.188589,6.066089,4.857981,7.8137813,10.451211,8.129283,8.071463,11.350939,10.670656,6.9307375,Teeth-Cancer
10.176173,8.721099,11.2425785,14.343325,10.403012,8.076816,9.707359,4.4594316,6.2854023,8.238404,10.068778,8.876517,4.087463,8.308339,10.257388,8.113742,8.7911625,11.375039,9.997179,7.312883,Teeth-Cancer
9.179909,8.6510515,11.456868,14.077316,10.2620945,8.011228,9.467606,5.554589,7.179909,8.149747,10.325305,8.618385,3.7004397,7.971544,10.42836,8.317412,6.357552,11.901244,10.468624,7.636625,Teeth-Cancer
9.679481,7.7879024,11.771902,14.027906,10.134426,7.839204,12.916813,4.087463,7.022368,9.828136,10.97728,8.661778,4.2479277,8.049849,9.733015,7.794416,6.882643,12.436451,9.859535,6.857981,Teeth-Cancer
9.02514,7.409391,10.743152,14.305278,10.466586,7.0768156,12.945626,4.2479277,6.1898246,9.247928,11.166791,9.199673,4.087463,7.636625,8.3706875,7.228819,8.0168085,12.036174,8.546894,6.066089,Teeth-Cancer
9.247928,8,11.494355,13.926666,10.48784,7.2946205,12.744204,5.2479277,6.33985,9.550747,11.126704,8.879583,6.022368,8.33539,9.321928,7.5468946,7.592457,12.242876,9.871905,6.7548876,Teeth-Cancer
8.903882,7.768184,11.161761,13.820578,9.658212,7.523562,12.733651,5.129283,5.523562,10.005625,11.190442,9.631177,6.228819,8.2526655,9.1163435,7.6582117,8.409391,12.30321,9.483816,7,Teeth-Cancer
9.390169,7.6865005,11.360298,13.979782,10.582142,6.9307375,12.6893425,6.2667866,7.348728,9.649256,10.367414,9.124122,6.022368,8.3442955,9.2502985,7.179909,8.005625,12.248224,9.67772,6.6724253,Teeth-Cancer
9.381543,8.076816,11.34596,13.899923,10.009829,7.554589,12.938661,3.4594316,7.149747,9.622052,11.356452,9.240791,5.5849624,8.071463,9.668885,8.027906,7.9886847,12.609179,10.0821495,6.9307375,Teeth-Cancer
9.057992,8.027906,11.472183,13.961631,10.231221,7.820179,12.353422,6.087463,6.9425144,9.207014,10.863412,8.611025,6.491853,8.383704,9.33985,7.7615514,7.0768156,11.508785,9.688251,7.348728,Teeth-Cancer
9.372865,8.005625,11.245553,13.742836,10.108524,7.0552826,12.821376,5.4594316,5.807355,9.799282,11.49835,8.654636,5,7.6073303,8.807355,7.366322,8.228819,12.169612,9.236014,6.357552,Teeth-Cancer
8.882643,8.139551,11.332596,13.353009,10.373953,7.665336,12.735767,5.5849624,6.044394,10.154819,11.737247,9.103288,4.7548876,7.882643,8.794415,7.409391,8.422065,12.278159,9.337622,6.7142453,Teeth-Cancer
9.036174,8.455327,11.6510515,13.496729,10.182394,7.7279205,12.513234,6.6724253,6.6293564,10.191059,11.116994,8.507794,5.129283,8.426265,9.224002,7.2479277,7.2946205,12.008429,9.982993,7.4757333,Teeth-Cancer
9.211888,8.108524,11.603626,13.811375,9.695229,7.882643,12.941048,5.5849624,5.857981,9.879583,11.831307,9.1163435,6.1898246,8.0168085,9.579316,8.098032,7.0552826,12.612638,9.985842,7.4008794,Teeth-Cancer
