TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.7813597,7.0552826,10.590587,13.905575,9.113742,7.2946205,9.049849,6.491853,8.353147,9.224002,9.948367,10.414685,7.7879024,7.9128895,6.507795,8.247928,6.894818,6.70044,9.52943,6.768184,Testis-Cancer
8.060696,7.2094536,11.319673,13.444109,9.489848,7.741467,9.390169,6.33985,7.7615514,10.00422,10.948367,10.5622425,7.066089,8.118941,6.228819,8.744834,7.098032,9.095397,9.945444,7.022368,Testis-Cancer
8.290019,7.807355,11.0821495,13.635491,9.984419,7.330917,8.6402445,6.3037806,8.829722,11.166791,11.766529,10.568906,6.507795,7.1189413,6.768184,10.117643,6.2094536,10.738936,8.939579,6.3750396,Testis-Cancer
8.159871,8.23362,11.651949,13.265029,9.449148,8.471675,10.083479,6.5698557,6.554589,9.920353,10.609179,8.611025,8.927778,8.348728,6.97728,8.144658,7.2094536,6.491853,10.270295,7.6865005,Testis-Cancer
7.9829936,8.4998455,10.563196,12.258861,9.820179,6.044394,9.243174,6.2854023,7.554589,8.823367,11.031357,8.870365,6,7.9248123,7.876517,7.2667866,7.748193,6.1898246,10.276124,5.97728,Testis-Normal
8.519636,8.515699,10.2179575,12.152602,10.628446,6.33985,9.255029,5.5849624,8.169925,9.0741415,10.73047,9.243174,7.139551,8.1848755,8.0168085,7.7073593,7.971544,5.9541965,9.992938,6.70044,Testis-Normal
7.636625,8.038919,10.925554,12.210976,10.292321,7.2479277,9.283089,6.7813597,8.430452,8.47978,10.139551,7.6293564,6.6582117,8.442944,7.741467,7.6582117,7.7142453,5.9068904,9.753217,7.169925,Testis-Normal
8.087462,8.511753,10.985842,12.748612,10.251482,7.6293564,9.766529,7.033423,8.199673,9.42836,11.365776,8.290019,6.066089,9.228819,7.948367,7.7813597,6.6293564,5.491853,9.779719,7.022368,Testis-Normal
7.366322,8.055283,11.192293,12.567956,9.85331,7.3923173,9.679481,6.491853,8.409391,8.936638,10.213104,9.174926,5.129283,8.754888,7.087463,7.2761245,7.2479277,6.33985,9.758224,7.2854023,Testis-Normal
7.97728,7.7347097,10.989394,12.700873,9.556506,6.6724253,9.709084,6.2854023,8.285402,9.038919,10.251482,7.9128895,6.1085243,8.784635,7.2761245,7.5157,7.5157,5.2479277,9.857981,7.044394,Testis-Normal
8.451211,8.290019,10.881879,12.526255,9.719389,7.321928,9.758224,6.2854023,8.5622425,9.216746,10.698705,7.7615514,5.9541965,8.804131,7.321928,7.7548876,7.5698557,5.2479277,9.779719,7.169925,Testis-Normal
7.3750396,9.403012,11.708221,13.081983,9.670656,8.071463,11.284824,8.0168085,6.9425144,9.469642,12.181773,9.987264,5.4594316,7.3923173,8.813781,7.8265486,5,3.321928,9.920353,7.6582117,Testis-Normal
7.3037806,9.381543,11.718533,12.995944,9.804131,8.6510515,11.316847,8.921841,7.044394,8.9128895,12.06002,10.686501,4.5849624,8.038919,8.994353,7.9307375,5.9541965,3.7004397,9.906891,8.33985,Testis-Normal
7.70044,9.1649065,11.40088,13.1649065,9.7565565,8.179909,11.217352,7.9943533,6.523562,8.879583,11.952377,10.803324,4.523562,7.6220517,8.632996,7.876517,5.6724253,4.70044,10.0223675,7.451211,Testis-Normal
