TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
7.665336,8.894817,11.441907,12.642278,9.807355,7.84549,10.690871,4.807355,6.1085243,9.954196,11.473198,12.393123,7.044394,8.257388,8.383704,7.0768156,6.5849624,12.895576,10.211888,8.011228,Thyroid-Cancer
7.2946205,8.459432,11.5377035,13.672977,9.071463,7.9541965,10.315149,5.9307375,6.643856,8.945444,10.312883,8.962896,7.577429,8.159871,9.174926,7.499846,6.807355,12.129605,9.333156,7.169925,Thyroid-Cancer
6.9307375,8.622052,11.518162,13.44048,9.627534,8.290019,10.650154,6.3750396,6.3037806,8.924812,10.361944,8.997179,8.113742,7.9068904,9.126704,7.1898246,7,12.3828945,9.696967,7.348728,Thyroid-Cancer
8.159871,9.909893,11.084808,13.003869,9.328675,8.103288,10.598052,6.6724253,6.5849624,9.652845,10.949097,12.354249,6.6865005,8.209454,8.353147,8.1649065,7.8265486,12.571041,10.657318,7.643856,Thyroid-Cancer
7.8137813,8.703903,11.078151,12.546412,9.769837,7.6510515,9.967226,5.807355,6.1085243,9.823367,10.507794,12.62022,6.507795,7.6582117,8.0168085,7.2573876,6.857981,12.804534,10.570805,7.2094536,Thyroid-Cancer
8.108524,8.675957,11.230621,13.814483,9.121533,7.9943533,10.324181,6.6582117,5.9541965,9.033423,9.686501,9.197217,8.214319,7.7347097,9.202124,7.4594316,6.965784,12.711667,9.820179,7.066089,Thyroid-Cancer
8,8.503826,11.270295,13.402346,8.797662,8.3706875,10.215533,7.2094536,6.3037806,9.2502985,9.7911625,8.879583,8.4998455,7.965784,8.209454,8,7.851749,12.029287,9.558421,7.451211,Thyroid-Cancer
8.438792,8.891784,11.323618,13.238554,9.776433,7.820179,10.719389,2.807355,6.507795,9.226412,11.252074,11.87075,4.523562,7.6582117,7.149747,7.312883,5.83289,12.528698,10.349834,7.2094536,Thyroid-Cancer
9.933691,9.197217,11.237807,13.032391,10.098032,8.569856,11.216746,4.3923173,5.7813597,8.515699,11.605943,13.134106,8.149747,8.915879,8.169925,6.5999126,7.098032,12.030322,10.056638,7.8137813,Thyroid-Cancer
9.312883,9.330916,11.156715,12.957646,9.885696,8.224002,9.948367,3.7004397,6.3037806,9.590587,10.704768,12.587074,4.5849624,8.299208,7.383704,5.882643,7.451211,12.87075,9.445015,8.214319,Thyroid-Cancer
8.73471,9.264442,11.3592005,13.161604,9.722808,8.033423,11.028597,3.7004397,6.4594316,9.290019,11.493355,11.927407,5,7.9886847,8.550747,8.055283,6.321928,12.655978,10.825754,7.7879024,Thyroid-Cancer
8.924812,8.6510515,11.102632,13.44061,9.451211,8.033423,10.892543,4.4594316,6.169925,8.754888,10.283089,13.166791,7.948367,7.9068904,7.6582117,7.321928,5.9307375,12.375311,9.6456585,6.3923173,Thyroid-Cancer
8.721099,8.693487,11.265615,13.1369915,10.256208,8.28077,10.623881,3.4594316,6.321928,9.199673,10.970106,11.034799,6.539159,8.383704,7.894818,7.2946205,6.357552,12.714246,10.139551,7.5849624,Thyroid-Cancer
8.997179,8.764872,11.291171,13.139711,10.330916,8.049849,11.150382,4,6.129283,9.157347,11.8626375,10.052568,7.0552826,8.751544,7.0768156,7.643856,5.882643,12.422853,10.3014965,7.5622425,Thyroid-Cancer
8.299208,8.661778,11.224605,13.315291,9.958552,8.28077,11.003518,4.087463,6.2094536,9.014021,10.290019,12.226713,5.70044,8.47978,7.4676056,7,5.7813597,12.4663315,10.1674185,7.066089,Thyroid-Cancer
8.129283,8.682995,11.311181,13.309618,9.623881,7.774787,10.38694,3.9068906,6.129283,9.357552,11.027215,12.134426,5.087463,8.679481,8.797662,7.67948,5.61471,12.502086,9.831307,7.066089,Thyroid-Cancer
8.581201,8.405142,11.101975,13.313592,10.0754795,7.7279205,10.874981,4.2479277,5.70044,8.707359,10.438792,12.003166,5.882643,8.033423,7.900867,7.592457,6.066089,12.623652,9.939579,6.741467,Thyroid-Cancer
8.823367,8.879583,11.283668,13.020633,10.360847,8.060696,11.076816,4,6.794416,9.17742,11.213712,11.701739,6.768184,8.894817,7.3037806,7.83289,6.70044,12.814583,10.215533,7.3750396,Thyroid-Cancer
8.1649065,10.011228,11.525031,13.003869,9.766529,8.139551,11.077483,3,6.97728,10.472691,12.007378,13.773448,6.3750396,7.426265,9.011228,8.108524,7.83289,13.016982,10.721953,8.228819,Thyroid-Cancer
8.011228,8.924812,11.335949,13.351215,9.459432,8.076816,10.766529,3.9068906,6.3923173,9.471675,11.370143,9.991522,7.2479277,8.5961895,8.103288,7.491853,5.2854023,12.273795,9.83605,7.507795,Thyroid-Cancer
8.308339,8.9307375,11.299781,12.495106,9.736402,7.4429436,10.459432,4.087463,6.965784,11.230621,11.505316,12.006677,6.554589,8.459432,8.413628,7.9829936,9.828136,13.390572,9.537218,7.499846,Thyroid-Cancer
