TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
4.3923173,7.4008794,11.478769,13.700548,7.321928,7.2191687,9.878051,6.1085243,6.4757333,12.172115,9.308339,6.9307375,3.4594316,7.5999126,9.465567,6.4429436,9.515699,10.14083,8.430452,6.70044,Tongue-Cancer
5.321928,7.7210994,11.272046,13.632427,7.4594316,7.4008794,10.012625,5.882643,6.965784,12.500095,10.153552,8.539159,4.4594316,7.5468946,9.670656,6.4757333,9.581201,11.071463,8.038919,6.9886847,Tongue-Cancer
7.0768156,7.774787,11.287135,12.572227,9.850187,7.61471,11.312883,5.807355,6.4594316,11.080152,11.459432,9.629356,8.276124,8.682995,9.503826,7,10.127995,11.829722,9.868822,6.9541965,Tongue-Cancer
7.0552826,7.643856,12.03686,12.900112,9.738092,7.851749,12.410187,5.9541965,7.33985,11.032045,11.414685,9.2946205,5.7279205,8.566054,9.738092,7.044394,8.9128895,12.696533,8.968667,7.6582117,Tongue-Cancer
7.1189413,7.636625,11.556506,13.157031,9.590587,6.5698557,10.793603,4.9541965,6.4757333,10.332037,10.4998455,8.888743,7.5468946,8.511753,9.73471,7.2573876,10.546894,12.202736,8.744834,8.154819,Tongue-Cancer
9.5622425,7.768184,11.210062,12.402213,8.0821495,7.8887434,11.625252,5.7279205,6.149747,9.843921,11.306631,9.129283,7.087463,8.891784,9.047124,6.84549,4.9541965,12.115044,9.226412,7.383704,Tongue-Cancer
7.693487,7.2384048,10.897089,12.28019,8.9128895,7.9248123,10.7657,6,6.2667866,10.421013,10.308339,10.816983,6.4594316,9.131857,11.382624,7.2094536,8.829722,12.387748,9.346514,6.857981,Tongue-Cancer
6.2667866,6.820179,10.671541,12.855258,9.049849,7.330917,10.527477,6.7813597,6.491853,9.79279,10.2300205,10.104599,7.83289,8.426265,9.118941,5.882643,9.41996,12.423379,8.879583,7.149747,Tongue-Cancer
8.447083,7.2384048,11.263269,12.535519,9.984419,7.8641863,10.800091,5.7548876,6.321928,9.599913,9.981567,8.330916,7.665336,8.784635,9.918863,7.592457,10.866507,11.491352,9.01959,7.3750396,Tongue-Cancer
7.022368,6.9886847,11.477252,12.20243,8.353147,8.076816,10.676839,5,6.2094536,10.84235,10.139551,13.000176,7.5622425,8.442944,9.199673,8.055283,4.523562,12.178976,9.324181,6.741467,Tongue-Cancer
