TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
8.257388,8.531382,11.734286,13.335949,9.388018,7.4838157,9.885696,6.022368,6.7813597,10.015415,10.835261,8.519636,6.894818,7.693487,8.679481,8.224002,9.379378,12.164593,9.634811,7.3037806,Uterus-Cancer
8.204571,8.413628,11.793603,13.110809,10.095397,7.693487,10.429407,5.97728,7.3037806,10.032045,11.801708,10.192293,5.61471,7.6724253,8.495855,8.566054,9.609179,12.290883,9.946906,7.2573876,Uterus-Cancer
8.721099,8.668885,11.461991,13.456868,9.946906,7.348728,9.9008665,6.33985,7.4008794,9.726218,11.2473345,9.826549,7.087463,7.1189413,7.9248123,8.738092,7.839204,11.703038,9.903882,7.1189413,Uterus-Cancer
7.321928,8.491853,11.655978,13.899923,9.152285,7.936638,10.178665,5.83289,6.507795,9.554589,11.203959,7.7073593,7.426265,7.3750396,9.055283,7.794416,7.507795,10.494856,9.489848,7.383704,Uterus-Cancer
8.531382,8.703903,11.448116,13.645884,9.952742,7.665336,10.06609,7.2191687,7.228819,9.079485,11.493855,8.447083,7.383704,8.129283,9.554589,8.724514,8.159871,11.63345,10.055283,7.491853,Uterus-Cancer
8.731319,8.027906,11.215533,13.862153,9.1848755,6.9188633,10.24674,3.807355,6.554589,9.129283,10.929258,8.629356,8.0223675,7.965784,8.383704,9.197217,7.748193,12.390169,8.475734,6.7548876,Uterus-Cancer
8.247928,8.299208,11.352595,14.250891,8.994353,7.321928,10.015415,5.7279205,7,8.636624,11.253257,8.679481,6.6865005,7.748193,7.7142453,8.816983,6.9068904,11.042343,9.283089,7.011227,Uterus-Cancer
7.851749,8.409391,11.337622,13.727708,9.42836,6.6582117,10.207014,4.4594316,6.5698557,8.636624,11.889884,10.68036,6.2854023,7.6865005,7.5157,8.744834,8.392318,11.874598,9.055283,6.807355,Uterus-Cancer
8.463525,8.599913,11.520127,13.240046,10.087462,7.366322,10.290019,5.426265,7.7813597,9.357552,13.641261,9.041659,7.1085243,7.8887434,7.6865005,8.422065,7.0552826,11.994353,10.090113,7.011227,Uterus-Cancer
8.951284,8.076816,11.541097,14.097868,9.924812,7.044394,10.437752,5.2094536,6.409391,8.870365,11.199059,8.679481,6.2854023,7.33985,7.4838157,9.899357,7.894818,12.292897,8.550747,6.9307375,Uterus-Cancer
