TP53,SMAD4,SF3B1,RPL5,PPP2R1A,PIK3CA,NFE2L2,NAV3,MTOR,KRAS,IDH1,HIST1H1C,GATA3,FBXW7,EGFR,DNMT3A,CDKN2A,CDH1,ARID1A,APC,Label
8.744834,7.4429436,11.0754795,12.844706,9.577429,8.906891,10.711667,6.4594316,6.61471,9.346514,9.920353,9.312883,8.668885,7.971544,9.306062,6.820179,7.8887434,11.500842,9.670656,6.2094536,Vulva-Cancer
8.396605,7.8887434,10.605479,13.617582,9.73978,7.851749,11.153552,5,7.577429,9.467606,9.207014,9.905387,10.917372,7.8887434,9.02514,5.7813597,9.954196,11.622052,10.0512085,7.2667866,Vulva-Cancer
8.049849,7.9068904,11.23721,13.568313,9.375039,7.098032,11.166163,4.3923173,7.426265,9.851749,9.789534,9.372865,10.328675,8.523562,9.560333,6.3037806,9.787903,11.905011,10.076816,7.4757333,Vulva-Cancer
8.299208,8.1649065,11.47978,13.422065,9.008429,7.820179,11.115694,6.409391,7.179909,9.733015,10.287712,7.3037806,10.833681,8.471675,10.087462,6.807355,6.7813597,11.302068,9.543032,7.523562,Vulva-Cancer
8.303781,7.948367,11.61517,13.381272,9.131857,8.266787,11.298062,5.61471,6.9886847,9.881114,10.0443945,11.21128,11.1947565,9.0821495,9.675957,6.6582117,8.721099,11.957102,9.60733,7.8009,Vulva-Cancer
8.566054,7.965784,11.43567,13.47978,8.948367,7.7548876,11.28077,5.857981,6.169925,9.810572,10.615629,7.936638,11.1369915,8.689998,9.873445,7.1898246,6.357552,11.371232,9.47978,7.491853,Vulva-Cancer
8.915879,7.61471,10.868822,13.449407,9.2502985,8.139551,11.072133,4.4594316,7.2854023,9.647458,9.840778,10.379378,11.082814,8.61471,9.848623,6.6293564,10.124122,11.81017,10.667111,7.312883,Vulva-Cancer
8.661778,7.741467,11.587777,13.529675,9.449148,7.876517,11.310044,5.6724253,6.4757333,9.911392,10.394463,7.900867,10.034799,8.076816,9.306062,7.2384048,10.698705,11.887602,9.537218,7.839204,Vulva-Cancer
7.5468946,7.948367,11.493855,13.441129,9.005625,8.033423,11.431498,5.9541965,7.129283,9.5961895,10.103288,8.2620945,9.771489,8.005625,9.47978,6.894818,9.1649065,11.831307,9.6456585,7.741467,Vulva-Cancer
8.124122,7.882643,11.010529,13.512617,9.415742,7.8137813,10.897089,6.3750396,6.9425144,9.0821495,11.22581,7.857981,10.092757,8.285402,10.209454,7.159871,5.7813597,11.380461,9.8902645,7.539159,Vulva-Cancer
9.047124,7.643856,10.766529,12.6341305,9.647458,7.9886847,9.873445,7.357552,6.4757333,9.240791,10.16365,8.451211,6.426265,7.357552,10.553629,5.807355,5.523562,12.020633,9.276124,6.9425144,Vulva-Cancer
8.820179,8.0223675,11.330357,13.115531,10.308339,7.9307375,10.826549,5.087463,6.554589,9.357552,10.4625025,7.383704,8.243174,7.9248123,10.187352,6.6293564,11.000704,11.42836,9.663558,7.2191687,Vulva-Cancer
8.422065,8.124122,12.480286,12.800293,10.06609,7.9886847,10.872675,5.7279205,7.022368,9.83289,10.41257,9.321928,9.3663225,9.142107,10.352043,7.2667866,10.4998455,12.2986355,9.748193,7.2761245,Vulva-Cancer
8.0821495,8.348728,11.152285,13.13587,9.0633955,8.794415,11.144021,5.857981,7.592457,9.779719,10.555548,10.924812,7.741467,8.071463,9.098032,7.6510515,11.068778,11.504819,9.668885,7.5468946,Vulva-Cancer
8.396605,8.47978,11.300352,13.479906,9.269127,8.515699,10.784635,8.3442955,6.9541965,9.407268,10.226412,8.375039,9.396605,8.027906,8.361944,8.0223675,7.665336,11.39607,10.012625,7.7615514,Vulva-Cancer
9.149747,8.383704,11.520618,13.201205,9.625709,8.1947565,11.609179,5.97728,6.84549,9.675957,10.857981,7.5468946,9.40088,9.342074,10.407268,6.9188633,8.721099,12.195988,9.632996,7.409391,Vulva-Cancer
7.4008794,7.7073593,11.477252,12.9760275,9.748193,8.247928,11.587309,6.6582117,6.507795,10.087462,10.874213,10.304922,6.3750396,8.149747,10.211888,6.3750396,10.398744,12.577664,9.631177,6.9425144,Vulva-Cancer
8.139551,8,11.037547,12.974953,9.779719,8.455327,10.511753,6.426265,6.84549,9.974415,10.535275,9.884171,8.1649065,7.960002,10.1369915,7.61471,9.962896,11.711237,9.816983,7.228819,Vulva-Cancer
8.721099,8.257388,10.964341,13.164278,8.994353,8.139551,11.088125,6.5849624,6.2094536,9.837628,10.149747,10.617468,10.13057,8.658212,9.2502985,7.129283,10.216746,12.605711,10.513727,7.5999126,Vulva-Cancer
8.894817,8.523562,11.009829,13.531137,9.909893,8.672425,10.658212,7.0768156,6.066089,9.569856,10.2179575,5.2854023,10.9151325,7.8887434,9.731319,7.882643,7.6865005,11.72366,10.431498,7.693487,Vulva-Cancer
8.523562,8.682995,11.557942,12.376125,10.453271,8.463525,10.459432,4.9541965,7.409391,10.3955345,10.7657,13.378837,6.70044,7.3923173,7.83289,9.207014,10.104599,11.637077,10.560333,7.97728,Vulva-Cancer
8.768185,7.9886847,11.133142,13.484068,9.383704,8.027906,10.748193,5.554589,7.159871,9.036174,11.262682,8.118941,11.02514,8.696967,10.3072,6.523562,6.129283,11.838022,10.334273,7.4838157,Vulva-Normal
8.903882,7.851749,11.416798,13.674082,9.283089,7.7210994,10.870365,5.4594316,7.159871,9.682995,9.357552,9.118941,9.882643,7.8009,9.649256,6.7279205,9.483816,11.367961,9.736402,7.2854023,Vulva-Normal
9.172427,7.5698557,10.857981,12.8403845,9.209454,8.149747,10.753217,4.807355,7.228819,9.413628,9.100662,11.60964,9.897845,8.915879,10.405142,7.033423,10.390169,11.527966,10.176173,7.693487,Vulva-Normal
8.33985,7.7142453,11.041659,13.084642,9.843921,7.643856,10.858758,4.70044,6.087463,9.41996,10.158609,13.297489,10.47978,8.5736475,9.8008995,6,10.551708,11.975848,10.3185425,6.965784,Vulva-Normal
8.383704,7.965784,10.850968,13.40833,9.326429,7.876517,10.632087,6.066089,6.7279205,9.154819,10.675957,6.83289,10.47472,8.6510515,10.178665,6.741467,6.426265,11.6510515,10.027906,7.312883,Vulva-Normal
8.503826,7.936638,10.879583,13.351215,9.257388,7.936638,10.553629,5.9541965,6.321928,9.157347,11.658212,7.6724253,10.83605,8.550747,10.129283,6.84549,6.894818,11.47015,9.962896,7.4178524,Vulva-Normal
8.144658,8.139551,11.452756,13.552189,9.337622,8.321928,11.036174,6,6.741467,9.821774,10.611025,7.4008794,10.621136,8.154819,10.047124,6.84549,6.491853,11.357552,9.48784,7.70044,Vulva-Normal
8.679481,7.179909,10.791977,13.504447,9.567956,8.108524,10.422065,5.882643,6.8703647,8.933691,12.238404,8.918863,11.216746,8.154819,9.911392,6.857981,6.426265,11.740202,9.888743,6.857981,Vulva-Normal
8.438792,7.9943533,11.419434,13.646896,9.501837,7.9188633,11.427836,6.6724253,6.409391,9.905387,11.014718,8.495855,10.198445,8.672425,9.867279,6.9425144,5.882643,11.7000065,9.255029,7.8265486,Vulva-Normal
8.647458,8.076816,11.033423,13.276997,9.8008995,8.271463,10.717676,6.426265,6.794416,9.214319,11.178042,7.5622425,10.416798,8.326429,10.484823,7.087463,6.83289,11.076816,10.213104,7.5313816,Vulva-Normal
9.047124,8.303781,10.897089,13.263709,10.23362,7.9188633,10.516685,6.3923173,6.5849624,9.224002,10.83605,8.7414665,10.794415,9.255029,9.588715,7.6073303,7.5622425,11.709946,9.712527,6.9068904,Vulva-Normal
